Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GlsP90,AssisP90,G+AP90,G-PBP90,G+A-PBP90,xGP90,xAGP90,xG+xAGP90,npxGP90,npxG+xAGP90
1,Nicolás Acevedo,uy URU,LT,Bahia,23,1999,31,21,1.970,21.9,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.05,0.04,0.04,0.05,0.09,1.32,5.11,1.64,000,000,000,000,000,004,005,010,004,010
2,Luiz Adriano,br BRA,AT,Internacional,35,1987,29,17,1.330,14.8,0.20,0.07,0.27,0.20,0.00,0.00,0.07,0.07,0.18,0.18,0.09,0.20,0.20,1.55,3.31,020,007,027,020,027,018,009,027,018,027
3,Adriel,br BRA,G,Grêmio,22,2001,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,000,000,000,000,000
4,Adryelson,br BRA,ZG,Botafogo (RJ),24,1998,35,35,2.996,33.3,0.03,0.03,0.06,0.03,0.00,0.00,0.18,0.03,0.03,0.03,0.01,0.03,0.06,1.68,0.09,003,003,006,003,006,003,001,004,003,004
5,Adson,br BRA,"AT,LT",Corinthians,22,2000,15,9,857,9.5,0.00,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.11,0.11,5.16,5.58,7.16,000,011,011,000,011,004,011,015,004,015
6,Adyson,br BRA,"AT,LT",América (MG),17,2005,8,1,245,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.07,0.07,0.15,0.00,6.30,6.30,15.6,000,000,000,000,000,007,014,021,007,021
7,Washington Aguerre,uy URU,G,América (MG),29,1993,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,000,000,000,000,000
8,Carlos Alberto,br BRA,"AT,LT",Botafogo (RJ),20,2002,15,1,296,3.3,0.61,0.00,0.61,0.61,0.00,0.00,0.00,0.00,0.33,0.33,0.06,0.30,3.03,2.73,8.79,061,000,061,061,061,035,007,042,035,042
9,Yuri Alberto,br BRA,AT,Corinthians,21,2001,34,32,2.722,30.2,0.26,0.10,0.36,0.26,0.00,0.00,0.20,0.00,0.33,0.33,0.09,0.40,1.36,0.93,6.75,026,010,036,026,036,033,009,042,033,042
10,Ale,br BRA,LT,América (MG),32,1990,27,14,1.424,15.8,0.06,0.00,0.06,0.06,0.00,0.00,0.44,0.06,0.11,0.11,0.09,0.19,1.84,6.96,2.34,006,000,006,006,006,012,009,020,012,020
11,Alexandre Alemão,br BRA,AT,Internacional,24,1998,9,3,340,3.8,0.26,0.00,0.26,0.26,0.00,0.00,0.53,0.00,0.32,0.32,0.03,0.26,1.84,1.84,9.74,026,000,026,026,026,033,004,036,033,036
12,Alerrandro,br BRA,"AT,LT",Red Bull Bragantino,23,2000,14,2,405,4.5,0.22,0.00,0.22,0.22,0.00,0.00,0.67,0.22,0.69,0.69,0.04,0.67,0.67,2.00,4.44,022,000,022,022,022,068,003,071,068,071
13,Alesson,br BRA,"AT,LT",Goiás,23,1999,23,3,655,7.3,0.27,0.14,0.41,0.27,0.00,0.00,0.41,0.00,0.15,0.15,0.07,0.14,3.15,1.23,9.32,027,014,041,027,041,016,007,023,016,023
14,Alex,br BRA,ZG,Santos,23,1999,6,5,455,5.1,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.02,0.02,0.08,0.00,0.59,1.37,0.00,000,000,000,000,000,003,008,011,003,011
15,Caio Alexandre,br BRA,LT,Fortaleza,23,1999,34,32,2.624,29.2,0.07,0.07,0.14,0.07,0.00,0.00,0.14,0.00,0.07,0.07,0.10,0.14,3.12,7.12,1.27,007,007,014,007,014,007,010,017,007,017
16,Matheus Alexandre,br BRA,ZG,Cuiabá,23,1999,35,33,2.980,33.1,0.03,0.00,0.03,0.03,0.00,0.00,0.15,0.00,0.02,0.02,0.04,0.03,1.24,3.29,2.93,003,000,003,003,003,002,003,006,002,006
17,Alexsander,br BRA,"LT,ZG",Fluminense,19,2003,19,13,1.194,13.3,0.00,0.08,0.08,0.00,0.00,0.00,0.23,0.00,0.02,0.02,0.11,0.08,2.86,3.98,3.98,000,008,008,000,008,002,011,013,002,013
18,Alison,br BRA,LT,Santos,29,1993,5,2,136,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.67,0.67,000,000,000,000,000,000,000,000,000,000
19,Alisson,br BRA,"LT,ZG",Atlético Mineiro,17,2005,5,0,49,0.5,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.40,0.00,6.00,6.00,20.0,000,000,000,000,000,003,033,035,003,035
20,Alisson,br BRA,"LT,AT",São Paulo,29,1993,35,26,2.153,23.9,0.00,0.21,0.21,0.00,0.00,0.00,0.08,0.00,0.05,0.05,0.11,0.13,1.67,6.03,4.39,000,021,021,000,021,005,011,016,005,016
21,Allan,br BRA,LT,Flamengo,25,1997,9,4,482,5.4,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.02,0.02,0.02,0.00,1.85,6.67,1.11,000,000,000,000,000,002,002,005,002,005
