Rank,Club,Country,Level,Elo,From,To
None,Benfica,POR,1,1424.7598877,1939-01-08,1939-01-08
None,Benfica,POR,1,1435.58483887,1939-01-09,1939-01-15
None,Benfica,POR,1,1445.78088379,1939-01-16,1939-01-22
None,Benfica,POR,1,1456.3359375,1939-01-23,1939-01-29
None,Benfica,POR,1,1445.23681641,1939-01-30,1939-02-05
None,Benfica,POR,1,1446.79614258,1939-02-06,1939-02-19
None,Benfica,POR,1,1428.79614258,1939-02-20,1939-02-26
None,Benfica,POR,1,1437.11560059,1939-02-27,1939-03-05
None,Benfica,POR,1,1447.5670166,1939-03-06,1939-03-12
None,Benfica,POR,1,1448.87121582,1939-03-13,1939-03-19
None,Benfica,POR,1,1431.07678223,1939-03-20,1939-03-26
None,Benfica,POR,1,1438.51257324,1939-03-27,1939-04-02
None,Benfica,POR,1,1448.07763672,1939-04-03,1939-04-09
None,Benfica,POR,1,1451.89074707,1939-04-10,1939-04-16
None,Benfica,POR,1,1459.79016113,1939-04-17,1939-04-23
None,Benfica,POR,1,1463.63818359,1939-04-24,1940-01-14
None,Benfica,POR,1,1466.41479492,1940-01-15,1940-02-04
None,Benfica,POR,1,1457.57519531,1940-02-05,1940-02-06
None,Benfica,POR,1,1463.19006348,1940-02-07,1940-02-11
None,Benfica,POR,1,1468.98303223,1940-02-12,1940-02-18
None,Benfica,POR,1,1477.25500488,1940-02-19,1940-02-25
None,Benfica,POR,1,1485.32177734,1940-02-26,1940-03-03
None,Benfica,POR,1,1471.8248291,1940-03-04,1940-03-10
None,Benfica,POR,1,1479.95788574,1940-03-11,1940-03-17
None,Benfica,POR,1,1474.62561035,1940-03-18,1940-03-24
None,Benfica,POR,1,1485.58410645,1940-03-25,1940-03-31
None,Benfica,POR,1,1476.75280762,1940-04-01,1940-04-07
None,Benfica,POR,1,1480.25476074,1940-04-08,1940-04-14
None,Benfica,POR,1,1471.08654785,1940-04-15,1940-04-21
None,Benfica,POR,1,1475.24536133,1940-04-22,1940-04-28
None,Benfica,POR,1,1477.0435791,1940-04-29,1940-05-05
None,Benfica,POR,1,1472.43078613,1940-05-06,1940-05-12
None,Benfica,POR,1,1478.73522949,1940-05-13,1940-05-19
None,Benfica,POR,1,1471.27490234,1940-05-20,1940-12-29
None,Benfica,POR,1,1468.22265625,1940-12-30,1941-01-01
None,Benfica,POR,1,1473.15087891,1941-01-02,1941-01-05
None,Benfica,POR,1,1478.3046875,1941-01-06,1941-01-19
None,Benfica,POR,1,1496.17492676,1941-01-20,1941-01-26
None,Benfica,POR,1,1503.27099609,1941-01-27,1941-02-02
None,Benfica,POR,1,1511.93310547,1941-02-03,1941-02-09
None,Benfica,POR,1,1509.97143555,1941-02-10,1941-02-23
None,Benfica,POR,1,1512.7980957,1941-02-24,1941-03-02
None,Benfica,POR,1,1505.08728027,1941-03-03,1941-03-09
None,Benfica,POR,1,1496.10913086,1941-03-10,1941-03-23
None,Benfica,POR,1,1482.26574707,1941-03-24,1941-03-30
None,Benfica,POR,1,1477.11450195,1941-03-31,1941-04-02
None,Benfica,POR,1,1478.67150879,1941-04-03,1941-04-06
None,Benfica,POR,1,1483.27429199,1941-04-07,1942-01-04
None,Benfica,POR,1,1500.27429199,1942-01-05,1942-01-18
None,Benfica,POR,1,1507.79589844,1942-01-19,1942-01-25
None,Benfica,POR,1,1510.10668945,1942-01-26,1942-02-01
None,Benfica,POR,1,1511.88769531,1942-02-02,1942-02-08
None,Benfica,POR,1,1500.2845459,1942-02-09,1942-02-15
None,Benfica,POR,1,1503.6418457,1942-02-16,1942-02-22
None,Benfica,POR,1,1497.82751465,1942-02-23,1942-03-01
None,Benfica,POR,1,1503.25964355,1942-03-02,1942-03-08
None,Benfica,POR,1,1527.21618652,1942-03-09,1942-03-15
None,Benfica,POR,1,1528.82373047,1942-03-16,1942-03-22
None,Benfica,POR,1,1535.18798828,1942-03-23,1942-03-29
None,Benfica,POR,1,1537.45483398,1942-03-30,1942-04-05
None,Benfica,POR,1,1539.76037598,1942-04-06,1942-04-12
None,Benfica,POR,1,1544.54187012,1942-04-13,1942-04-19
None,Benfica,POR,1,1551.22802734,1942-04-20,1942-04-26
None,Benfica,POR,1,1555.64172363,1942-04-27,1942-05-03
None,Benfica,POR,1,1558.75280762,1942-05-04,1942-05-10
None,Benfica,POR,1,1568.8046875,1942-05-11,1942-05-17
None,Benfica,POR,1,1557.45349121,1942-05-18,1942-05-24
None,Benfica,POR,1,1562.97216797,1942-05-25,1942-05-31
None,Benfica,POR,1,1565.83093262,1942-06-01,1942-06-07
