Rank,Club,Country,Level,Elo,From,To
None,RB Leipzig,GER,2,1397.40576172,2014-07-01,2014-07-31
None,RB Leipzig,GER,2,1397.76647949,2014-08-01,2014-08-02
None,RB Leipzig,GER,2,1398.19140625,2014-08-03,2014-08-07
None,RB Leipzig,GER,2,1390.13195801,2014-08-08,2014-08-10
None,RB Leipzig,GER,2,1410.29711914,2014-08-11,2014-08-19
None,RB Leipzig,GER,2,1411.12670898,2014-08-20,2014-08-21
None,RB Leipzig,GER,2,1411.25134277,2014-08-22,2014-08-22
None,RB Leipzig,GER,2,1417.80737305,2014-08-23,2014-08-27
None,RB Leipzig,GER,2,1418.53027344,2014-08-28,2014-08-28
None,RB Leipzig,GER,2,1418.77856445,2014-08-29,2014-08-29
None,RB Leipzig,GER,2,1421.37390137,2014-08-30,2014-09-13
None,RB Leipzig,GER,2,1435.21459961,2014-09-14,2014-09-16
None,RB Leipzig,GER,2,1434.52600098,2014-09-17,2014-09-17
None,RB Leipzig,GER,2,1437.95617676,2014-09-18,2014-09-18
None,RB Leipzig,GER,2,1434.64904785,2014-09-19,2014-09-21
None,RB Leipzig,GER,2,1428.23791504,2014-09-22,2014-09-24
None,RB Leipzig,GER,2,1440.83642578,2014-09-25,2014-09-28
None,RB Leipzig,GER,2,1445.47875977,2014-09-29,2014-09-30
None,RB Leipzig,GER,2,1443.6550293,2014-10-01,2014-10-01
None,RB Leipzig,GER,2,1449.67016602,2014-10-02,2014-10-02
None,RB Leipzig,GER,2,1447.12268066,2014-10-03,2014-10-06
None,RB Leipzig,GER,2,1445.07543945,2014-10-07,2014-10-17
None,RB Leipzig,GER,2,1440.7109375,2014-10-18,2014-10-21
None,RB Leipzig,GER,2,1445.55322266,2014-10-22,2014-10-22
None,RB Leipzig,GER,2,1452.05639648,2014-10-23,2014-10-23
None,RB Leipzig,GER,2,1456.29089355,2014-10-24,2014-10-24
None,RB Leipzig,GER,2,1465.61291504,2014-10-25,2014-11-03
None,RB Leipzig,GER,2,1466.68249512,2014-11-04,2014-11-04
None,RB Leipzig,GER,2,1471.0892334,2014-11-05,2014-11-05
None,RB Leipzig,GER,2,1466.96826172,2014-11-06,2014-11-06
None,RB Leipzig,GER,2,1470.05883789,2014-11-07,2014-11-08
None,RB Leipzig,GER,2,1463.40197754,2014-11-09,2014-11-23
None,RB Leipzig,GER,2,1473.84020996,2014-11-24,2014-11-25
None,RB Leipzig,GER,2,1465.74645996,2014-11-26,2014-11-26
None,RB Leipzig,GER,2,1458.28173828,2014-11-27,2014-11-27
None,RB Leipzig,GER,2,1454.74584961,2014-11-28,2014-11-30
None,RB Leipzig,GER,2,1454.8145752,2014-12-01,2014-12-07
None,RB Leipzig,GER,2,1447.26416016,2014-12-08,2014-12-09
None,RB Leipzig,GER,2,1445.92675781,2014-12-10,2014-12-10
None,RB Leipzig,GER,2,1447.63793945,2014-12-11,2014-12-11
None,RB Leipzig,GER,2,1452.63049316,2014-12-12,2014-12-12
None,RB Leipzig,GER,2,1464.16418457,2014-12-13,2014-12-17
None,RB Leipzig,GER,2,1465.09216309,2014-12-18,2014-12-22
None,RB Leipzig,GER,2,1462.88049316,2014-12-23,2015-02-06
None,RB Leipzig,GER,2,1451.21594238,2015-02-07,2015-02-15
None,RB Leipzig,GER,2,1441.87341309,2015-02-16,2015-02-17
None,RB Leipzig,GER,2,1441.37390137,2015-02-18,2015-02-18
None,RB Leipzig,GER,2,1440.61499023,2015-02-19,2015-02-19
None,RB Leipzig,GER,2,1441.13903809,2015-02-20,2015-02-23
None,RB Leipzig,GER,2,1445.18945312,2015-02-24,2015-02-24
None,RB Leipzig,GER,2,1444.29382324,2015-02-25,2015-02-25
None,RB Leipzig,GER,2,1446.5480957,2015-02-26,2015-02-26
None,RB Leipzig,GER,2,1444.18286133,2015-02-27,2015-03-01
None,RB Leipzig,GER,2,1451.30761719,2015-03-02,2015-03-09
None,RB Leipzig,GER,2,1455.18518066,2015-03-10,2015-03-10
None,RB Leipzig,GER,2,1455.42541504,2015-03-11,2015-03-11
None,RB Leipzig,GER,2,1457.52148438,2015-03-12,2015-03-12
None,RB Leipzig,GER,2,1459.07324219,2015-03-13,2015-03-16
None,RB Leipzig,GER,2,1470.98571777,2015-03-17,2015-03-17
None,RB Leipzig,GER,2,1471.02294922,2015-03-18,2015-03-18
None,RB Leipzig,GER,2,1467.05004883,2015-03-19,2015-03-19
None,RB Leipzig,GER,2,1467.92810059,2015-03-20,2015-03-22
None,RB Leipzig,GER,2,1460.43493652,2015-03-23,2015-04-05
None,RB Leipzig,GER,2,1468.47387695,2015-04-06,2015-04-12
None,RB Leipzig,GER,2,1477.86804199,2015-04-13,2015-04-15
None,RB Leipzig,GER,2,1473.46386719,2015-04-16,2015-04-16
None,RB Leipzig,GER,2,1465.95336914,2015-04-17,2015-04-20
None,RB Leipzig,GER,2,1470.2442627,2015-04-21,2015-04-21
None,RB Leipzig,GER,2,1477.10388184,2015-04-22,2015-04-23
None,RB Leipzig,GER,2,1476.95983887,2015-04-24,2015-04-24
None,RB Leipzig,GER,2,1484.09631348,2015-04-25,2015-05-03
None,RB Leipzig,GER,2,1476.00646973,2015-05-04,2015-05-06
None,RB Leipzig,GER,2,1471.91455078,2015-05-07,2015-05-08
None,RB Leipzig,GER,2,1449.63952637,2015-05-09,2015-05-12
None,RB Leipzig,GER,2,1450.13891602,2015-05-13,2015-05-17
None,RB Leipzig,GER,2,1445.51220703,2015-05-18,2015-05-24
None,RB Leipzig,GER,2,1455.37060547,2015-05-25,2015-07-25
None,RB Leipzig,GER,2,1464.29382324,2015-07-26,2015-07-30
None,RB Leipzig,GER,2,1464.4954834,2015-07-31,2015-08-03
None,RB Leipzig,GER,2,1462.71374512,2015-08-04,2015-08-06
None,RB Leipzig,GER,2,1463.15771484,2015-08-07,2015-08-15
None,RB Leipzig,GER,2,1477.39794922,2015-08-16,2015-08-18
None,RB Leipzig,GER,2,1475.21447754,2015-08-19,2015-08-20
None,RB Leipzig,GER,2,1475.47045898,2015-08-21,2015-08-23
None,RB Leipzig,GER,2,1465.82324219,2015-08-24,2015-08-26
None,RB Leipzig,GER,2,1471.6751709,2015-08-27,2015-08-27
None,RB Leipzig,GER,2,1471.96960449,2015-08-28,2015-08-28
None,RB Leipzig,GER,2,1473.5123291,2015-08-29,2015-09-11
None,RB Leipzig,GER,2,1483.98962402,2015-09-12,2015-09-15
None,RB Leipzig,GER,2,1483.81188965,2015-09-16,2015-09-16
None,RB Leipzig,GER,2,1486.40026855,2015-09-17,2015-09-17
None,RB Leipzig,GER,2,1488.77490234,2015-09-18,2015-09-18
None,RB Leipzig,GER,2,1490.16345215,2015-09-19,2015-09-24
None,RB Leipzig,GER,2,1493.22033691,2015-09-25,2015-09-27
None,RB Leipzig,GER,2,1492.80126953,2015-09-28,2015-09-29
None,RB Leipzig,GER,2,1492.69726562,2015-09-30,2015-09-30
None,RB Leipzig,GER,2,1487.78381348,2015-10-01,2015-10-01
None,RB Leipzig,GER,2,1479.97839355,2015-10-02,2015-10-04
None,RB Leipzig,GER,2,1487.38317871,2015-10-05,2015-10-18
None,RB Leipzig,GER,2,1496.83947754,2015-10-19,2015-10-20
None,RB Leipzig,GER,2,1490.3927002,2015-10-21,2015-10-21
None,RB Leipzig,GER,2,1493.76489258,2015-10-22,2015-10-22
None,RB Leipzig,GER,2,1495.66662598,2015-10-23,2015-10-23
None,RB Leipzig,GER,2,1501.13623047,2015-10-24,2015-11-01
None,RB Leipzig,GER,2,1510.31420898,2015-11-02,2015-11-03
None,RB Leipzig,GER,2,1505.74047852,2015-11-04,2015-11-04
None,RB Leipzig,GER,2,1505.70617676,2015-11-05,2015-11-05
None,RB Leipzig,GER,2,1508.29724121,2015-11-06,2015-11-08
None,RB Leipzig,GER,2,1494.41833496,2015-11-09,2015-11-21
None,RB Leipzig,GER,2,1501.79443359,2015-11-22,2015-11-24
