Rank,Club,Country,Level,Elo,From,To
None,Sporting,POR,1,1424.7598877,1939-01-08,1939-01-08
None,Sporting,POR,1,1419.34741211,1939-01-09,1939-01-15
None,Sporting,POR,1,1409.15136719,1939-01-16,1939-01-22
None,Sporting,POR,1,1417.00585938,1939-01-23,1939-01-29
None,Sporting,POR,1,1430.99829102,1939-01-30,1939-02-05
None,Sporting,POR,1,1444.99987793,1939-02-06,1939-02-06
None,Sporting,POR,1,1460.38525391,1939-02-07,1939-02-19
None,Sporting,POR,1,1442.38525391,1939-02-20,1939-03-05
None,Sporting,POR,1,1457.5300293,1939-03-06,1939-03-12
None,Sporting,POR,1,1454.7253418,1939-03-13,1939-03-19
None,Sporting,POR,1,1472.51965332,1939-03-20,1939-03-26
None,Sporting,POR,1,1472.87927246,1939-03-27,1939-04-02
None,Sporting,POR,1,1477.8873291,1939-04-03,1939-04-09
None,Sporting,POR,1,1491.82910156,1939-04-10,1939-04-16
None,Sporting,POR,1,1496.59521484,1939-04-17,1939-04-23
None,Sporting,POR,1,1499.66369629,1939-04-24,1940-01-14
None,Sporting,POR,1,1512.05664062,1940-01-15,1940-01-28
None,Sporting,POR,1,1517.77954102,1940-01-29,1940-02-04
None,Sporting,POR,1,1511.77954102,1940-02-05,1940-02-11
None,Sporting,POR,1,1515.72729492,1940-02-12,1940-02-18
None,Sporting,POR,1,1508.69360352,1940-02-19,1940-02-25
None,Sporting,POR,1,1513.12207031,1940-02-26,1940-03-03
None,Sporting,POR,1,1526.61901855,1940-03-04,1940-03-10
None,Sporting,POR,1,1529.60559082,1940-03-11,1940-03-17
None,Sporting,POR,1,1534.7253418,1940-03-18,1940-03-21
None,Sporting,POR,1,1539.8894043,1940-03-22,1940-03-24
None,Sporting,POR,1,1544.25390625,1940-03-25,1940-03-31
None,Sporting,POR,1,1548.01062012,1940-04-01,1940-04-07
None,Sporting,POR,1,1547.36157227,1940-04-08,1940-04-14
None,Sporting,POR,1,1555.25231934,1940-04-15,1940-04-21
None,Sporting,POR,1,1560.53259277,1940-04-22,1940-04-28
None,Sporting,POR,1,1564.90942383,1940-04-29,1940-05-05
None,Sporting,POR,1,1569.52209473,1940-05-06,1940-05-12
None,Sporting,POR,1,1574.7310791,1940-05-13,1940-05-19
None,Sporting,POR,1,1571.44445801,1940-05-20,1940-12-29
None,Sporting,POR,1,1581.42565918,1940-12-30,1941-01-01
None,Sporting,POR,1,1587.45129395,1941-01-02,1941-01-05
None,Sporting,POR,1,1593.21228027,1941-01-06,1941-01-19
None,Sporting,POR,1,1585.34204102,1941-01-20,1941-01-26
None,Sporting,POR,1,1591.04614258,1941-01-27,1941-02-02
None,Sporting,POR,1,1594.85546875,1941-02-03,1941-02-09
None,Sporting,POR,1,1597.0177002,1941-02-10,1941-02-23
None,Sporting,POR,1,1599.31152344,1941-02-24,1941-03-02
None,Sporting,POR,1,1600.34875488,1941-03-03,1941-03-09
None,Sporting,POR,1,1603.57250977,1941-03-10,1941-03-23
None,Sporting,POR,1,1609.41577148,1941-03-24,1941-03-30
None,Sporting,POR,1,1611.25830078,1941-03-31,1941-04-02
None,Sporting,POR,1,1595.79663086,1941-04-03,1941-04-06
None,Sporting,POR,1,1602.52355957,1941-04-07,1942-01-04
None,Sporting,POR,1,1619.52355957,1942-01-05,1942-01-18
None,Sporting,POR,1,1629.08935547,1942-01-19,1942-01-25
None,Sporting,POR,1,1618.71508789,1942-01-26,1942-02-01
None,Sporting,POR,1,1622.66052246,1942-02-02,1942-02-08
None,Sporting,POR,1,1624.63916016,1942-02-09,1942-02-15
None,Sporting,POR,1,1633.92773438,1942-02-16,1942-02-22
None,Sporting,POR,1,1636.44763184,1942-02-23,1942-03-01
None,Sporting,POR,1,1639.8581543,1942-03-02,1942-03-08
None,Sporting,POR,1,1615.90161133,1942-03-09,1942-03-15
None,Sporting,POR,1,1619.97143555,1942-03-16,1942-03-22
None,Sporting,POR,1,1622.07470703,1942-03-23,1942-03-29
None,Sporting,POR,1,1626.44226074,1942-03-30,1942-04-05
None,Sporting,POR,1,1615.37390137,1942-04-06,1942-04-12
None,Sporting,POR,1,1593.75744629,1942-04-13,1942-04-19
None,Sporting,POR,1,1595.75463867,1942-04-20,1942-04-26
None,Sporting,POR,1,1598.11108398,1942-04-27,1942-05-03
None,Sporting,POR,1,1601.46179199,1942-05-04,1942-05-10
None,Sporting,POR,1,1604.94177246,1942-05-11,1942-05-17
None,Sporting,POR,1,1605.9642334,1942-05-18,1942-05-24
None,Sporting,POR,1,1600.44567871,1942-05-25,1942-05-31
None,Sporting,POR,1,1601.77575684,1942-06-01,1942-06-07
None,Sporting,POR,1,1607.42089844,1942-06-08,1942-06-14
None,Sporting,POR,1,1608.45019531,1942-06-15,1943-01-10
None,Sporting,POR,1,1611.65209961,1943-01-11,1943-01-17
None,Sporting,POR,1,1612.98205566,1943-01-18,1943-01-24
None,Sporting,POR,1,1613.83117676,1943-01-25,1943-01-31
None,Sporting,POR,1,1592.8236084,1943-02-01,1943-02-07
None,Sporting,POR,1,1597.42504883,1943-02-08,1943-02-14
None,Sporting,POR,1,1598.69396973,1943-02-15,1943-02-21
None,Sporting,POR,1,1587.41174316,1943-02-22,1943-02-28
None,Sporting,POR,1,1591.86462402,1943-03-01,1943-03-07
None,Sporting,POR,1,1593.06188965,1943-03-08,1943-03-14
None,Sporting,POR,1,1594.19128418,1943-03-15,1943-03-21
None,Sporting,POR,1,1598.18615723,1943-03-22,1943-03-28
None,Sporting,POR,1,1604.72399902,1943-03-29,1943-04-04
None,Sporting,POR,1,1615.6776123,1943-04-05,1943-04-11
None,Sporting,POR,1,1616.02124023,1943-04-12,1943-04-25
None,Sporting,POR,1,1620.40600586,1943-04-26,1943-05-02
None,Sporting,POR,1,1623.82202148,1943-05-03,1943-05-09
None,Sporting,POR,1,1618.68676758,1943-05-10,1943-05-16
