Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Guangzhou Evergrande,1,1,0,0,4,1,3,3,1
Guangzhou Rich and Force,1,1,0,0,0,0,0,3,2
Shanghai SIPG,1,0,1,0,3,2,1,1,3
Beijing Guoan,1,0,1,0,1,1,0,1,4
Shanghai Greenland,1,0,1,0,0,1,-1,1,5
Jiangsu Suning,1,0,1,0,0,2,-2,1,6
Hangzhou Greentown,1,0,0,1,2,0,2,0,7
Shijiazhuang Ever Bright,1,0,0,1,2,1,1,0,8
Hebei China Fortune FC,1,0,0,1,4,4,0,0,9
Henan Jianye,1,0,0,1,0,0,0,0,10
Chongqing Lifan,1,0,0,1,1,2,-1,0,11
Changchun Yatai,1,0,0,1,1,2,-1,0,12
Shandong Luneng,1,0,0,1,0,1,-1,0,13
Yanbian FC,1,0,0,1,0,1,-1,0,14
Liaoning,1,0,0,1,0,1,-1,0,15
Tianjin Teda,1,0,0,1,1,5,-4,0,16
Guangzhou Evergrande,2,2,0,0,6,1,5,6,1
Shanghai SIPG,2,1,1,0,4,2,2,4,2
Guangzhou Rich and Force,2,1,1,0,1,0,1,4,3
Shanghai Greenland,2,1,1,0,2,2,0,4,4
Jiangsu Suning,2,1,1,0,1,2,-1,4,5
Beijing Guoan,2,0,2,0,1,2,-1,2,6
Yanbian FC,2,0,1,1,3,1,2,1,7
Hebei China Fortune FC,2,0,1,1,5,4,1,1,8
Shijiazhuang Ever Bright,2,0,1,1,3,2,1,1,9
Hangzhou Greentown,2,0,1,1,3,2,1,1,10
Changchun Yatai,2,0,1,1,2,2,0,1,11
Henan Jianye,2,0,1,1,1,1,0,1,12
Shandong Luneng,2,0,1,1,2,3,-1,1,13
Liaoning,2,0,1,1,1,3,-2,1,14
Chongqing Lifan,2,0,1,1,1,4,-3,1,15
Tianjin Teda,2,0,1,1,1,5,-4,1,16
Guangzhou Evergrande,3,2,1,0,7,1,6,7,1
Shanghai Greenland,3,2,1,0,7,4,3,7,2
Shanghai SIPG,3,1,2,0,5,2,3,5,3
Guangzhou Rich and Force,3,1,2,0,3,0,3,5,4
Jiangsu Suning,3,1,2,0,3,3,0,5,5
Beijing Guoan,3,0,3,0,1,6,-5,3,6
Yanbian FC,3,0,1,2,5,1,4,1,7
Shijiazhuang Ever Bright,3,0,1,2,4,4,0,1,8
Hangzhou Greentown,3,0,1,2,5,6,-1,1,9
Hebei China Fortune FC,3,0,1,2,5,6,-1,1,10
Henan Jianye,3,0,1,2,2,3,-1,1,11
Shandong Luneng,3,0,1,2,2,3,-1,1,12
Liaoning,3,0,1,2,3,5,-2,1,13
Chongqing Lifan,3,0,1,2,5,8,-3,1,14
Changchun Yatai,3,0,1,2,2,5,-3,1,15
Tianjin Teda,3,0,1,2,2,8,-6,1,16
Shanghai Greenland,4,3,1,0,7,4,3,10,1
Guangzhou Evergrande,4,2,2,0,9,1,8,8,2
Jiangsu Suning,4,2,2,0,8,4,4,8,3
Guangzhou Rich and Force,4,2,2,0,4,2,2,8,4
Shanghai SIPG,4,1,3,0,6,3,3,6,5
Beijing Guoan,4,0,3,1,1,6,-5,3,6
Yanbian FC,4,0,1,3,5,5,0,1,7
Shandong Luneng,4,0,1,3,3,4,-1,1,8
Hangzhou Greentown,4,0,1,3,5,7,-2,1,9
Hebei China Fortune FC,4,0,1,3,5,7,-2,1,10
Henan Jianye,4,0,1,3,2,4,-2,1,11
Changchun Yatai,4,0,1,3,6,9,-3,1,12
Chongqing Lifan,4,0,1,3,5,9,-4,1,13
Shijiazhuang Ever Bright,4,0,1,3,5,10,-5,1,14
Liaoning,4,0,1,3,3,8,-5,1,15
Tianjin Teda,4,0,1,3,3,9,-6,1,16
Guangzhou Evergrande,5,3,2,0,9,1,8,11,1
Jiangsu Suning,5,3,2,0,11,4,7,11,2
Guangzhou Rich and Force,5,3,2,0,6,3,3,11,3
Shanghai Greenland,5,3,2,0,8,6,2,11,4
Shanghai SIPG,5,2,3,0,6,7,-1,9,5
Beijing Guoan,5,0,4,1,2,8,-6,4,6
Yanbian FC,5,0,2,3,7,6,1,2,7
