Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Beitar Jerusalem,1,1,0,0,4,1,3,3,1
Maccabi Petach-Tikva,1,1,0,0,2,0,2,3,2
Hapoel Beer Sheva,1,1,0,0,2,1,1,3,3
Maccabi Tel Aviv,1,1,0,0,2,1,1,3,4
Maccabi Haifa,1,0,1,0,3,0,3,1,5
Ironi Kiryat Shmona,1,0,1,0,3,1,2,1,6
Hapoel Tel Aviv,1,0,1,0,1,1,0,1,7
Hapoel Kfar Saba,1,0,1,0,0,0,0,1,8
Hapoel Haifa,1,0,1,0,1,2,-1,1,9
Bnei Sachnin FC,1,0,1,0,1,2,-1,1,10
Hapoel Raanana,1,0,1,0,0,1,-1,1,11
FC Ashdod,1,0,1,0,0,1,-1,1,12
Bnei Yehuda Tel Aviv,1,0,1,0,1,3,-2,1,13
Hapoel Ashkelon,1,0,0,1,0,0,0,0,14
Hapoel Beer Sheva,2,2,0,0,5,1,4,6,1
Maccabi Tel Aviv,2,2,0,0,5,1,4,6,2
Beitar Jerusalem,2,1,1,0,5,2,3,4,3
Ironi Kiryat Shmona,2,1,1,0,4,1,3,4,4
Maccabi Petach-Tikva,2,1,1,0,4,1,3,4,5
Bnei Yehuda Tel Aviv,2,1,1,0,1,3,-2,4,6
Maccabi Haifa,2,0,2,0,3,1,2,2,7
Bnei Sachnin FC,2,0,2,0,1,3,-2,2,8
Hapoel Tel Aviv,2,0,1,1,2,1,1,1,9
FC Ashdod,2,0,1,1,0,1,-1,1,10
Hapoel Kfar Saba,2,0,1,1,1,3,-2,1,11
Hapoel Raanana,2,0,1,1,0,2,-2,1,12
Hapoel Haifa,2,0,1,1,2,5,-3,1,13
Hapoel Ashkelon,2,0,0,2,1,1,0,0,14
Hapoel Beer Sheva,3,3,0,0,7,1,6,9,1
Maccabi Tel Aviv,3,3,0,0,6,1,5,9,2
Ironi Kiryat Shmona,3,2,1,0,5,2,3,7,3
Beitar Jerusalem,3,2,1,0,6,4,2,7,4
Maccabi Petach-Tikva,3,2,1,0,4,3,1,7,5
Maccabi Haifa,3,1,2,0,4,1,3,5,6
Bnei Sachnin FC,3,1,2,0,1,4,-3,5,7
Hapoel Haifa,3,1,1,1,3,6,-3,4,8
Bnei Yehuda Tel Aviv,3,1,1,1,2,5,-3,4,9
Hapoel Tel Aviv,3,0,2,1,3,1,2,2,10
FC Ashdod,3,0,2,1,1,1,0,2,11
Hapoel Kfar Saba,3,0,2,1,2,3,-1,2,12
Hapoel Raanana,3,0,2,1,1,2,-1,2,13
Hapoel Ashkelon,3,0,1,2,2,1,1,1,14
Hapoel Beer Sheva,4,4,0,0,10,1,9,12,1
