Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Auckland City FC,1,1,0,0,4,0,4,3,1
Team Wellington,1,0,0,1,1,2,-1,0,2
Tasman United,1,0,0,1,1,2,-1,0,3
Wellington Phoenix R,1,0,0,1,0,1,-1,0,4
Hawkes Bay United FC,1,0,0,1,0,1,-1,0,5
Hamilton Wanderers,1,0,0,1,0,2,-2,0,6
Southern United,1,0,0,1,0,2,-2,0,7
Waitakere United,1,0,0,1,0,2,-2,0,8
Eastern Suburbs,1,0,0,1,1,4,-3,0,9
Canterbury United,1,0,0,1,0,4,-4,0,10
Auckland City FC,2,2,0,0,6,0,6,6,1
Hawkes Bay United FC,2,0,1,1,1,2,-1,1,2
Waitakere United,2,0,1,1,1,3,-2,1,3
Eastern Suburbs,2,0,1,1,1,4,-3,1,4
Team Wellington,2,0,1,1,3,7,-4,1,5
Canterbury United,2,0,1,1,0,6,-6,1,6
Tasman United,2,0,0,2,4,5,-1,0,7
Wellington Phoenix R,2,0,0,2,1,3,-2,0,8
Southern United,2,0,0,2,0,4,-4,0,9
Hamilton Wanderers,2,0,0,2,0,5,-5,0,10
Auckland City FC,3,3,0,0,7,0,7,9,1
Team Wellington,3,1,1,1,8,8,0,4,2
Hawkes Bay United FC,3,1,1,1,5,5,0,4,3
Waitakere United,3,1,1,1,4,4,0,4,4
Eastern Suburbs,3,1,1,1,3,4,-1,4,5
Canterbury United,3,1,1,1,3,6,-3,4,6
Tasman United,3,0,1,2,6,7,-1,1,7
Wellington Phoenix R,3,0,1,2,3,7,-4,1,8
Southern United,3,0,1,2,1,7,-6,1,9
Hamilton Wanderers,3,0,0,3,1,7,-6,0,10
Auckland City FC,4,4,0,0,8,0,8,12,1
Hawkes Bay United FC,4,2,1,1,7,6,1,7,2
Team Wellington,4,2,1,1,9,9,0,7,3
Canterbury United,4,2,1,1,5,7,-2,7,4
Waitakere United,4,1,2,1,5,7,-2,5,5
Eastern Suburbs,4,1,2,1,4,6,-2,5,6
Tasman United,4,0,1,3,6,7,-1,1,7
Wellington Phoenix R,4,0,1,3,4,8,-4,1,8
Southern United,4,0,1,3,1,8,-7,1,9
Hamilton Wanderers,4,0,0,4,2,9,-7,0,10
Auckland City FC,5,5,0,0,12,1,11,15,1
Hawkes Bay United FC,5,2,2,1,7,7,0,8,2
Canterbury United,5,2,2,1,6,8,-2,8,3
Team Wellington,5,2,1,2,13,10,3,7,4
Waitakere United,5,1,2,2,6,8,-2,5,5
Eastern Suburbs,5,1,2,2,4,11,-7,5,6
Wellington Phoenix R,5,0,2,3,5,11,-6,2,7
Tasman United,5,0,1,4,7,9,-2,1,8
Hamilton Wanderers,5,0,1,4,6,11,-5,1,9
Southern United,5,0,1,4,1,11,-10,1,10
Auckland City FC,6,6,0,0,14,2,12,18,1
Hawkes Bay United FC,6,3,2,1,11,8,3,11,2
Canterbury United,6,2,3,1,6,8,-2,9,3
Team Wellington,6,2,2,2,13,12,1,8,4
Waitakere United,6,1,3,2,6,10,-4,6,5
