Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
LDU Quito,1,1,0,0,1,0,1,3,1
Universidad Catolica,1,0,1,0,2,0,2,1,2
FC Barcelona,1,0,1,0,1,2,-1,1,3
Octubre,1,0,1,0,2,4,-2,1,4
CS Emelec,1,0,1,0,1,3,-2,1,5
Tecnico Universitario,1,0,1,0,0,2,-2,1,6
Independiente del Valle,1,0,1,0,0,2,-2,1,7
SD Aucas,1,0,1,0,1,4,-3,1,8
Orense,1,0,0,1,4,1,3,0,9
River Ecuador,1,0,0,1,3,0,3,0,10
Manta FC,1,0,0,1,1,0,1,0,11
Deportivo Cuenca,1,0,0,1,2,2,0,0,12
Macara,1,0,0,1,1,1,0,0,13
Delfin SC,1,0,0,1,1,2,-1,0,14
Mushuc Runa,1,0,0,1,0,1,-1,0,15
CD Olmedo,1,0,0,1,0,5,-5,0,16
LDU Quito,2,2,0,0,1,3,-2,6,1
Independiente del Valle,2,1,1,0,2,2,0,4,2
CS Emelec,2,1,1,0,3,4,-1,4,3
Universidad Catolica,2,0,2,0,2,1,1,2,4
FC Barcelona,2,0,2,0,2,3,-1,2,5
Octubre,2,0,2,0,4,6,-2,2,6
Tecnico Universitario,2,0,2,0,0,2,-2,2,7
SD Aucas,2,0,2,0,1,8,-7,2,8
Deportivo Cuenca,2,0,1,1,2,4,-2,1,9
Delfin SC,2,0,1,1,2,6,-4,1,10
Mushuc Runa,2,0,1,1,0,4,-4,1,11
Orense,2,0,0,2,5,3,2,0,12
River Ecuador,2,0,0,2,3,3,0,0,13
Manta FC,2,0,0,2,1,1,0,0,14
Macara,2,0,0,2,2,5,-3,0,15
CD Olmedo,2,0,0,2,2,6,-4,0,16
LDU Quito,3,3,0,0,1,4,-3,9,1
Independiente del Valle,3,2,1,0,4,2,2,7,2
CS Emelec,3,2,1,0,4,5,-1,7,3
Universidad Catolica,3,1,2,0,7,2,5,5,4
FC Barcelona,3,1,2,0,6,3,3,5,5
Octubre,3,1,2,0,4,10,-6,5,6
SD Aucas,3,1,2,0,2,8,-6,5,7
Mushuc Runa,3,1,1,1,3,4,-1,4,8
Tecnico Universitario,3,0,3,0,1,3,-2,3,9
Deportivo Cuenca,3,0,2,1,4,5,-1,2,10
Delfin SC,3,0,2,1,2,8,-6,2,11
Orense,3,0,1,2,5,5,0,1,12
Manta FC,3,0,1,2,2,2,0,1,13
Macara,3,0,1,2,2,5,-3,1,14
River Ecuador,3,0,0,3,3,5,-2,0,15
CD Olmedo,3,0,0,3,2,11,-9,0,16
LDU Quito,4,4,0,0,2,8,-6,12,1
Independiente del Valle,4,3,1,0,6,2,4,10,2
CS Emelec,4,3,1,0,7,6,1,10,3
Universidad Catolica,4,2,2,0,7,2,5,8,4
FC Barcelona,4,2,2,0,6,4,2,8,5
Mushuc Runa,4,2,1,1,4,4,0,7,6
SD Aucas,4,1,3,0,4,9,-5,6,7
Octubre,4,1,3,0,4,12,-8,6,8
Tecnico Universitario,4,0,4,0,2,3,-1,4,9
Deportivo Cuenca,4,0,3,1,6,8,-2,3,10
Delfin SC,4,0,3,1,3,8,-5,3,11
Orense,4,0,2,2,5,6,-1,2,12
Macara,4,0,2,2,5,7,-2,2,13
Manta FC,4,0,2,2,2,4,-2,2,14
River Ecuador,4,0,1,3,4,7,-3,1,15
CD Olmedo,4,0,0,4,3,11,-8,0,16
CS Emelec,5,4,1,0,11,6,5,13,1
Independiente del Valle,5,4,1,0,8,4,4,13,2
LDU Quito,5,4,1,0,4,8,-4,13,3
Universidad Catolica,5,3,2,0,8,2,6,11,4
Mushuc Runa,5,3,1,1,6,5,1,10,5
FC Barcelona,5,2,3,0,6,5,1,9,6
SD Aucas,5,1,4,0,5,10,-5,7,7
Octubre,5,1,4,0,5,14,-9,7,8
Tecnico Universitario,5,0,5,0,5,3,2,5,9
Deportivo Cuenca,5,0,4,1,6,9,-3,4,10
Delfin SC,5,0,4,1,3,8,-5,4,11
Orense,5,0,3,2,8,8,0,3,12
