Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
HJK Helsinki,1,1,0,0,2,1,1,3,1
Kuopion PS,1,0,1,0,2,2,0,1,2
Seinajoki,1,0,0,1,3,2,1,0,3
Ilves Tampere,1,0,0,1,1,0,1,0,4
Helsingfors IFK,1,0,0,1,1,1,0,0,5
Kotkan Tyovaen Palloilijat,1,0,0,1,1,1,0,0,6
Haka Valkeakoski,1,0,0,1,1,1,0,0,7
FC Honka,1,0,0,1,0,0,0,0,8
FC Lahti,1,0,0,1,0,0,0,0,9
Inter Turku,1,0,0,1,1,2,-1,0,10
IFK Mariehamn,1,0,0,1,0,1,-1,0,11
Oulu,1,0,0,1,0,3,-3,0,12
HJK Helsinki,2,1,1,0,4,3,1,4,1
Kuopion PS,2,0,2,0,3,3,0,2,2
Seinajoki,2,0,1,1,5,3,2,1,3
FC Lahti,2,0,1,1,1,0,1,1,4
Inter Turku,2,0,1,1,1,4,-3,1,5
Ilves Tampere,2,0,0,2,5,2,3,0,6
Helsingfors IFK,2,0,0,2,5,3,2,0,7
FC Honka,2,0,0,2,2,0,2,0,8
Haka Valkeakoski,2,0,0,2,1,1,0,0,9
Kotkan Tyovaen Palloilijat,2,0,0,2,2,3,-1,0,10
IFK Mariehamn,2,0,0,2,0,3,-3,0,11
Oulu,2,0,0,2,0,6,-6,0,12
HJK Helsinki,3,2,1,0,7,3,4,7,1
Kuopion PS,3,0,3,0,4,4,0,3,2
Inter Turku,3,0,2,1,2,5,-3,2,3
FC Lahti,3,0,1,2,5,2,3,1,4
Seinajoki,3,0,1,2,5,4,1,1,5
Ilves Tampere,3,0,0,3,5,3,2,0,6
FC Honka,3,0,0,3,3,1,2,0,7
Helsingfors IFK,3,0,0,3,6,8,-2,0,8
Kotkan Tyovaen Palloilijat,3,0,0,3,3,5,-2,0,9
Haka Valkeakoski,3,0,0,3,2,4,-2,0,10
Oulu,3,0,0,3,2,6,-4,0,11
IFK Mariehamn,3,0,0,3,0,4,-4,0,12
HJK Helsinki,4,3,1,0,7,3,4,10,1
Kuopion PS,4,1,3,0,6,6,0,6,2
Inter Turku,4,1,2,1,5,5,0,5,3
Seinajoki,4,1,1,2,6,4,2,4,4
FC Lahti,4,1,1,2,5,3,2,4,5
Ilves Tampere,4,1,0,3,7,4,3,3,6
FC Honka,4,1,0,3,4,1,3,3,7
Haka Valkeakoski,4,1,0,3,3,4,-1,3,8
Kotkan Tyovaen Palloilijat,4,0,1,3,7,5,2,1,9
Helsingfors IFK,4,0,1,3,8,8,0,1,10
IFK Mariehamn,4,0,1,3,1,4,-3,1,11
Oulu,4,0,0,4,3,11,-8,0,12
HJK Helsinki,5,4,1,0,7,3,4,13,1
Kuopion PS,5,2,3,0,6,8,-2,9,2
Inter Turku,5,2,2,1,5,7,-2,8,3
Seinajoki,5,1,2,2,6,7,-1,5,4
FC Lahti,5,1,2,2,5,7,-2,5,5
Ilves Tampere,5,1,1,3,8,6,2,4,6
Haka Valkeakoski,5,1,1,3,5,5,0,4,7
FC Honka,5,1,0,4,4,2,2,3,8
Helsingfors IFK,5,0,2,3,8,8,0,2,9
Kotkan Tyovaen Palloilijat,5,0,1,4,7,6,1,1,10
IFK Mariehamn,5,0,1,4,2,4,-2,1,11
Oulu,5,0,0,5,4,11,-7,0,12
