Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Bodo/Glimt,1,1,0,0,1,4,-3,3,1
Molde FK,1,0,0,1,4,1,3,0,2
Sarpsborg 08,1,0,0,1,2,0,2,0,3
Tromso IL,1,0,0,1,1,0,1,0,4
Viking Stavanger,1,0,0,1,1,1,0,0,5
Brann Bergen,1,0,0,1,1,1,0,0,6
Lillestrom SK,1,0,0,1,1,1,0,0,7
Mjondalen IF,1,0,0,1,0,0,0,0,8
FK Haugesund,1,0,0,1,2,3,-1,0,9
Kristiansund BK,1,0,0,1,0,1,-1,0,10
Sandefjord Fotball,1,0,0,1,0,1,-1,0,11
Valerenga IF,1,0,0,1,1,3,-2,0,12
Stabaek IF,1,0,0,1,1,3,-2,0,13
Odd Grenland,1,0,0,1,0,2,-2,0,14
Rosenborg Trondheim,1,0,0,1,0,3,-3,0,15
Stromsgodset IF,1,0,0,1,0,3,-3,0,16
Bodo/Glimt,2,2,0,0,2,5,-3,6,1
Molde FK,2,0,1,1,5,1,4,1,2
Tromso IL,2,0,0,2,4,2,2,0,3
Viking Stavanger,2,0,0,2,2,2,0,0,4
Lillestrom SK,2,0,0,2,2,2,0,0,5
Mjondalen IF,2,0,0,2,0,0,0,0,6
Sarpsborg 08,2,0,0,2,2,3,-1,0,7
Valerenga IF,2,0,0,2,2,4,-2,0,8
Rosenborg Trondheim,2,0,0,2,0,3,-3,0,9
Sandefjord Fotball,2,0,0,2,0,3,-3,0,10
FK Haugesund,2,0,0,2,3,7,-4,0,11
Brann Bergen,2,0,0,2,2,6,-4,0,12
Kristiansund BK,2,0,0,2,0,5,-5,0,13
Stromsgodset IF,2,0,0,2,0,5,-5,0,14
Stabaek IF,2,0,0,2,2,8,-6,0,15
Odd Grenland,2,0,0,2,0,9,-9,0,16
Bodo/Glimt,3,3,0,0,5,6,-1,9,1
Molde FK,3,1,1,1,6,2,4,4,2
Viking Stavanger,3,0,1,2,2,4,-2,1,3
Tromso IL,3,0,0,3,6,3,3,0,4
Valerenga IF,3,0,0,3,3,4,-1,0,5
Sarpsborg 08,3,0,0,3,3,4,-1,0,6
Lillestrom SK,3,0,0,3,5,7,-2,0,7
Stromsgodset IF,3,0,0,3,3,6,-3,0,8
Rosenborg Trondheim,3,0,0,3,1,4,-3,0,9
Kristiansund BK,3,0,0,3,2,6,-4,0,10
Mjondalen IF,3,0,0,3,1,5,-4,0,11
Brann Bergen,3,0,0,3,3,8,-5,0,12
Sandefjord Fotball,3,0,0,3,0,6,-6,0,13
FK Haugesund,3,0,0,3,3,11,-8,0,14
Stabaek IF,3,0,0,3,2,11,-9,0,15
Odd Grenland,3,0,0,3,0,9,-9,0,16
Bodo/Glimt,4,4,0,0,6,6,0,12,1
Molde FK,4,2,1,1,7,3,4,7,2
Viking Stavanger,4,0,2,2,5,6,-1,2,3
Valerenga IF,4,0,1,3,4,6,-2,1,4
Rosenborg Trondheim,4,0,1,3,1,6,-5,1,5
Tromso IL,4,0,0,4,6,6,0,0,6
Stromsgodset IF,4,0,0,4,4,6,-2,0,7
Lillestrom SK,4,0,0,4,6,9,-3,0,8
Sarpsborg 08,4,0,0,4,3,7,-4,0,9
Brann Bergen,4,0,0,4,3,8,-5,0,10
Kristiansund BK,4,0,0,4,2,7,-5,0,11
Sandefjord Fotball,4,0,0,4,1,6,-5,0,12
Mjondalen IF,4,0,0,4,1,6,-5,0,13
FK Haugesund,4,0,0,4,3,12,-9,0,14
Odd Grenland,4,0,0,4,0,11,-11,0,15
Stabaek IF,4,0,0,4,2,15,-13,0,16
Bodo/Glimt,5,5,0,0,7,7,0,15,1
Molde FK,5,3,1,1,11,3,8,10,2
Viking Stavanger,5,1,2,2,5,7,-2,5,3
Valerenga IF,5,0,2,3,6,7,-1,2,4
Rosenborg Trondheim,5,0,2,3,5,6,-1,2,5
Stromsgodset IF,5,0,1,4,5,7,-2,1,6
Lillestrom SK,5,0,1,4,6,10,-4,1,7
Sarpsborg 08,5,0,1,4,4,9,-5,1,8
FK Haugesund,5,0,1,4,4,13,-9,1,9
Tromso IL,5,0,0,5,6,7,-1,0,10
