Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Malmo FF,1,1,0,0,0,0,0,3,1
AIK Solna,1,0,1,0,0,0,0,1,2
IF Elfsborg,1,0,0,1,3,1,2,0,3
IFK Norrkoping,1,0,0,1,1,0,1,0,4
Hacken,1,0,0,1,1,1,0,0,5
Degerfors,1,0,0,1,1,1,0,0,6
Orebro SK,1,0,0,1,0,0,0,0,7
Halmstads BK,1,0,0,1,0,0,0,0,8
Mjallby AIF,1,0,0,1,1,2,-1,0,9
Djurgardens,1,0,0,1,1,2,-1,0,10
IFK Goteborg,1,0,0,1,1,2,-1,0,11
Sirius,1,0,0,1,1,3,-2,0,12
Ostersunds FK,1,0,0,1,0,3,-3,0,13
Varbergs BoIS,1,0,0,1,0,3,-3,0,14
Kalmar FF,1,0,0,1,0,6,-6,0,15
Hammarby IF,1,0,0,1,0,6,-6,0,16
Malmo FF,2,2,0,0,0,0,0,6,1
AIK Solna,2,1,1,0,0,0,0,4,2
IF Elfsborg,2,1,0,1,8,2,6,3,3
IFK Norrkoping,2,1,0,1,5,1,4,3,4
Hacken,2,1,0,1,3,1,2,3,5
Mjallby AIF,2,1,0,1,3,2,1,3,6
Djurgardens,2,1,0,1,3,2,1,3,7
IFK Goteborg,2,1,0,1,2,2,0,3,8
Hammarby IF,2,1,0,1,5,7,-2,3,9
Varbergs BoIS,2,1,0,1,0,3,-3,3,10
Kalmar FF,2,1,0,1,2,7,-5,3,11
Degerfors,2,0,1,1,3,1,2,1,12
Sirius,2,0,1,1,4,3,1,1,13
Halmstads BK,2,0,1,1,1,0,1,1,14
Ostersunds FK,2,0,1,1,1,5,-4,1,15
Orebro SK,2,0,0,2,2,4,-2,0,16
Malmo FF,3,3,0,0,2,1,1,9,1
AIK Solna,3,1,2,0,1,0,1,5,2
IF Elfsborg,3,1,1,1,8,2,6,4,3
IFK Norrkoping,3,1,1,1,5,2,3,4,4
Mjallby AIF,3,1,1,1,4,2,2,4,5
Hacken,3,1,1,1,3,3,0,4,6
Djurgardens,3,1,1,1,3,3,0,4,7
Varbergs BoIS,3,1,1,1,2,4,-2,4,8
Hammarby IF,3,1,1,1,5,9,-4,4,9
Kalmar FF,3,1,1,1,3,8,-5,4,10
IFK Goteborg,3,1,1,1,2,8,-6,4,11
Degerfors,3,0,2,1,3,1,2,2,12
Halmstads BK,3,0,2,1,1,0,1,2,13
Sirius,3,0,2,1,6,6,0,2,14
Orebro SK,3,0,1,2,2,5,-3,1,15
Ostersunds FK,3,0,1,2,2,10,-8,1,16
Malmo FF,4,4,0,0,3,4,-1,12,1
AIK Solna,4,1,3,0,1,1,0,6,2
IF Elfsborg,4,1,2,1,9,4,5,5,3
IFK Norrkoping,4,1,2,1,7,5,2,5,4
Mjallby AIF,4,1,2,1,6,4,2,5,5
Halmstads BK,4,1,2,1,2,0,2,5,6
Djurgardens,4,1,2,1,4,5,-1,5,7
Hammarby IF,4,1,2,1,6,9,-3,5,8
IFK Goteborg,4,1,2,1,2,8,-6,5,9
Kalmar FF,4,1,2,1,5,12,-7,5,10
Hacken,4,1,1,2,4,6,-2,4,11
Varbergs BoIS,4,1,1,2,4,6,-2,4,12
Degerfors,4,0,2,2,3,2,1,2,13
Sirius,4,0,2,2,6,8,-2,2,14
Orebro SK,4,0,1,3,2,7,-5,1,15
Ostersunds FK,4,0,1,3,2,10,-8,1,16
Malmo FF,5,5,0,0,3,5,-2,15,1
Mjallby AIF,5,2,2,1,7,4,3,8,2
