Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
River Plate,1,1,0,0,2,0,2,3,1
Racing Club,1,1,0,0,1,1,0,3,2
Barracas Central,1,0,1,0,3,1,2,1,3
Huracan,1,0,1,0,3,1,2,1,4
Tigre,1,0,1,0,3,1,2,1,5
Rosario Central,1,0,1,0,3,2,1,1,6
CD Godoy Cruz,1,0,1,0,2,1,1,1,7
CA Banfield,1,0,1,0,1,0,1,1,8
Platense,1,0,1,0,1,0,1,1,9
Argentinos Juniors,1,0,1,0,1,0,1,1,10
GyE La Plata,1,0,1,0,1,0,1,1,11
Patronato,1,0,1,0,2,2,0,1,12
Independiente,1,0,1,0,2,2,0,1,13
Arsenal Sarandi,1,0,1,0,1,1,0,1,14
Velez Sarsfield,1,0,1,0,1,1,0,1,15
Talleres Cordoba,1,0,1,0,1,2,-1,1,16
Boca Juniors,1,0,1,0,1,2,-1,1,17
Sarmiento de Junin,1,0,1,0,1,2,-1,1,18
Union de Santa Fe,1,0,1,0,0,1,-1,1,19
Newells Old Boys,1,0,1,0,0,1,-1,1,20
Atletico Tucuman,1,0,1,0,1,3,-2,1,21
Central Cordoba,1,0,1,0,1,3,-2,1,22
San Lorenzo,1,0,1,0,0,2,-2,1,23
Defensa y Justicia,1,0,1,0,1,4,-3,1,24
CA Colon,1,0,0,1,1,1,0,0,25
CA Lanus,1,0,0,1,0,0,0,0,26
Aldosivi,1,0,0,1,1,3,-2,0,27
Estudiantes,1,0,0,1,1,5,-4,0,28
River Plate,2,1,1,0,2,0,2,4,1
Racing Club,2,1,1,0,2,2,0,4,2
Atletico Tucuman,2,1,1,0,2,4,-2,4,3
Huracan,2,0,2,0,6,1,5,2,4
Barracas Central,2,0,2,0,5,1,4,2,5
Argentinos Juniors,2,0,2,0,3,0,3,2,6
Tigre,2,0,2,0,5,3,2,2,7
GyE La Plata,2,0,2,0,2,0,2,2,8
Talleres Cordoba,2,0,2,0,4,4,0,2,9
Patronato,2,0,2,0,3,5,-2,2,10
Boca Juniors,2,0,2,0,1,3,-2,2,11
San Lorenzo,2,0,2,0,0,4,-4,2,12
Newells Old Boys,2,0,2,0,0,4,-4,2,13
Rosario Central,2,0,1,1,5,3,2,1,14
Platense,2,0,1,1,2,0,2,1,15
Independiente,2,0,1,1,5,4,1,1,16
CD Godoy Cruz,2,0,1,1,4,4,0,1,17
CA Banfield,2,0,1,1,2,2,0,1,18
Arsenal Sarandi,2,0,1,1,2,3,-1,1,19
Velez Sarsfield,2,0,1,1,1,2,-1,1,20
Sarmiento de Junin,2,0,1,1,1,3,-2,1,21
Union de Santa Fe,2,0,1,1,1,4,-3,1,22
Defensa y Justicia,2,0,1,1,1,5,-4,1,23
Central Cordoba,2,0,1,1,2,7,-5,1,24
Estudiantes,2,0,0,2,4,6,-2,0,25
Aldosivi,2,0,0,2,1,3,-2,0,26
CA Colon,2,0,0,2,1,3,-2,0,27
