Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
RB Salzburg,1,1,0,0,2,0,2,3,1
Sturm Graz,1,0,1,0,1,0,1,1,2
Austria Lustenau,1,0,0,1,1,2,-1,0,3
SV Ried,1,0,0,1,0,1,-1,0,4
SCR Altach,1,0,0,1,0,1,-1,0,5
LASK Linz,1,0,0,1,0,2,-2,0,6
TSV Hartberg,1,0,0,1,0,2,-2,0,7
Austria Wien,1,0,0,1,0,2,-2,0,8
WSG Tirol,1,0,0,1,0,3,-3,0,9
Wolfsberger AC,1,0,0,1,0,4,-4,0,10
Rapid Wien,1,0,0,1,0,4,-4,0,11
SK Austria Klagenfurt,1,0,0,1,0,4,-4,0,12
RB Salzburg,2,2,0,0,6,0,6,6,1
Sturm Graz,2,1,1,0,1,1,0,4,2
Austria Wien,2,0,1,1,3,3,0,1,3
Rapid Wien,2,0,1,1,4,5,-1,1,4
SCR Altach,2,0,0,2,3,1,2,0,5
LASK Linz,2,0,0,2,3,3,0,0,6
SK Austria Klagenfurt,2,0,0,2,2,5,-3,0,7
Austria Lustenau,2,0,0,2,1,4,-3,0,8
SV Ried,2,0,0,2,0,3,-3,0,9
TSV Hartberg,2,0,0,2,1,5,-4,0,10
Wolfsberger AC,2,0,0,2,0,5,-5,0,11
WSG Tirol,2,0,0,2,0,5,-5,0,12
RB Salzburg,3,3,0,0,8,1,7,9,1
Sturm Graz,3,2,1,0,5,1,4,7,2
Rapid Wien,3,1,1,1,9,6,3,4,3
LASK Linz,3,1,0,2,4,3,1,3,4
Austria Wien,3,0,2,1,7,7,0,2,5
Austria Lustenau,3,0,1,2,4,5,-1,1,6
WSG Tirol,3,0,1,2,6,8,-2,1,7
SK Austria Klagenfurt,3,0,1,2,4,11,-7,1,8
SCR Altach,3,0,0,3,5,3,2,0,9
SV Ried,3,0,0,3,1,5,-4,0,10
TSV Hartberg,3,0,0,3,2,7,-5,0,11
Wolfsberger AC,3,0,0,3,0,6,-6,0,12
RB Salzburg,4,4,0,0,10,1,9,12,1
Sturm Graz,4,3,1,0,8,2,6,10,2
Rapid Wien,4,2,1,1,12,7,5,7,3
LASK Linz,4,2,0,2,6,3,3,6,4
Austria Wien,4,1,2,1,7,7,0,5,5
WSG Tirol,4,1,1,2,9,8,1,4,6
SK Austria Klagenfurt,4,1,1,2,7,13,-6,4,7
Austria Lustenau,4,0,1,3,6,8,-2,1,8
SCR Altach,4,0,1,3,5,7,-2,1,9
SV Ried,4,0,1,3,2,5,-3,1,10
TSV Hartberg,4,0,1,3,4,8,-4,1,11
Wolfsberger AC,4,0,0,4,0,8,-8,0,12
RB Salzburg,5,5,0,0,14,1,13,15,1
Sturm Graz,5,4,1,0,8,3,5,13,2
Rapid Wien,5,3,1,1,14,8,6,10,3
LASK Linz,5,3,0,2,9,4,5,9,4
Austria Wien,5,2,2,1,8,9,-1,8,5
WSG Tirol,5,2,1,2,11,8,3,7,6
SK Austria Klagenfurt,5,2,1,2,12,18,-6,7,7
SCR Altach,5,0,2,3,8,9,-1,2,8
