Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Standard,1,1,0,0,4,1,3,3,1
Union Saint-Gilloise,1,1,0,0,2,1,1,3,2
Genk,1,1,0,0,1,1,0,3,3
Oud-Heverlee Leuven,1,0,1,0,2,0,2,1,4
Club Brugge,1,0,1,0,1,0,1,1,5
Antwerp,1,0,1,0,1,0,1,1,6
Anderlecht,1,0,1,0,3,3,0,1,7
Westerlo,1,0,1,0,2,2,0,1,8
St Truiden,1,0,1,0,1,1,0,1,9
Gent,1,0,1,0,1,3,-2,1,10
Cercle Brugge,1,0,1,0,0,2,-2,1,11
Oostende,1,0,0,1,2,2,0,0,12
Eupen,1,0,0,1,1,1,0,0,13
RFC Seraing,1,0,0,1,0,1,-1,0,14
Mechelen,1,0,0,1,0,2,-2,0,15
Charleroi,1,0,0,1,1,4,-3,0,16
Kortrijk,1,0,0,1,1,4,-3,0,17
Waregem,1,0,0,1,0,3,-3,0,18
Standard,2,2,0,0,8,2,6,6,1
Union Saint-Gilloise,2,2,0,0,3,1,2,6,2
Genk,2,2,0,0,3,1,2,6,3
Antwerp,2,1,1,0,3,0,3,4,4
Club Brugge,2,1,1,0,2,3,-1,4,5
Gent,2,1,1,0,2,3,-1,4,6
Westerlo,2,0,2,0,7,2,5,2,7
Oud-Heverlee Leuven,2,0,2,0,2,0,2,2,8
Anderlecht,2,0,2,0,5,4,1,2,9
St Truiden,2,0,2,0,1,1,0,2,10
Cercle Brugge,2,0,2,0,2,4,-2,2,11
Charleroi,2,0,1,1,3,6,-3,1,12
Oostende,2,0,0,2,2,3,-1,0,13
Kortrijk,2,0,0,2,3,5,-2,0,14
Eupen,2,0,0,2,2,4,-2,0,15
RFC Seraing,2,0,0,2,1,3,-2,0,16
Waregem,2,0,0,2,1,4,-3,0,17
Mechelen,2,0,0,2,0,3,-3,0,18
Standard,3,3,0,0,11,2,9,9,1
Union Saint-Gilloise,3,3,0,0,6,1,5,9,2
Genk,3,3,0,0,6,1,5,9,3
Antwerp,3,2,1,0,4,0,4,7,4
Club Brugge,3,2,1,0,4,3,1,7,5
Gent,3,2,1,0,3,4,-1,7,6
Westerlo,3,1,2,0,10,5,5,5,7
Anderlecht,3,1,2,0,5,4,1,5,8
Oud-Heverlee Leuven,3,1,2,0,3,2,1,5,9
Cercle Brugge,3,1,2,0,5,5,0,5,10
Charleroi,3,1,1,1,4,8,-4,4,11
St Truiden,3,0,3,0,5,2,3,3,12
Mechelen,3,0,1,2,2,3,-1,1,13
Oostende,3,0,1,2,4,6,-2,1,14
RFC Seraing,3,0,1,2,2,5,-3,1,15
Waregem,3,0,1,2,1,4,-3,1,16
Eupen,3,0,1,2,2,7,-5,1,17
Kortrijk,3,0,0,3,4,7,-3,0,18
Genk,4,4,0,0,9,1,8,12,1
Union Saint-Gilloise,4,4,0,0,7,1,6,12,2
Standard,4,3,1,0,12,3,9,10,3
Antwerp,4,3,1,0,6,2,4,10,4
Club Brugge,4,3,1,0,7,4,3,10,5
Gent,4,3,1,0,4,6,-2,10,6
Westerlo,4,2,2,0,14,7,7,8,7
Oud-Heverlee Leuven,4,2,2,0,5,2,3,8,8
Anderlecht,4,2,2,0,6,7,-1,8,9
Charleroi,4,2,1,1,5,9,-4,7,10
Cercle Brugge,4,1,3,0,5,8,-3,6,11
St Truiden,4,0,4,0,5,4,1,4,12
Mechelen,4,0,2,2,3,4,-1,2,13
Eupen,4,0,2,2,2,10,-8,2,14
Oostende,4,0,1,3,4,7,-3,1,15
Kortrijk,4,0,1,3,4,9,-5,1,16
RFC Seraing,4,0,1,3,3,8,-5,1,17
Waregem,4,0,1,3,1,7,-6,1,18
Genk,5,5,0,0,11,1,10,15,1
Union Saint-Gilloise,5,5,0,0,8,1,7,15,2
Standard,5,3,2,0,12,4,8,11,3
Club Brugge,5,3,2,0,11,6,5,11,4
Antwerp,5,3,2,0,8,3,5,11,5
Gent,5,3,2,0,6,7,-1,11,6
Westerlo,5,2,3,0,16,8,8,9,7
Oud-Heverlee Leuven,5,2,3,0,5,4,1,9,8
Anderlecht,5,2,3,0,7,9,-2,9,9
Charleroi,5,2,2,1,5,9,-4,8,10
Cercle Brugge,5,1,4,0,6,8,-2,7,11
St Truiden,5,0,5,0,6,6,0,5,12
Mechelen,5,0,2,3,4,4,0,2,13
Kortrijk,5,0,2,3,4,9,-5,2,14
Eupen,5,0,2,3,5,11,-6,2,15
Waregem,5,0,2,3,2,8,-6,2,16
Oostende,5,0,1,4,4,7,-3,1,17
RFC Seraing,5,0,1,4,4,9,-5,1,18
Genk,6,6,0,0,14,1,13,18,1
Union Saint-Gilloise,6,5,1,0,8,3,5,16,2
Standard,6,4,2,0,14,4,10,14,3
Club Brugge,6,4,2,0,12,6,6,14,4
Antwerp,6,3,3,0,10,3,7,12,5
Gent,6,3,3,0,6,8,-2,12,6
Anderlecht,6,2,4,0,10,10,0,10,7
Westerlo,6,2,3,1,17,9,8,9,8
Oud-Heverlee Leuven,6,2,3,1,6,5,1,9,9
Charleroi,6,2,2,2,8,10,-2,8,10
Cercle Brugge,6,1,4,1,6,10,-4,7,11
St Truiden,6,0,6,0,7,6,1,6,12
Waregem,6,0,3,3,3,10,-7,3,13
Kortrijk,6,0,3,3,5,13,-8,3,14
Mechelen,6,0,2,4,6,8,-2,2,15
Eupen,6,0,2,4,6,14,-8,2,16
Oostende,6,0,1,5,4,11,-7,1,17
RFC Seraing,6,0,1,5,5,14,-9,1,18
Genk,7,7,0,0,17,3,14,21,1
Union Saint-Gilloise,7,6,1,0,9,7,2,19,2
Club Brugge,7,5,2,0,13,9,4,17,3
Standard,7,4,3,0,17,7,10,15,4
Antwerp,7,4,3,0,13,3,10,15,5
Gent,7,4,3,0,6,9,-3,15,6
Westerlo,7,3,3,1,19,11,8,12,7
Charleroi,7,3,2,2,9,10,-1,11,8
Anderlecht,7,2,5,0,13,10,3,11,9
Oud-Heverlee Leuven,7,2,4,1,8,7,1,10,10
St Truiden,7,1,6,0,7,6,1,9,11
Cercle Brugge,7,1,5,1,7,10,-3,8,12
Waregem,7,0,4,3,5,10,-5,4,13
Mechelen,7,0,3,4,8,9,-1,3,14
Eupen,7,0,3,4,6,14,-8,3,15
Kortrijk,7,0,3,4,5,15,-10,3,16
Oostende,7,0,1,6,5,13,-8,1,17
RFC Seraing,7,0,1,6,6,16,-10,1,18
Genk,8,8,0,0,19,4,15,24,1
Club Brugge,8,6,2,0,16,9,7,20,2
Union Saint-Gilloise,8,6,2,0,12,9,3,20,3
Standard,8,4,4,0,19,9,10,16,4
Antwerp,8,4,4,0,13,4,9,16,5
Gent,8,4,4,0,7,9,-2,16,6
Westerlo,8,3,4,1,19,11,8,13,7
Charleroi,8,3,3,2,10,12,-2,12,8
Anderlecht,8,2,6,0,14,10,4,12,9
St Truiden,8,2,6,0,8,7,1,12,10
Oud-Heverlee Leuven,8,2,5,1,8,7,1,11,11
Cercle Brugge,8,1,6,1,8,11,-3,9,12
Mechelen,8,0,4,4,10,10,0,4,13
Waregem,8,0,4,4,6,13,-7,4,14
Kortrijk,8,0,4,4,5,17,-12,4,15
Eupen,8,0,3,5,7,15,-8,3,16
Oostende,8,0,1,7,5,14,-9,1,17
RFC Seraing,8,0,1,7,6,17,-11,1,18
Genk,9,9,0,0,19,7,12,27,1
Club Brugge,9,7,2,0,19,10,9,23,2
Union Saint-Gilloise,9,7,2,0,13,12,1,23,3
Antwerp,9,5,4,0,14,6,8,19,4
Gent,9,4,5,0,7,10,-3,17,5
Standard,9,4,4,1,20,11,9,16,6
Anderlecht,9,3,6,0,16,10,6,15,7
Westerlo,9,3,5,1,20,15,5,14,8
Charleroi,9,3,4,2,10,17,-7,13,9
St Truiden,9,2,7,0,10,11,-1,13,10
Oud-Heverlee Leuven,9,2,6,1,9,7,2,12,11
Cercle Brugge,9,1,7,1,11,14,-3,10,12
Mechelen,9,1,4,4,11,10,1,7,13
Waregem,9,0,5,4,7,14,-7,5,14
Kortrijk,9,0,4,5,5,17,-12,4,15
Eupen,9,0,3,6,9,15,-6,3,16
RFC Seraing,9,0,1,8,9,19,-10,1,17
Oostende,9,0,1,8,6,17,-11,1,18
Genk,10,9,1,0,21,9,12,28,1
Club Brugge,10,8,2,0,20,10,10,26,2
