Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Fluminense Rio de Janeiro,1,1,0,0,1,2,-1,3,1
Sociedade Esportiva Palmeiras,1,0,1,0,2,0,2,1,2
Internacional,1,0,1,0,1,0,1,1,3
Atletico Clube Goianiense,1,0,0,1,2,1,1,0,4
Botafogo Rio de Janeiro,1,0,0,1,2,1,1,0,5
Avai FC,1,0,0,1,1,0,1,0,6
America MG,1,0,0,1,1,1,0,0,7
Santos FC,1,0,0,1,1,1,0,0,8
Corinthians Paulista,1,0,0,1,1,2,-1,0,9
Fortaleza,1,0,0,1,0,1,-1,0,10
Flamengo Rio de Janeiro,1,0,0,1,0,1,-1,0,11
Atletico Mineiro,1,0,0,1,1,3,-2,0,12
Cuiaba Esporte Clube,1,0,0,1,1,3,-2,0,13
Atletico Paranaense,1,0,0,1,1,3,-2,0,14
Bragantino,1,0,0,1,1,3,-2,0,15
Coritiba FC,1,0,0,1,0,2,-2,0,16
Sao Paulo FC,1,0,0,1,0,2,-2,0,17
Esporte Clube Juventude,1,0,0,1,0,2,-2,0,18
Goias Esporte Clube,1,0,0,1,0,2,-2,0,19
Ceara SC,1,0,0,1,0,3,-3,0,20
Internacional,2,1,1,0,4,0,4,4,1
Sociedade Esportiva Palmeiras,2,1,1,0,5,2,3,4,2
Fluminense Rio de Janeiro,2,1,1,0,1,4,-3,4,3
Flamengo Rio de Janeiro,2,1,0,1,5,3,2,3,4
America MG,2,0,1,1,4,2,2,1,5
Santos FC,2,0,1,1,4,2,2,1,6
Sao Paulo FC,2,0,1,1,3,2,1,1,7
Atletico Mineiro,2,0,1,1,3,3,0,1,8
Botafogo Rio de Janeiro,2,0,1,1,2,2,0,1,9
Fortaleza,2,0,1,1,1,1,0,1,10
Corinthians Paulista,2,0,1,1,1,2,-1,1,11
Atletico Paranaense,2,0,1,1,3,5,-2,1,12
Cuiaba Esporte Clube,2,0,1,1,2,4,-2,1,13
Bragantino,2,0,1,1,2,4,-2,1,14
Goias Esporte Clube,2,0,1,1,0,2,-2,1,15
Ceara SC,2,0,1,1,1,6,-5,1,16
Avai FC,2,0,0,2,1,0,1,0,17
Esporte Clube Juventude,2,0,0,2,2,2,0,0,18
Atletico Clube Goianiense,2,0,0,2,2,5,-3,0,19
Coritiba FC,2,0,0,2,0,3,-3,0,20
Sociedade Esportiva Palmeiras,3,2,1,0,7,2,5,7,1
Fluminense Rio de Janeiro,3,2,1,0,3,4,-1,7,2
Internacional,3,1,1,1,6,2,4,4,3
Flamengo Rio de Janeiro,3,1,0,2,6,5,1,3,4
Santos FC,3,0,1,2,7,5,2,1,5
America MG,3,0,1,2,4,3,1,1,6
Atletico Mineiro,3,0,1,2,4,4,0,1,7
Botafogo Rio de Janeiro,3,0,1,2,2,3,-1,1,8
Fortaleza,3,0,1,2,2,3,-1,1,9
Atletico Paranaense,3,0,1,2,5,7,-2,1,10
Sao Paulo FC,3,0,1,2,3,5,-2,1,11
Corinthians Paulista,3,0,1,2,2,4,-2,1,12
Goias Esporte Clube,3,0,1,2,0,4,-4,1,13
Cuiaba Esporte Clube,3,0,1,2,2,7,-5,1,14
Bragantino,3,0,1,2,2,9,-7,1,15
Ceara SC,3,0,1,2,1,9,-8,1,16
Avai FC,3,0,0,3,2,0,2,0,17
Esporte Clube Juventude,3,0,0,3,2,4,-2,0,18
Coritiba FC,3,0,0,3,1,3,-2,0,19
Atletico Clube Goianiense,3,0,0,3,4,8,-4,0,20
Sociedade Esportiva Palmeiras,4,3,1,0,11,2,9,10,1
Fluminense Rio de Janeiro,4,3,1,0,6,5,1,10,2
Internacional,4,2,1,1,9,2,7,7,3
Flamengo Rio de Janeiro,4,2,0,2,6,6,0,6,4
Atletico Clube Goianiense,4,1,0,3,5,8,-3,3,5
America MG,4,0,2,2,7,5,2,2,6
Santos FC,4,0,2,2,7,6,1,2,7
Sao Paulo FC,4,0,2,2,6,6,0,2,8
Atletico Mineiro,4,0,2,2,4,5,-1,2,9
Fortaleza,4,0,2,2,3,4,-1,2,10
Corinthians Paulista,4,0,2,2,4,6,-2,2,11
Atletico Paranaense,4,0,2,2,5,8,-3,2,12
Botafogo Rio de Janeiro,4,0,2,2,2,5,-3,2,13
Goias Esporte Clube,4,0,2,2,2,5,-3,2,14
Cuiaba Esporte Clube,4,0,2,2,3,8,-5,2,15
Bragantino,4,0,2,2,5,13,-8,2,16
Ceara SC,4,0,2,2,2,11,-9,2,17
Avai FC,4,0,0,4,3,0,3,0,18
Coritiba FC,4,0,0,4,2,4,-2,0,19
Esporte Clube Juventude,4,0,0,4,2,6,-4,0,20
Sociedade Esportiva Palmeiras,5,4,1,0,11,3,8,13,1
Fluminense Rio de Janeiro,5,4,1,0,7,7,0,13,2
Internacional,5,2,2,1,12,3,9,8,3
Flamengo Rio de Janeiro,5,2,1,2,8,7,1,7,4
Atletico Clube Goianiense,5,1,1,3,5,10,-5,4,5
Santos FC,5,0,3,2,7,7,0,3,6
Fortaleza,5,0,3,2,4,4,0,3,7
Sao Paulo FC,5,0,3,2,6,7,-1,3,8
Atletico Mineiro,5,0,3,2,5,6,-1,3,9
Corinthians Paulista,5,0,3,2,5,6,-1,3,10
America MG,5,0,2,3,9,6,3,2,11
Botafogo Rio de Janeiro,5,0,2,3,2,5,-3,2,12
Atletico Paranaense,5,0,2,3,6,10,-4,2,13
Cuiaba Esporte Clube,5,0,2,3,5,9,-4,2,14
Goias Esporte Clube,5,0,2,3,3,8,-5,2,15
Ceara SC,5,0,2,3,3,11,-8,2,16
Bragantino,5,0,2,3,5,14,-9,2,17
Coritiba FC,5,0,1,4,3,5,-2,1,18
Avai FC,5,0,0,5,4,3,1,0,19
Esporte Clube Juventude,5,0,0,5,2,6,-4,0,20
Sociedade Esportiva Palmeiras,6,5,1,0,12,4,8,16,1
Fluminense Rio de Janeiro,6,5,1,0,8,7,1,16,2
Internacional,6,2,3,1,12,3,9,9,3
Flamengo Rio de Janeiro,6,2,2,2,11,10,1,8,4
Atletico Mineiro,6,1,3,2,9,7,2,6,5
Atletico Clube Goianiense,6,1,2,3,6,10,-4,5,6
Santos FC,6,0,4,2,7,8,-1,4,7
Sao Paulo FC,6,0,4,2,6,8,-2,4,8
Corinthians Paulista,6,0,4,2,5,7,-2,4,9
Fortaleza,6,0,4,2,4,8,-4,4,10
America MG,6,0,3,3,10,7,3,3,11
Atletico Paranaense,6,0,3,3,8,12,-4,3,12
Botafogo Rio de Janeiro,6,0,3,3,2,8,-6,3,13
Ceara SC,6,0,3,3,4,11,-7,3,14
Cuiaba Esporte Clube,6,0,2,4,5,11,-6,2,15
Goias Esporte Clube,6,0,2,4,3,9,-6,2,16
Bragantino,6,0,2,4,6,14,-8,2,17
Coritiba FC,6,0,1,5,4,6,-2,1,18
Avai FC,6,0,0,6,5,5,0,0,19
Esporte Clube Juventude,6,0,0,6,2,7,-5,0,20
Sociedade Esportiva Palmeiras,7,6,1,0,13,4,9,19,1
Fluminense Rio de Janeiro,7,6,1,0,8,8,0,19,2
Internacional,7,2,4,1,12,4,8,10,3
Flamengo Rio de Janeiro,7,2,3,2,12,11,1,9,4
Atletico Mineiro,7,1,4,2,10,7,3,7,5
Atletico Clube Goianiense,7,1,3,3,6,11,-5,6,6
Botafogo Rio de Janeiro,7,1,3,3,4,9,-5,6,7
Sao Paulo FC,7,0,5,2,7,8,-1,5,8
Santos FC,7,0,5,2,7,9,-2,5,9
Corinthians Paulista,7,0,5,2,5,8,-3,5,10
Fortaleza,7,0,5,2,4,8,-4,5,11
America MG,7,0,3,4,10,9,1,3,12
Atletico Paranaense,7,0,3,4,8,13,-5,3,13
Ceara SC,7,0,3,4,4,12,-8,3,14
Coritiba FC,7,0,2,5,5,6,-1,2,15
Cuiaba Esporte Clube,7,0,2,5,6,12,-6,2,16
Goias Esporte Clube,7,0,2,5,3,10,-7,2,17
Bragantino,7,0,2,5,7,16,-9,2,18
Avai FC,7,0,0,7,6,6,0,0,19
Esporte Clube Juventude,7,0,0,7,3,11,-8,0,20
Sociedade Esportiva Palmeiras,8,7,1,0,15,5,10,22,1
Fluminense Rio de Janeiro,8,7,1,0,10,8,2,22,2
Internacional,8,3,4,1,14,4,10,13,3
Flamengo Rio de Janeiro,8,3,3,2,14,12,2,12,4
Atletico Mineiro,8,2,4,2,11,8,3,10,5
Atletico Clube Goianiense,8,2,3,3,6,11,-5,9,6
Sao Paulo FC,8,1,5,2,9,8,1,8,7
Fortaleza,8,1,5,2,4,8,-4,8,8
Botafogo Rio de Janeiro,8,1,3,4,4,11,-7,6,9
Santos FC,8,0,6,2,10,10,0,6,10
Corinthians Paulista,8,0,6,2,7,9,-2,6,11
America MG,8,0,4,4,12,10,2,4,12
Atletico Paranaense,8,0,4,4,9,14,-5,4,13
Ceara SC,8,0,4,4,4,13,-9,4,14
Coritiba FC,8,0,3,5,7,6,1,3,15
Cuiaba Esporte Clube,8,0,3,5,9,13,-4,3,16
Bragantino,8,0,3,5,7,17,-10,3,17
Goias Esporte Clube,8,0,3,5,3,13,-10,3,18
Avai FC,8,0,0,8,8,8,0,0,19
Esporte Clube Juventude,8,0,0,8,6,11,-5,0,20
Sociedade Esportiva Palmeiras,9,8,1,0,15,6,9,25,1
Fluminense Rio de Janeiro,9,8,1,0,12,8,4,25,2
Internacional,9,3,5,1,16,5,11,14,3
Flamengo Rio de Janeiro,9,3,4,2,16,13,3,13,4
Atletico Mineiro,9,3,4,2,11,8,3,13,5
Atletico Clube Goianiense,9,2,4,3,6,14,-8,10,6
Botafogo Rio de Janeiro,9,2,3,4,5,12,-7,9,7
Sao Paulo FC,9,1,6,2,10,9,1,9,8
Fortaleza,9,1,6,2,6,8,-2,9,9
Corinthians Paulista,9,0,7,2,8,9,-1,7,10
Santos FC,9,0,6,3,12,13,-1,6,11
America MG,9,0,4,5,12,11,1,4,12
Coritiba FC,9,0,4,5,8,7,1,4,13
Atletico Paranaense,9,0,4,5,10,15,-5,4,14
Ceara SC,9,0,4,5,5,14,-9,4,15
Cuiaba Esporte Clube,9,0,3,6,11,13,-2,3,16
Bragantino,9,0,3,6,8,18,-10,3,17
Goias Esporte Clube,9,0,3,6,4,14,-10,3,18
Avai FC,9,0,1,8,8,11,-3,1,19
Esporte Clube Juventude,9,0,0,9,8,14,-6,0,20
Sociedade Esportiva Palmeiras,10,9,1,0,18,6,12,28,1
Fluminense Rio de Janeiro,10,9,1,0,14,8,6,28,2
Internacional,10,4,5,1,18,5,13,17,3
Flamengo Rio de Janeiro,10,4,4,2,16,16,0,16,4
Atletico Mineiro,10,3,5,2,11,9,2,14,5
Atletico Clube Goianiense,10,3,4,3,6,16,-10,13,6
Sao Paulo FC,10,2,6,2,10,9,1,12,7
Fortaleza,10,2,6,2,7,9,-2,12,8
Botafogo Rio de Janeiro,10,2,4,4,9,13,-4,10,9
Corinthians Paulista,10,1,7,2,9,9,0,10,10
Santos FC,10,1,6,3,13,15,-2,9,11
Coritiba FC,10,1,4,5,8,8,0,7,12
Atletico Paranaense,10,1,4,5,10,15,-5,7,13
America MG,10,0,5,5,15,13,2,5,14
Ceara SC,10,0,5,5,5,17,-12,5,15
Cuiaba Esporte Clube,10,0,4,6,13,13,0,4,16
Bragantino,10,0,4,6,10,18,-8,4,17
Goias Esporte Clube,10,0,4,6,6,14,-8,4,18
Avai FC,10,0,1,9,8,12,-4,1,19
Esporte Clube Juventude,10,0,0,10,8,14,-6,0,20
Sociedade Esportiva Palmeiras,11,10,1,0,20,6,14,31,1
Fluminense Rio de Janeiro,11,10,1,0,15,9,6,31,2
Internacional,11,5,5,1,18,7,11,20,3
Atletico Mineiro,11,4,5,2,14,10,4,17,4
Flamengo Rio de Janeiro,11,4,5,2,17,16,1,17,5
Atletico Clube Goianiense,11,3,5,3,6,16,-10,14,6
Sao Paulo FC,11,2,7,2,11,10,1,13,7
Fortaleza,11,2,7,2,7,9,-2,13,8
Botafogo Rio de Janeiro,11,2,5,4,13,13,0,11,9
Corinthians Paulista,11,1,8,2,10,10,0,11,10
Santos FC,11,1,7,3,14,16,-2,10,11
Coritiba FC,11,1,5,5,9,11,-2,8,12
Atletico Paranaense,11,1,5,5,10,17,-7,8,13
America MG,11,0,6,5,18,14,4,6,14
Ceara SC,11,0,6,5,6,18,-12,6,15
Cuiaba Esporte Clube,11,0,5,6,13,15,-2,5,16
Bragantino,11,0,5,6,12,18,-6,5,17
Goias Esporte Clube,11,0,5,6,6,16,-10,5,18
Avai FC,11,0,2,9,8,12,-4,2,19
Esporte Clube Juventude,11,0,1,10,8,16,-8,1,20
Sociedade Esportiva Palmeiras,12,11,1,0,22,6,16,34,1
Fluminense Rio de Janeiro,12,11,1,0,17,10,7,34,2
Internacional,12,5,6,1,19,9,10,21,3
Atletico Mineiro,12,4,6,2,15,10,5,18,4
Flamengo Rio de Janeiro,12,4,6,2,17,17,0,18,5
Sao Paulo FC,12,3,7,2,13,10,3,16,6
Fortaleza,12,3,7,2,7,9,-2,16,7
Atletico Clube Goianiense,12,3,6,3,7,19,-12,15,8
Botafogo Rio de Janeiro,12,3,5,4,15,14,1,14,9
Corinthians Paulista,12,1,9,2,10,10,0,12,10
Coritiba FC,12,2,5,5,11,11,0,11,11
Santos FC,12,1,8,3,14,17,-3,11,12
Atletico Paranaense,12,1,6,5,11,21,-10,9,13
Goias Esporte Clube,12,1,5,6,7,19,-12,8,14
America MG,12,0,7,5,21,15,6,7,15
Ceara SC,12,0,7,5,6,18,-12,7,16
Cuiaba Esporte Clube,12,0,5,7,13,16,-3,5,17
Bragantino,12,0,5,7,12,18,-6,5,18
Avai FC,12,0,3,9,8,12,-4,3,19
Esporte Clube Juventude,12,0,1,11,11,18,-7,1,20
Sociedade Esportiva Palmeiras,13,12,1,0,23,6,17,37,1
Fluminense Rio de Janeiro,13,12,1,0,20,11,9,37,2
Internacional,13,5,7,1,21,9,12,22,3
Atletico Mineiro,13,5,6,2,15,10,5,21,4
Flamengo Rio de Janeiro,13,4,7,2,18,19,-1,19,5
Fortaleza,13,4,7,2,8,10,-2,19,6
Sao Paulo FC,13,3,8,2,14,11,3,17,7
Atletico Clube Goianiense,13,3,7,3,7,19,-12,16,8
Botafogo Rio de Janeiro,13,3,6,4,16,14,2,15,9
Corinthians Paulista,13,1,10,2,12,10,2,13,10
Coritiba FC,13,2,6,5,12,13,-1,12,11
Santos FC,13,1,9,3,14,17,-3,12,12
America MG,13,1,7,5,23,15,8,10,13
Atletico Paranaense,13,1,6,6,13,21,-8,9,14
Goias Esporte Clube,13,1,5,7,9,19,-10,8,15
Ceara SC,13,0,7,6,6,19,-13,7,16
Bragantino,13,0,5,8,12,18,-6,5,17
Cuiaba Esporte Clube,13,0,5,8,13,21,-8,5,18
Avai FC,13,0,4,9,9,13,-4,4,19
Esporte Clube Juventude,13,0,2,11,12,19,-7,2,20
Sociedade Esportiva Palmeiras,14,13,1,0,25,7,18,40,1
Fluminense Rio de Janeiro,14,13,1,0,21,12,9,40,2
Atletico Mineiro,14,6,6,2,18,11,7,24,3
Internacional,14,5,8,1,22,10,12,23,4
Sao Paulo FC,14,4,8,2,17,11,6,20,5
Flamengo Rio de Janeiro,14,4,8,2,18,20,-2,20,6
Fortaleza,14,4,8,2,8,11,-3,20,7
Botafogo Rio de Janeiro,14,4,6,4,17,14,3,18,8
Atletico Clube Goianiense,14,3,8,3,8,20,-12,17,9
Corinthians Paulista,14,2,10,2,13,11,2,16,10
Coritiba FC,14,2,7,5,14,16,-2,13,11
Santos FC,14,1,10,3,15,18,-3,13,12
Goias Esporte Clube,14,2,5,7,9,20,-11,11,13
America MG,14,1,8,5,26,16,10,11,14
Atletico Paranaense,14,1,7,6,14,23,-9,10,15
Ceara SC,14,0,8,6,6,21,-15,8,16
Bragantino,14,0,6,8,12,19,-7,6,17
Cuiaba Esporte Clube,14,0,6,8,14,23,-9,6,18
Avai FC,14,0,5,9,9,16,-7,5,19
Esporte Clube Juventude,14,0,2,12,13,21,-8,2,20
Sociedade Esportiva Palmeiras,15,14,1,0,28,7,21,43,1
Fluminense Rio de Janeiro,15,14,1,0,22,12,10,43,2
Atletico Mineiro,15,7,6,2,19,13,6,27,3
Internacional,15,5,9,1,22,10,12,24,4
Sao Paulo FC,15,5,8,2,18,12,6,23,5
Fortaleza,15,5,8,2,12,12,0,23,6
Botafogo Rio de Janeiro,15,5,6,4,18,14,4,21,7
Flamengo Rio de Janeiro,15,4,9,2,19,20,-1,21,8
Atletico Clube Goianiense,15,3,9,3,9,23,-14,18,9
Corinthians Paulista,15,2,11,2,14,11,3,17,10
America MG,15,2,8,5,28,16,12,14,11
Coritiba FC,15,2,8,5,16,18,-2,14,12
Santos FC,15,1,11,3,16,18,-2,14,13
Goias Esporte Clube,15,2,6,7,11,24,-13,12,14
Atletico Paranaense,15,1,7,7,14,25,-11,10,15
Ceara SC,15,0,8,7,7,22,-15,8,16
Cuiaba Esporte Clube,15,0,7,8,14,25,-11,7,17
Bragantino,15,0,6,9,13,22,-9,6,18
Avai FC,15,0,5,10,9,18,-9,5,19
Esporte Clube Juventude,15,0,3,12,13,22,-9,3,20
Sociedade Esportiva Palmeiras,16,15,1,0,31,10,21,46,1
Fluminense Rio de Janeiro,16,15,1,0,25,13,12,46,2
Atletico Mineiro,16,7,7,2,19,14,5,28,3
Sao Paulo FC,16,6,8,2,21,14,7,26,4
Fortaleza,16,6,8,2,13,12,1,26,5
Internacional,16,5,10,1,23,11,12,25,6
Flamengo Rio de Janeiro,16,5,9,2,20,20,0,24,7
Botafogo Rio de Janeiro,16,5,7,4,19,15,4,22,8
Corinthians Paulista,16,3,11,2,15,11,4,20,9
Atletico Clube Goianiense,16,3,9,4,11,28,-17,18,10
Santos FC,16,2,11,3,16,18,-2,17,11
America MG,16,2,9,5,29,17,12,15,12
Coritiba FC,16,2,9,5,17,19,-2,15,13
Goias Esporte Clube,16,2,7,7,12,24,-12,13,14
Atletico Paranaense,16,1,7,8,14,28,-14,10,15
Avai FC,16,1,5,10,9,21,-12,8,16
Ceara SC,16,0,8,8,10,23,-13,8,17
Cuiaba Esporte Clube,16,0,7,9,14,25,-11,7,18
Bragantino,16,0,6,10,14,24,-10,6,19
Esporte Clube Juventude,16,0,3,13,13,25,-12,3,20
Sociedade Esportiva Palmeiras,17,16,1,0,33,11,22,49,1
Fluminense Rio de Janeiro,17,16,1,0,28,14,14,49,2
Atletico Mineiro,17,8,7,2,20,16,4,31,3
Sao Paulo FC,17,7,8,2,24,16,8,29,4
Fortaleza,17,7,8,2,15,12,3,29,5
Flamengo Rio de Janeiro,17,6,9,2,20,20,0,27,6
Internacional,17,5,11,1,25,12,13,26,7
Botafogo Rio de Janeiro,17,5,8,4,20,15,5,23,8
Corinthians Paulista,17,3,12,2,16,11,5,21,9
Atletico Clube Goianiense,17,3,10,4,13,30,-17,19,10
Santos FC,17,2,12,3,18,20,-2,18,11
America MG,17,2,10,5,33,17,16,16,12
Coritiba FC,17,2,10,5,18,19,-1,16,13
Goias Esporte Clube,17,2,8,7,14,24,-10,14,14
Atletico Paranaense,17,1,8,8,15,30,-15,11,15
Avai FC,17,1,6,10,12,21,-9,9,16
Cuiaba Esporte Clube,17,0,8,9,14,25,-11,8,17
Ceara SC,17,0,8,9,11,24,-13,8,18
Bragantino,17,0,6,11,14,24,-10,6,19
Esporte Clube Juventude,17,0,4,13,14,27,-13,4,20
Sociedade Esportiva Palmeiras,18,17,1,0,35,13,22,52,1
Fluminense Rio de Janeiro,18,16,2,0,28,15,13,50,2
Sao Paulo FC,18,8,8,2,25,17,8,32,3
Atletico Mineiro,18,8,8,2,21,16,5,32,4
Fortaleza,18,7,9,2,16,12,4,30,5
Internacional,18,6,11,1,28,13,15,29,6
Flamengo Rio de Janeiro,18,6,10,2,21,21,0,28,7
Botafogo Rio de Janeiro,18,6,8,4,22,15,7,26,8
Corinthians Paulista,18,4,12,2,21,13,8,24,9
Santos FC,18,3,12,3,18,21,-3,21,10
Atletico Clube Goianiense,18,3,11,4,14,31,-17,20,11
Goias Esporte Clube,18,3,8,7,15,26,-11,17,12
America MG,18,2,11,5,34,18,16,17,13
Coritiba FC,18,2,10,6,19,19,0,16,14
Atletico Paranaense,18,2,8,8,16,30,-14,14,15
Avai FC,18,1,7,10,13,23,-10,10,16
Cuiaba Esporte Clube,18,0,9,9,15,25,-10,9,17
Ceara SC,18,0,9,9,12,26,-14,9,18
Bragantino,18,0,7,11,17,24,-7,7,19
Esporte Clube Juventude,18,0,4,14,16,28,-12,4,20
Sociedade Esportiva Palmeiras,19,18,1,0,40,13,27,55,1
Fluminense Rio de Janeiro,19,17,2,0,31,15,16,53,2
Sao Paulo FC,19,9,8,2,26,17,9,35,3
Atletico Mineiro,19,8,9,2,22,18,4,33,4
Fortaleza,19,8,9,2,17,13,4,33,5
Internacional,19,7,11,1,31,14,17,32,6
Flamengo Rio de Janeiro,19,7,10,2,21,21,0,31,7
Botafogo Rio de Janeiro,19,6,9,4,23,15,8,27,8
Corinthians Paulista,19,4,13,2,21,14,7,25,9
Santos FC,19,3,13,3,19,23,-4,22,10
America MG,19,3,11,5,39,21,18,20,11
Atletico Clube Goianiense,19,3,11,5,14,34,-20,20,12
Goias Esporte Clube,19,3,9,7,16,28,-12,18,13
Coritiba FC,19,2,11,6,20,19,1,17,14
Atletico Paranaense,19,2,8,9,17,31,-14,14,15
Avai FC,19,1,8,10,14,25,-11,11,16
Bragantino,19,1,7,11,17,24,-7,10,17
Cuiaba Esporte Clube,19,0,10,9,15,25,-10,10,18
Ceara SC,19,0,9,10,13,27,-14,9,19
Esporte Clube Juventude,19,0,5,14,16,30,-14,5,20
Sociedade Esportiva Palmeiras,20,19,1,0,42,15,27,58,1
Fluminense Rio de Janeiro,20,18,2,0,35,15,20,56,2
Sao Paulo FC,20,9,9,2,26,18,8,36,3
Atletico Mineiro,20,9,9,2,24,19,5,36,4
Internacional,20,8,11,1,32,14,18,35,5
Fortaleza,20,8,10,2,18,13,5,34,6
Flamengo Rio de Janeiro,20,8,10,2,23,23,0,34,7
Botafogo Rio de Janeiro,20,6,10,4,26,18,8,28,8
Corinthians Paulista,20,5,13,2,21,14,7,28,9
Santos FC,20,3,14,3,20,23,-3,23,10
Goias Esporte Clube,20,4,9,7,20,29,-9,21,11
America MG,20,3,12,5,39,22,17,21,12
Atletico Clube Goianiense,20,3,12,5,17,35,-18,21,13
Coritiba FC,20,2,12,6,24,22,2,18,14
Atletico Paranaense,20,3,8,9,20,33,-13,17,15
Avai FC,20,1,9,10,15,28,-13,12,16
Cuiaba Esporte Clube,20,0,11,9,16,27,-11,11,17
Bragantino,20,1,7,12,19,25,-6,10,18
Ceara SC,20,0,10,10,14,28,-14,10,19
Esporte Clube Juventude,20,0,6,14,18,33,-15,6,20
Sociedade Esportiva Palmeiras,21,20,1,0,45,15,30,61,1
Fluminense Rio de Janeiro,21,18,2,1,35,17,18,56,2
Sao Paulo FC,21,10,9,2,26,20,6,39,3
Atletico Mineiro,21,10,9,2,25,19,6,39,4
Flamengo Rio de Janeiro,21,9,10,2,24,25,-1,37,5
Internacional,21,8,12,1,33,16,17,36,6
Fortaleza,21,8,11,2,19,14,5,35,7
Botafogo Rio de Janeiro,21,6,11,4,28,20,8,29,8
Corinthians Paulista,21,5,14,2,23,15,8,29,9
America MG,21,4,12,5,40,24,16,24,10
Santos FC,21,3,15,3,20,24,-4,24,11
Goias Esporte Clube,21,4,10,7,21,32,-11,22,12
Atletico Clube Goianiense,21,3,12,6,17,39,-22,21,13
Atletico Paranaense,21,3,9,9,21,34,-13,18,14
Coritiba FC,21,2,12,7,24,25,-1,18,15
Cuiaba Esporte Clube,21,1,11,9,18,27,-9,14,16
Bragantino,21,2,7,12,20,28,-8,13,17
Ceara SC,21,1,10,10,16,28,-12,13,18
Avai FC,21,1,10,10,16,31,-15,13,19
Esporte Clube Juventude,21,0,6,15,18,34,-16,6,20
Sociedade Esportiva Palmeiras,22,21,1,0,46,16,30,64,1
Fluminense Rio de Janeiro,22,19,2,1,36,18,18,59,2
Sao Paulo FC,22,11,9,2,29,22,7,42,3
Atletico Mineiro,22,10,10,2,26,22,4,40,4
Flamengo Rio de Janeiro,22,10,10,2,26,26,0,40,5
Internacional,22,9,12,1,36,16,20,39,6
Fortaleza,22,9,11,2,20,14,6,38,7
