Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Young Boys,1,1,0,0,5,1,4,3,1
FC Lugano,1,0,0,1,1,1,0,0,2
FC Basel,1,0,0,1,1,1,0,0,3
Servette Geneve,1,0,0,1,0,1,-1,0,4
FC Luzern,1,0,0,1,1,4,-3,0,5
FC Zurich,1,0,0,1,0,3,-3,0,6
Grasshoppers Zurich,1,0,0,1,0,3,-3,0,7
Winterthur,1,0,0,1,1,5,-4,0,8
FC Sion,1,0,0,1,0,4,-4,0,9
FC St Gallen,1,0,0,1,1,6,-5,0,10
Young Boys,2,2,0,0,6,2,4,6,1
FC Lugano,2,1,0,1,3,1,2,3,2
FC St Gallen,2,1,0,1,7,6,1,3,3
FC Basel,2,1,0,1,3,2,1,3,4
FC Luzern,2,1,0,1,5,5,0,3,5
Grasshoppers Zurich,2,1,0,1,2,3,-1,3,6
Servette Geneve,2,1,0,1,0,1,-1,3,7
FC Sion,2,1,0,1,2,4,-2,3,8
FC Zurich,2,0,1,1,1,4,-3,1,9
Winterthur,2,0,0,2,1,8,-7,0,10
Young Boys,3,3,0,0,7,2,5,9,1
FC St Gallen,3,1,1,1,9,7,2,4,2
Grasshoppers Zurich,3,1,1,1,5,4,1,4,3
FC Luzern,3,1,1,1,5,6,-1,4,4
FC Basel,3,1,1,1,4,5,-1,4,5
Servette Geneve,3,1,1,1,2,3,-1,4,6
FC Lugano,3,1,0,2,3,2,1,3,7
FC Sion,3,1,0,2,2,9,-7,3,8
FC Zurich,3,0,1,2,2,8,-6,1,9
Winterthur,3,0,0,3,1,10,-9,0,10
Young Boys,4,4,0,0,10,2,8,12,1
FC Lugano,4,2,0,2,5,4,1,6,2
FC Luzern,4,1,2,1,9,6,3,5,3
FC Basel,4,1,2,1,7,5,2,5,4
FC St Gallen,4,1,2,1,9,8,1,5,5
Grasshoppers Zurich,4,1,2,1,6,5,1,5,6
Servette Geneve,4,1,1,2,2,5,-3,4,7
FC Sion,4,1,1,2,3,11,-8,4,8
FC Zurich,4,0,1,3,2,8,-6,1,9
Winterthur,4,0,0,4,1,10,-9,0,10
Young Boys,5,5,0,0,16,3,13,15,1
FC Luzern,5,2,2,1,12,7,5,8,2
FC St Gallen,5,2,2,1,12,9,3,8,3
FC Lugano,5,2,1,2,7,6,1,7,4
Servette Geneve,5,2,1,2,5,5,0,7,5
FC Basel,5,1,3,1,10,6,4,6,6
Grasshoppers Zurich,5,1,3,1,9,5,4,6,7
FC Sion,5,1,2,2,5,12,-7,5,8
FC Zurich,5,0,1,4,2,10,-8,1,9
Winterthur,5,0,1,4,2,11,-9,1,10
Young Boys,6,6,0,0,17,4,13,18,1
FC Lugano,6,3,1,2,11,7,4,10,2
FC Luzern,6,2,2,2,15,8,7,8,3
Servette Geneve,6,2,2,2,8,5,3,8,4
FC St Gallen,6,2,2,2,13,13,0,8,5
FC Basel,6,1,4,1,12,9,3,7,6
Grasshoppers Zurich,6,1,3,2,9,7,2,6,7
FC Sion,6,1,2,3,5,16,-11,5,8
FC Zurich,6,0,2,4,2,10,-8,2,9
Winterthur,6,0,1,5,2,17,-15,1,10
Young Boys,7,7,0,0,21,4,17,21,1
FC Lugano,7,3,2,2,12,9,3,11,2
Servette Geneve,7,3,2,2,8,5,3,11,3
FC St Gallen,7,3,2,2,13,13,0,11,4
FC Luzern,7,2,3,2,15,9,6,9,5
Grasshoppers Zurich,7,1,4,2,10,8,2,7,6
FC Basel,7,1,4,2,13,12,1,7,7
FC Sion,7,1,2,4,6,18,-12,5,8
FC Zurich,7,0,3,4,2,11,-9,3,9
Winterthur,7,0,1,6,3,19,-16,1,10
Young Boys,8,8,0,0,24,4,20,24,1
FC St Gallen,8,4,2,2,17,15,2,14,2
FC Lugano,8,3,3,2,15,10,5,12,3
Servette Geneve,8,3,3,2,9,5,4,12,4
FC Luzern,8,2,4,2,17,11,6,10,5
FC Basel,8,2,4,2,13,13,0,10,6
Grasshoppers Zurich,8,1,5,2,12,8,4,8,7
FC Sion,8,1,2,5,7,21,-14,5,8
FC Zurich,8,0,4,4,3,12,-9,4,9
Winterthur,8,0,1,7,3,21,-18,1,10
Young Boys,9,9,0,0,28,5,23,27,1
FC St Gallen,9,5,2,2,19,18,1,17,2
FC Lugano,9,4,3,2,20,10,10,15,3
Servette Geneve,9,3,4,2,9,8,1,13,4
FC Luzern,9,2,5,2,18,14,4,11,5
FC Basel,9,2,5,2,13,13,0,11,6
FC Sion,9,2,2,5,7,24,-17,8,7
Grasshoppers Zurich,9,1,5,3,12,10,2,8,8
FC Zurich,9,0,4,5,4,15,-11,4,9
Winterthur,9,0,1,8,3,23,-20,1,10
Young Boys,10,10,0,0,31,5,26,30,1
FC St Gallen,10,6,2,2,22,19,3,20,2
FC Lugano,10,4,4,2,21,13,8,16,3
Servette Geneve,10,3,5,2,11,9,2,14,4
FC Basel,10,2,6,2,15,13,2,12,5
FC Luzern,10,2,5,3,18,14,4,11,6
