Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Nordsjalland,1,1,0,0,0,1,-1,3,1
Midtjylland,1,0,1,0,3,1,2,1,2
Randers FC,1,0,1,0,2,2,0,1,3
FC Kobenhavn,1,0,1,0,1,1,0,1,4
Horsens,1,0,1,0,1,1,0,1,5
Aarhus,1,0,1,0,0,1,-1,1,6
Silkeborg,1,0,1,0,0,1,-1,1,7
Viborg,1,0,1,0,1,3,-2,1,8
Odense,1,0,1,0,0,2,-2,1,9
Brondby,1,0,0,1,2,2,0,0,10
Aalborg,1,0,0,1,1,1,0,0,11
Lyngby,1,0,0,1,0,1,-1,0,12
Midtjylland,2,1,1,0,4,1,3,4,1
Nordsjalland,2,1,1,0,2,2,0,4,2
Horsens,2,0,2,0,4,1,3,2,3
Silkeborg,2,0,2,0,1,1,0,2,4
Aarhus,2,0,2,0,1,2,-1,2,5
Viborg,2,0,2,0,3,5,-2,2,6
FC Kobenhavn,2,0,2,0,1,4,-3,2,7
Randers FC,2,0,1,1,4,3,1,1,8
Odense,2,0,1,1,0,2,-2,1,9
Aalborg,2,0,0,2,3,2,1,0,10
Brondby,2,0,0,2,2,4,-2,0,11
Lyngby,2,0,0,2,0,3,-3,0,12
Nordsjalland,3,2,1,0,2,2,0,7,1
Horsens,3,1,2,0,6,2,4,5,2
Midtjylland,3,1,2,0,5,2,3,5,3
Viborg,3,1,2,0,5,5,0,5,4
Silkeborg,3,1,2,0,1,1,0,5,5
Aarhus,3,1,2,0,2,3,-1,5,6
FC Kobenhavn,3,1,2,0,4,6,-2,5,7
Randers FC,3,1,1,1,7,4,3,4,8
Odense,3,1,1,1,2,2,0,4,9
Brondby,3,1,0,2,3,8,-5,3,10
Aalborg,3,0,1,2,4,4,0,1,11
Lyngby,3,0,0,3,2,7,-5,0,12
Nordsjalland,4,3,1,0,4,2,2,10,1
Midtjylland,4,2,2,0,7,4,3,8,2
Horsens,4,1,3,0,6,2,4,6,3
Viborg,4,1,3,0,8,5,3,6,4
Aarhus,4,1,3,0,4,4,0,6,5
FC Kobenhavn,4,1,3,0,5,7,-2,6,6
Silkeborg,4,1,2,1,4,4,0,5,7
Randers FC,4,1,1,2,9,8,1,4,8
Odense,4,1,1,2,2,6,-4,4,9
Brondby,4,1,0,3,5,11,-6,3,10
Aalborg,4,0,1,3,4,5,-1,1,11
Lyngby,4,0,0,4,3,7,-4,0,12
Nordsjalland,5,4,1,0,4,4,0,13,1
Viborg,5,2,3,0,10,5,5,9,2
Midtjylland,5,2,3,0,9,4,5,9,3
Horsens,5,1,4,0,10,4,6,7,4
Aarhus,5,1,4,0,5,6,-1,7,5
FC Kobenhavn,5,1,4,0,6,8,-2,7,6
Silkeborg,5,1,3,1,7,6,1,6,7
Randers FC,5,1,2,2,11,8,3,5,8
Odense,5,1,2,2,5,9,-4,5,9
Brondby,5,1,1,3,5,11,-6,4,10
Aalborg,5,0,2,3,6,7,-1,2,11
Lyngby,5,0,0,5,5,10,-5,0,12
Nordsjalland,6,5,1,0,5,4,1,16,1
Viborg,6,3,3,0,10,5,5,12,2
Midtjylland,6,2,4,0,10,4,6,10,3
FC Kobenhavn,6,2,4,0,7,11,-4,10,4
Horsens,6,1,5,0,11,5,6,8,5
Aarhus,6,1,5,0,5,8,-3,8,6
Silkeborg,6,1,4,1,8,8,0,7,7
Randers FC,6,1,3,2,13,9,4,6,8
Odense,6,1,3,2,5,11,-6,6,9
Brondby,6,1,1,4,6,15,-9,4,10
Aalborg,6,0,2,4,7,8,-1,2,11
Lyngby,6,0,0,6,9,11,-2,0,12
Nordsjalland,7,6,1,0,6,4,2,19,1
Viborg,7,3,4,0,11,6,5,13,2
FC Kobenhavn,7,3,4,0,10,13,-3,13,3
Midtjylland,7,2,5,0,12,6,6,11,4
Horsens,7,1,6,0,14,6,8,9,5
Aarhus,7,1,6,0,7,10,-3,9,6
Silkeborg,7,1,5,1,9,11,-2,8,7
Brondby,7,2,1,4,7,17,-10,7,8
Randers FC,7,1,4,2,15,11,4,7,9
Odense,7,1,3,3,7,12,-5,6,10
Aalborg,7,0,2,5,8,11,-3,2,11
Lyngby,7,0,0,7,9,13,-4,0,12
Nordsjalland,8,7,1,0,8,4,4,22,1
Viborg,8,4,4,0,12,8,4,16,2
FC Kobenhavn,8,4,4,0,14,13,1,16,3
Midtjylland,8,3,5,0,13,7,6,14,4
Horsens,8,1,7,0,15,7,8,10,5
Aarhus,8,1,7,0,7,10,-3,10,6
Odense,8,2,3,3,8,13,-5,9,7
Silkeborg,8,1,6,1,12,12,0,9,8
Randers FC,8,1,5,2,18,14,4,8,9
Brondby,8,2,1,5,10,19,-9,7,10
Aalborg,8,0,2,6,9,12,-3,2,11
Lyngby,8,0,0,8,10,14,-4,0,12
Nordsjalland,9,8,1,0,10,4,6,25,1
Viborg,9,5,4,0,13,10,3,19,2
FC Kobenhavn,9,4,5,0,15,15,0,17,3
Midtjylland,9,3,6,0,14,8,6,15,4
Horsens,9,2,7,0,16,7,9,13,5
Aarhus,9,2,7,0,7,11,-4,13,6
Silkeborg,9,2,6,1,12,15,-3,12,7
Odense,9,2,3,4,8,16,-8,9,8
Randers FC,9,1,6,2,20,17,3,9,9
Brondby,9,2,2,5,13,22,-9,8,10
Aalborg,9,0,2,7,12,14,-2,2,11
Lyngby,9,0,0,9,11,17,-6,0,12
Nordsjalland,10,9,1,0,11,5,6,28,1
FC Kobenhavn,10,5,5,0,19,17,2,20,2
Viborg,10,5,5,0,13,13,0,20,3
Midtjylland,10,3,7,0,15,8,7,16,4
Horsens,10,2,8,0,17,9,8,14,5
Aarhus,10,2,8,0,7,12,-5,14,6
Silkeborg,10,2,7,1,15,18,-3,13,7
Randers FC,10,2,6,2,20,17,3,12,8
Odense,10,2,4,4,8,20,-12,10,9
Brondby,10,2,3,5,15,23,-8,9,10
Aalborg,10,0,2,8,13,16,-3,2,11
Lyngby,10,0,1,9,13,18,-5,1,12
Nordsjalland,11,10,1,0,13,5,8,31,1
FC Kobenhavn,11,6,5,0,20,17,3,23,2
Viborg,11,5,6,0,13,14,-1,21,3
Midtjylland,11,3,7,1,16,8,8,16,4
Horsens,11,2,9,0,20,9,11,15,5
Aarhus,11,2,9,0,8,13,-5,15,6
Silkeborg,11,2,8,1,20,18,2,14,7
Randers FC,11,2,6,3,20,24,-4,12,8
Odense,11,2,5,4,10,20,-10,11,9
Brondby,11,2,4,5,15,25,-10,10,10
Aalborg,11,0,3,8,15,17,-2,3,11
Lyngby,11,0,1,10,14,20,-6,1,12
Nordsjalland,12,11,1,0,14,6,8,34,1
FC Kobenhavn,12,6,6,0,20,17,3,24,2
Viborg,12,5,7,0,14,16,-2,22,3
Horsens,12,3,9,0,22,10,12,18,4
Midtjylland,12,3,8,1,18,10,8,17,5
Aarhus,12,2,10,0,11,13,-2,16,6
Silkeborg,12,2,9,1,20,23,-3,15,7
Randers FC,12,2,7,3,20,25,-5,13,8
Odense,12,2,6,4,11,22,-11,12,9
Brondby,12,2,5,5,17,27,-10,11,10
Aalborg,12,0,3,9,17,19,-2,3,11
Lyngby,12,0,1,11,14,20,-6,1,12
Nordsjalland,13,11,2,0,16,7,9,35,1
FC Kobenhavn,13,7,6,0,23,20,3,27,2
Viborg,13,6,7,0,14,17,-3,25,3
Midtjylland,13,4,8,1,22,12,10,20,4
Horsens,13,3,10,0,23,11,12,19,5
Silkeborg,13,3,9,1,26,24,2,18,6
Aarhus,13,2,11,0,13,15,-2,17,7
Odense,13,3,6,4,12,23,-11,15,8
Randers FC,13,2,8,3,23,25,-2,14,9
Brondby,13,2,6,5,19,31,-12,12,10
Aalborg,13,0,4,9,18,20,-2,4,11
Lyngby,13,0,1,12,14,20,-6,1,12
