Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
CS Constantine,1,1,0,0,4,1,3,3,1
CR Belouizdad,1,0,1,0,0,3,-3,1,2
USM Alger,1,0,0,1,2,0,2,0,3
JS Kabylie,1,0,0,1,1,1,0,0,4
RC Arbaa,1,0,0,1,0,0,0,0,5
JS Saoura,1,0,0,1,0,0,0,0,6
ES Setif,1,0,0,1,0,0,0,0,7
Biskra,1,0,0,1,0,1,-1,0,8
Paradou AC,1,0,0,1,0,1,-1,0,9
MC Oran,1,0,0,1,0,1,-1,0,10
MC Alger,1,0,0,1,0,1,-1,0,11
El Bayadh,1,0,0,1,0,1,-1,0,12
Khenchela,1,0,0,1,1,3,-2,0,13
Magra,1,0,0,1,0,2,-2,0,14
ASO Chlef,1,0,0,1,1,4,-3,0,15
Chelghoum Laid,1,0,0,1,0,7,-7,0,16
CS Constantine,2,1,1,0,7,1,6,4,1
CR Belouizdad,2,1,1,0,1,3,-2,4,2
USM Alger,2,0,1,1,4,0,4,1,3
Biskra,2,0,1,1,1,1,0,1,4
JS Saoura,2,0,1,1,1,1,0,1,5
JS Kabylie,2,0,1,1,1,2,-1,1,6
MC Alger,2,0,1,1,0,1,-1,1,7
El Bayadh,2,0,1,1,0,1,-1,1,8
ES Setif,2,0,1,1,0,1,-1,1,9
RC Arbaa,2,0,1,1,0,2,-2,1,10
Magra,2,0,1,1,0,2,-2,1,11
ASO Chlef,2,0,1,1,1,4,-3,1,12
MC Oran,2,0,1,1,0,3,-3,1,13
Khenchela,2,0,1,1,1,6,-5,1,14
Paradou AC,2,0,0,2,1,3,-2,0,15
Chelghoum Laid,2,0,0,2,0,11,-11,0,16
CS Constantine,3,2,1,0,7,1,6,7,1
CR Belouizdad,3,2,1,0,1,4,-3,7,2
USM Alger,3,0,1,2,6,1,5,1,3
JS Saoura,3,0,1,2,1,1,0,1,4
Biskra,3,0,1,2,2,3,-1,1,5
El Bayadh,3,0,1,2,1,2,-1,1,6
JS Kabylie,3,0,1,2,2,4,-2,1,7
MC Alger,3,0,1,2,0,2,-2,1,8
ASO Chlef,3,0,1,2,1,5,-4,1,9
MC Oran,3,0,1,2,0,4,-4,1,10
Magra,3,0,1,2,1,6,-5,1,11
RC Arbaa,3,0,1,2,0,5,-5,1,12
ES Setif,3,0,1,2,0,5,-5,1,13
Khenchela,3,0,1,2,1,10,-9,1,14
Paradou AC,3,0,0,3,2,5,-3,0,15
Chelghoum Laid,3,0,0,3,0,19,-19,0,16
CS Constantine,4,3,1,0,9,1,8,10,1
CR Belouizdad,4,3,1,0,4,4,0,10,2
JS Saoura,4,0,2,2,1,1,0,2,3
ASO Chlef,4,0,2,2,3,5,-2,2,4
RC Arbaa,4,0,2,2,2,6,-4,2,5
USM Alger,4,0,1,3,6,4,2,1,6
Biskra,4,0,1,3,3,4,-1,1,7
El Bayadh,4,0,1,3,1,2,-1,1,8
JS Kabylie,4,0,1,3,3,6,-3,1,9
MC Alger,4,0,1,3,0,3,-3,1,10
Magra,4,0,1,3,2,8,-6,1,11
ES Setif,4,0,1,3,0,6,-6,1,12
MC Oran,4,0,1,3,0,8,-8,1,13
Khenchela,4,0,1,3,2,13,-11,1,14
Paradou AC,4,0,0,4,2,7,-5,0,15
Chelghoum Laid,4,0,0,4,0,26,-26,0,16
CS Constantine,5,4,1,0,9,3,6,13,1
CR Belouizdad,5,4,1,0,7,4,3,13,2
RC Arbaa,5,1,2,2,7,6,1,5,3
ASO Chlef,5,0,3,2,3,5,-2,3,4
JS Saoura,5,0,3,2,1,3,-2,3,5
Magra,5,0,2,3,2,8,-6,2,6
USM Alger,5,0,1,4,7,4,3,1,7
Biskra,5,0,1,4,4,4,0,1,8
El Bayadh,5,0,1,4,1,4,-3,1,9
JS Kabylie,5,0,1,4,3,7,-4,1,10
MC Alger,5,0,1,4,1,5,-4,1,11
ES Setif,5,0,1,4,1,10,-9,1,12
MC Oran,5,0,1,4,0,11,-11,1,13
Khenchela,5,0,1,4,3,16,-13,1,14
Paradou AC,5,0,0,5,4,11,-7,0,15
Chelghoum Laid,5,0,0,5,1,26,-25,0,16
CS Constantine,6,5,1,0,10,3,7,16,1
CR Belouizdad,6,5,1,0,11,5,6,16,2
RC Arbaa,6,1,2,3,8,8,0,5,3
Magra,6,1,2,3,2,9,-7,5,4
ASO Chlef,6,0,4,2,3,7,-4,4,5
JS Saoura,6,0,4,2,1,5,-4,4,6
USM Alger,6,0,2,4,8,4,4,2,7
Biskra,6,0,1,5,5,7,-2,1,8
El Bayadh,6,0,1,5,1,4,-3,1,9
JS Kabylie,6,0,1,5,4,10,-6,1,10
MC Alger,6,0,1,5,1,8,-7,1,11
ES Setif,6,0,1,5,2,11,-9,1,12
MC Oran,6,0,1,5,1,12,-11,1,13
Khenchela,6,0,1,5,3,17,-14,1,14
Paradou AC,6,0,0,6,5,14,-9,0,15
Chelghoum Laid,6,0,0,6,1,29,-28,0,16
CS Constantine,7,6,1,0,10,3,7,19,1
CR Belouizdad,7,6,1,0,12,7,5,19,2
RC Arbaa,7,2,2,3,10,9,1,8,3
Magra,7,1,3,3,3,10,-7,6,4
USM Alger,7,1,2,4,12,4,8,5,5
JS Saoura,7,0,5,2,1,5,-4,5,6
ASO Chlef,7,0,5,2,3,8,-5,5,7
Biskra,7,0,2,5,8,7,1,2,8
El Bayadh,7,0,2,5,1,4,-3,2,9
MC Alger,7,0,2,5,2,8,-6,2,10
ES Setif,7,0,2,5,4,11,-7,2,11
MC Oran,7,0,2,5,1,12,-11,2,12
JS Kabylie,7,0,1,6,4,11,-7,1,13
Khenchela,7,0,1,6,4,18,-14,1,14
Paradou AC,7,0,0,7,7,14,-7,0,15
Chelghoum Laid,7,0,0,7,1,32,-31,0,16
CS Constantine,8,7,1,0,11,4,7,22,1
CR Belouizdad,8,7,1,0,14,8,6,22,2
RC Arbaa,8,3,2,3,13,9,4,11,3
Magra,8,2,3,3,5,12,-7,9,4
JS Saoura,8,1,5,2,1,5,-4,8,5
USM Alger,8,1,3,4,12,4,8,6,6
ASO Chlef,8,0,6,2,4,9,-5,6,7
Biskra,8,1,2,5,10,7,3,5,8
El Bayadh,8,0,2,6,1,5,-4,2,9
MC Alger,8,0,2,6,2,8,-6,2,10
ES Setif,8,0,2,6,4,13,-9,2,11
MC Oran,8,0,2,6,1,14,-13,2,12
JS Kabylie,8,0,1,7,4,14,-10,1,13
Khenchela,8,0,1,7,4,19,-15,1,14
Paradou AC,8,0,0,8,9,15,-6,0,15
Chelghoum Laid,8,0,0,8,1,38,-37,0,16
CS Constantine,9,8,1,0,14,5,9,25,1
CR Belouizdad,9,8,1,0,14,8,6,25,2
RC Arbaa,9,4,2,3,14,10,4,14,3
Magra,9,3,3,3,5,13,-8,12,4
JS Saoura,9,2,5,2,3,5,-2,11,5
USM Alger,9,2,3,4,12,5,7,9,6
ASO Chlef,9,0,7,2,5,9,-4,7,7
Biskra,9,1,3,5,11,7,4,6,8
El Bayadh,9,0,3,6,2,5,-3,3,9
MC Alger,9,0,3,6,2,8,-6,3,10
ES Setif,9,0,3,6,5,13,-8,3,11
JS Kabylie,9,0,2,7,4,15,-11,2,12
MC Oran,9,0,2,7,2,14,-12,2,13
Khenchela,9,0,1,8,5,19,-14,1,14
Paradou AC,9,0,0,9,10,17,-7,0,15
Chelghoum Laid,9,0,0,9,1,39,-38,0,16
CS Constantine,10,9,1,0,15,5,10,28,1
CR Belouizdad,10,9,1,0,16,9,7,28,2
RC Arbaa,10,4,3,3,14,10,4,15,3
Magra,10,4,3,3,5,14,-9,15,4
USM Alger,10,3,3,4,12,6,6,12,5
