Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Northampton Town,1,0,1,0,5,1,4,1,1
Swindon Town,1,0,1,0,4,0,4,1,2
Stockport County,1,0,1,0,2,0,2,1,3
AFC Wimbledon,1,0,1,0,2,0,2,1,4
Stevenage,1,0,1,0,2,1,1,1,5
Bradford,1,0,1,0,1,0,1,1,6
Carlisle,1,0,1,0,0,1,-1,1,7
Walsall,1,0,1,0,0,1,-1,1,8
Leyton Orient,1,0,1,0,0,1,-1,1,9
Salford City,1,0,1,0,0,1,-1,1,10
Tranmere,1,0,1,0,1,3,-2,1,11
Mansfield Town,1,0,1,0,0,2,-2,1,12
Crawley Town,1,0,0,1,3,0,3,0,13
Grimsby,1,0,0,1,2,0,2,0,14
Hartlepool,1,0,0,1,2,0,2,0,15
Doncaster Rovers,1,0,0,1,1,0,1,0,16
Barrow,1,0,0,1,2,2,0,0,17
Gillingham,1,0,0,1,0,0,0,0,18
Newport County,1,0,0,1,0,0,0,0,19
Sutton United,1,0,0,1,1,2,-1,0,20
Rochdale,1,0,0,1,0,1,-1,0,21
Colchester,1,0,0,1,0,2,-2,0,22
Harrogate Town,1,0,0,1,0,3,-3,0,23
Crewe Alexandra,1,0,0,1,0,3,-3,0,24
Northampton Town,2,0,2,0,7,2,5,2,1
Leyton Orient,2,0,2,0,3,1,2,2,2
Bradford,2,0,2,0,2,0,2,2,3
Stockport County,2,0,2,0,2,0,2,2,4
Salford City,2,0,2,0,3,2,1,2,5
Stevenage,2,0,2,0,3,2,1,2,6
Carlisle,2,0,2,0,1,1,0,2,7
Walsall,2,0,2,0,1,1,0,2,8
AFC Wimbledon,2,0,1,1,4,0,4,1,9
Swindon Town,2,0,1,1,4,1,3,1,10
Mansfield Town,2,0,1,1,1,2,-1,1,11
Tranmere,2,0,1,1,1,5,-4,1,12
Hartlepool,2,0,0,2,4,2,2,0,13
Doncaster Rovers,2,0,0,2,2,0,2,0,14
Crawley Town,2,0,0,2,3,2,1,0,15
Grimsby,2,0,0,2,3,2,1,0,16
Rochdale,2,0,0,2,2,2,0,0,17
Barrow,2,0,0,2,2,5,-3,0,18
Harrogate Town,2,0,0,2,0,3,-3,0,19
Gillingham,2,0,0,2,0,3,-3,0,20
Colchester,2,0,0,2,0,5,-5,0,21
Crewe Alexandra,2,0,0,2,0,5,-5,0,22
Newport County,2,0,0,2,0,5,-5,0,23
Sutton United,2,0,0,2,1,7,-6,0,24
Bradford,3,1,2,0,5,0,5,5,1
Northampton Town,3,0,3,0,8,3,5,3,2
Salford City,3,0,3,0,6,4,2,3,3
Walsall,3,0,3,0,4,2,2,3,4
Stevenage,3,0,3,0,4,2,2,3,5
Stockport County,3,0,3,0,2,0,2,3,6
Leyton Orient,3,0,3,0,3,2,1,3,7
Carlisle,3,0,3,0,1,2,-1,3,8
Swindon Town,3,0,2,1,5,3,2,2,9
AFC Wimbledon,3,0,2,1,4,3,1,2,10
Tranmere,3,0,2,1,3,5,-2,2,11
Mansfield Town,3,0,1,2,2,4,-2,1,12
Grimsby,3,0,0,3,4,2,2,0,13
Doncaster Rovers,3,0,0,3,2,0,2,0,14
Crawley Town,3,0,0,3,4,3,1,0,15
Hartlepool,3,0,0,3,4,4,0,0,16
Rochdale,3,0,0,3,2,5,-3,0,17
Gillingham,3,0,0,3,1,4,-3,0,18
Barrow,3,0,0,3,2,7,-5,0,19
Harrogate Town,3,0,0,3,0,5,-5,0,20
Colchester,3,0,0,3,0,5,-5,0,21
Sutton United,3,0,0,3,1,7,-6,0,22
Newport County,3,0,0,3,0,6,-6,0,23
Crewe Alexandra,3,0,0,3,0,7,-7,0,24
Bradford,4,1,3,0,6,0,6,6,1
Northampton Town,4,1,3,0,9,4,5,6,2
Stevenage,4,1,3,0,7,2,5,6,3
Stockport County,4,1,3,0,2,0,2,6,4
Leyton Orient,4,1,3,0,3,3,0,6,5
Carlisle,4,1,3,0,1,2,-1,6,6
Salford City,4,0,4,0,7,6,1,4,7
Walsall,4,0,4,0,4,3,1,4,8
Swindon Town,4,0,3,1,5,5,0,3,9
AFC Wimbledon,4,0,3,1,4,5,-1,3,10
Tranmere,4,0,3,1,4,6,-2,3,11
Mansfield Town,4,0,2,2,5,6,-1,2,12
Grimsby,4,0,1,3,6,2,4,1,13
Doncaster Rovers,4,0,1,3,3,2,1,1,14
Harrogate Town,4,0,1,3,1,6,-5,1,15
Colchester,4,0,1,3,1,6,-5,1,16
Newport County,4,0,1,3,0,6,-6,1,17
Barrow,4,0,1,3,3,10,-7,1,18
Sutton United,4,0,1,3,2,11,-9,1,19
Crawley Town,4,0,0,4,5,3,2,0,20
Hartlepool,4,0,0,4,6,7,-1,0,21
Gillingham,4,0,0,4,3,4,-1,0,22
Rochdale,4,0,0,4,4,9,-5,0,23
Crewe Alexandra,4,0,0,4,1,7,-6,0,24
Leyton Orient,5,2,3,0,5,3,2,9,1
Stevenage,5,1,4,0,7,2,5,7,2
Walsall,5,1,4,0,6,3,3,7,3
Bradford,5,1,4,0,7,5,2,7,4
Carlisle,5,1,4,0,1,5,-4,7,5
Northampton Town,5,1,3,1,11,7,4,6,6
Stockport County,5,1,3,1,2,2,0,6,7
Salford City,5,0,4,1,7,8,-1,4,8
Swindon Town,5,0,3,2,5,5,0,3,9
AFC Wimbledon,5,0,3,2,5,7,-2,3,10
Tranmere,5,0,3,2,4,7,-3,3,11
Mansfield Town,5,0,2,3,6,7,-1,2,12
Grimsby,5,0,1,4,6,2,4,1,13
Doncaster Rovers,5,0,1,4,3,3,0,1,14
Newport County,5,0,1,4,0,6,-6,1,15
Colchester,5,0,1,4,1,8,-7,1,16
Harrogate Town,5,0,1,4,3,11,-8,1,17
Barrow,5,0,1,4,3,11,-8,1,18
Sutton United,5,0,1,4,2,13,-11,1,19
Crawley Town,5,0,0,5,6,5,1,0,20
Gillingham,5,0,0,5,3,5,-2,0,21
Hartlepool,5,0,0,5,6,11,-5,0,22
Rochdale,5,0,0,5,4,11,-7,0,23
Crewe Alexandra,5,0,0,5,1,10,-9,0,24
Leyton Orient,6,3,3,0,6,3,3,12,1
Bradford,6,2,4,0,8,5,3,10,2
Walsall,6,1,5,0,7,3,4,8,3
Stevenage,6,1,5,0,7,4,3,8,4
Carlisle,6,1,5,0,2,7,-5,8,5
Northampton Town,6,1,4,1,11,7,4,7,6
Stockport County,6,1,4,1,5,2,3,7,7
Salford City,6,0,5,1,10,9,1,5,8
Tranmere,6,0,3,3,6,8,-2,3,9
AFC Wimbledon,6,0,3,3,5,7,-2,3,10
Swindon Town,6,0,3,3,5,7,-2,3,11
Mansfield Town,6,0,2,4,8,10,-2,2,12
Harrogate Town,6,0,2,4,4,13,-9,2,13
Grimsby,6,0,1,5,7,4,3,1,14
Doncaster Rovers,6,0,1,5,4,7,-3,1,15
Colchester,6,0,1,5,1,8,-7,1,16
Barrow,6,0,1,5,3,12,-9,1,17
Newport County,6,0,1,5,0,10,-10,1,18
Sutton United,6,0,1,5,2,13,-11,1,19
Crawley Town,6,0,0,6,8,7,1,0,20
Gillingham,6,0,0,6,3,6,-3,0,21
Hartlepool,6,0,0,6,6,13,-7,0,22
Rochdale,6,0,0,6,4,14,-10,0,23
Crewe Alexandra,6,0,0,6,2,14,-12,0,24
Leyton Orient,7,4,3,0,7,3,4,15,1
Bradford,7,2,5,0,9,5,4,11,2
Stevenage,7,2,5,0,7,5,2,11,3
Carlisle,7,2,5,0,3,9,-6,11,4
Stockport County,7,2,4,1,6,2,4,10,5
