Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Eintracht Frankfurt,1,1,0,0,1,0,1,3,1
Bayern Munich,1,1,0,0,1,1,0,3,2
Wolfsburg,1,0,0,1,5,2,3,0,3
Dortmund,1,0,0,1,1,1,0,0,4
VfB Stuttgart,1,0,0,1,1,1,0,0,5
RB Leipzig,1,0,0,1,1,1,0,0,6
Schalke 04,1,0,0,1,1,2,-1,0,7
Union Berlin,1,0,0,1,0,1,-1,0,8
FC Koln,1,0,0,1,0,1,-1,0,9
Monchengladbach,1,0,0,1,2,4,-2,0,10
Freiburg,1,0,0,1,1,3,-2,0,11
Augsburg,1,0,0,1,1,4,-3,0,12
Leverkusen,1,0,0,1,0,3,-3,0,13
Hoffenheim,1,0,0,1,0,3,-3,0,14
Werder Bremen,1,0,0,1,0,4,-4,0,15
Mainz 05,1,0,0,1,0,4,-4,0,16
Bochum,1,0,0,1,0,5,-5,0,17
Hertha Berlin,1,0,0,1,0,6,-6,0,18
Eintracht Frankfurt,2,2,0,0,5,2,3,6,1
Bayern Munich,2,2,0,0,3,3,0,6,2
Wolfsburg,2,0,1,1,8,6,2,1,3
Dortmund,2,0,1,1,4,3,1,1,4
RB Leipzig,2,0,1,1,2,1,1,1,5
Union Berlin,2,0,1,1,2,2,0,1,6
VfB Stuttgart,2,0,0,2,1,1,0,0,7
Freiburg,2,0,0,2,3,5,-2,0,8
Hoffenheim,2,0,0,2,2,5,-3,0,9
Leverkusen,2,0,0,2,0,3,-3,0,10
Monchengladbach,2,0,0,2,3,7,-4,0,11
Augsburg,2,0,0,2,2,6,-4,0,12
FC Koln,2,0,0,2,1,5,-4,0,13
Schalke 04,2,0,0,2,1,5,-4,0,14
Werder Bremen,2,0,0,2,2,7,-5,0,15
Mainz 05,2,0,0,2,0,6,-6,0,16
Bochum,2,0,0,2,0,8,-8,0,17
Hertha Berlin,2,0,0,2,1,10,-9,0,18
Eintracht Frankfurt,3,3,0,0,7,7,0,9,1
Bayern Munich,3,3,0,0,3,4,-1,9,2
Union Berlin,3,1,1,1,5,3,2,4,3
RB Leipzig,3,0,2,1,5,3,2,2,4
Dortmund,3,0,2,1,6,5,1,2,5
Wolfsburg,3,0,2,1,9,12,-3,2,6
Monchengladbach,3,0,1,2,4,9,-5,1,7
VfB Stuttgart,3,0,0,3,1,1,0,0,8
Freiburg,3,0,0,3,5,6,-1,0,9
FC Koln,3,0,0,3,4,7,-3,0,10
Werder Bremen,3,0,0,3,5,9,-4,0,11
Hoffenheim,3,0,0,3,3,7,-4,0,12
Leverkusen,3,0,0,3,0,4,-4,0,13
Schalke 04,3,0,0,3,2,7,-5,0,14
Mainz 05,3,0,0,3,2,8,-6,0,15
Augsburg,3,0,0,3,2,9,-7,0,16
Hertha Berlin,3,0,0,3,2,12,-10,0,17
Bochum,3,0,0,3,2,13,-11,0,18
Eintracht Frankfurt,4,4,0,0,12,7,5,12,1
Bayern Munich,4,4,0,0,7,7,0,12,2
Union Berlin,4,1,2,1,9,6,3,5,3
Wolfsburg,4,1,2,1,9,15,-6,5,4
RB Leipzig,4,0,3,1,7,4,3,3,5
Dortmund,4,0,2,2,8,10,-2,2,6
Monchengladbach,4,0,2,2,5,10,-5,2,7
Freiburg,4,0,0,4,7,7,0,0,8
VfB Stuttgart,4,0,0,4,3,3,0,0,9
FC Koln,4,0,0,4,5,9,-4,0,10
Werder Bremen,4,0,0,4,5,10,-5,0,11
Augsburg,4,0,0,4,4,10,-6,0,12
Leverkusen,4,0,0,4,0,6,-6,0,13
Hoffenheim,4,0,0,4,4,13,-9,0,14
Schalke 04,4,0,0,4,2,11,-9,0,15
Hertha Berlin,4,0,0,4,3,13,-10,0,16
Mainz 05,4,0,0,4,2,12,-10,0,17
Bochum,4,0,0,4,2,14,-12,0,18
Eintracht Frankfurt,5,5,0,0,16,8,8,15,1
Bayern Munich,5,5,0,0,10,8,2,15,2
Union Berlin,5,2,2,1,12,6,6,8,3
Wolfsburg,5,2,2,1,11,16,-5,8,4
RB Leipzig,5,1,3,1,8,4,4,6,5
Dortmund,5,1,2,2,9,11,-2,5,6
Freiburg,5,1,0,4,8,10,-2,3,7
Monchengladbach,5,0,3,2,11,11,0,3,8
VfB Stuttgart,5,0,1,4,5,4,1,1,9
Werder Bremen,5,0,1,4,10,10,0,1,10
FC Koln,5,0,1,4,8,15,-7,1,11
Augsburg,5,0,1,4,7,14,-7,1,12
Leverkusen,5,0,1,4,0,7,-7,1,13
Hoffenheim,5,0,1,4,6,14,-8,1,14
Mainz 05,5,0,1,4,2,12,-10,1,15
Hertha Berlin,5,0,1,4,3,14,-11,1,16
Schalke 04,5,0,0,5,2,12,-10,0,17
Bochum,5,0,0,5,2,16,-14,0,18
Eintracht Frankfurt,6,6,0,0,17,9,8,18,1
Bayern Munich,6,6,0,0,11,8,3,18,2
Union Berlin,6,3,2,1,14,7,7,11,3
Wolfsburg,6,3,2,1,16,16,0,11,4
RB Leipzig,6,2,3,1,10,5,5,9,5
Dortmund,6,2,2,2,10,12,-2,8,6
Monchengladbach,6,1,3,2,16,13,3,6,7
Freiburg,6,1,1,4,11,11,0,4,8
Werder Bremen,6,0,2,4,11,11,0,2,9
FC Koln,6,0,2,4,9,16,-7,2,10
Hoffenheim,6,0,2,4,8,15,-7,2,11
Leverkusen,6,0,2,4,0,10,-10,2,12
Mainz 05,6,0,2,4,2,13,-11,2,13
VfB Stuttgart,6,0,1,5,7,6,1,1,14
Augsburg,6,0,1,5,10,18,-8,1,15
Hertha Berlin,6,0,1,5,4,16,-12,1,16
Schalke 04,6,0,0,6,2,13,-11,0,17
Bochum,6,0,0,6,2,19,-17,0,18
Eintracht Frankfurt,7,7,0,0,18,10,8,21,1
Bayern Munich,7,7,0,0,14,9,5,21,2
Wolfsburg,7,4,2,1,17,16,1,14,3
Union Berlin,7,3,3,1,16,10,6,12,4
RB Leipzig,7,2,4,1,10,6,4,10,5
Monchengladbach,7,2,3,2,19,13,6,9,6
Dortmund,7,2,3,2,12,15,-3,9,7
Freiburg,7,1,1,5,13,12,1,4,8
Werder Bremen,7,0,2,5,11,14,-3,2,9
FC Koln,7,0,2,5,11,17,-6,2,10
Hoffenheim,7,0,2,5,8,18,-10,2,11
Augsburg,7,0,2,5,10,21,-11,2,12
Leverkusen,7,0,2,5,0,11,-11,2,13
Mainz 05,7,0,2,5,2,15,-13,2,14
VfB Stuttgart,7,0,1,6,8,8,0,1,15
Hertha Berlin,7,0,1,6,4,19,-15,1,16
Schalke 04,7,0,0,7,2,17,-15,0,17
Bochum,7,0,0,7,2,21,-19,0,18
Eintracht Frankfurt,8,8,0,0,19,10,9,24,1
Bayern Munich,8,8,0,0,16,9,7,24,2
Wolfsburg,8,5,2,1,18,18,0,17,3
Union Berlin,8,4,3,1,16,10,6,15,4
RB Leipzig,8,3,4,1,12,7,5,13,5
Dortmund,8,3,3,2,15,17,-2,12,6
Monchengladbach,8,2,4,2,21,15,6,10,7
Freiburg,8,1,2,5,14,14,0,5,8
Werder Bremen,8,0,3,5,13,14,-1,3,9
FC Koln,8,0,3,5,12,17,-5,3,10
Leverkusen,8,0,3,5,3,11,-8,3,11
Hoffenheim,8,0,3,5,9,20,-11,3,12
Mainz 05,8,0,3,5,4,15,-11,3,13
Augsburg,8,0,3,5,10,26,-16,3,14
VfB Stuttgart,8,0,1,7,8,10,-2,1,15
Hertha Berlin,8,0,1,7,6,20,-14,1,16
Schalke 04,8,0,0,8,2,17,-15,0,17
Bochum,8,0,0,8,2,26,-24,0,18
Eintracht Frankfurt,9,9,0,0,22,11,11,27,1
Bayern Munich,9,9,0,0,19,11,8,27,2
Wolfsburg,9,6,2,1,23,20,3,20,3
Union Berlin,9,5,3,1,20,11,9,18,4
Dortmund,9,4,3,2,16,17,-1,15,5
RB Leipzig,9,3,5,1,13,9,4,14,6
Monchengladbach,9,3,4,2,21,15,6,13,7
Freiburg,9,1,3,5,14,17,-3,6,8
FC Koln,9,0,4,5,15,19,-4,4,9
Leverkusen,9,0,4,5,4,12,-8,4,10
Werder Bremen,9,0,3,6,13,16,-3,3,11
Mainz 05,9,0,3,6,8,16,-8,3,12
Hoffenheim,9,0,3,6,10,24,-14,3,13
Augsburg,9,0,3,6,12,28,-16,3,14
VfB Stuttgart,9,0,1,8,10,13,-3,1,15
Hertha Berlin,9,0,1,8,6,22,-16,1,16
Bochum,9,0,1,8,6,29,-23,1,17
Schalke 04,9,0,0,9,2,19,-17,0,18
Eintracht Frankfurt,10,10,0,0,25,11,14,30,1
Bayern Munich,10,10,0,0,21,11,10,30,2
Wolfsburg,10,7,2,1,25,22,3,23,3
Union Berlin,10,6,3,1,22,13,9,21,4
Monchengladbach,10,4,4,2,23,18,5,16,5
Dortmund,10,4,4,2,17,19,-2,16,6
RB Leipzig,10,3,6,1,13,9,4,15,7
Freiburg,10,1,4,5,17,20,-3,7,8
