Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Panathinaikos,1,1,0,0,4,0,4,3,1
Olympiakos Piraeus,1,1,0,0,1,0,1,3,2
AEK,1,1,0,0,1,0,1,3,3
PAOK,1,1,0,0,1,2,-1,3,4
Aris,1,1,0,0,1,2,-1,3,5
Panetolikos,1,0,1,0,4,3,1,1,6
Volos NFC,1,0,1,0,2,1,1,1,7
OFI Heraklion,1,0,1,0,2,2,0,1,8
Atromitos,1,0,1,0,1,2,-1,1,9
Asteras Tripolis,1,0,1,0,1,3,-2,1,10
Giannina,1,0,0,1,2,1,1,0,11
Ionikos,1,0,0,1,1,1,0,0,12
Levadeiakos,1,0,0,1,1,1,0,0,13
Lamia FC,1,0,0,1,0,0,0,0,14
Panathinaikos,2,2,0,0,4,1,3,6,1
Olympiakos Piraeus,2,2,0,0,1,0,1,6,2
AEK,2,2,0,0,1,0,1,6,3
PAOK,2,2,0,0,3,3,0,6,4
Volos NFC,2,1,1,0,2,1,1,4,5
Aris,2,1,1,0,1,3,-2,4,6
Panetolikos,2,0,2,0,5,3,2,2,7
OFI Heraklion,2,0,2,0,3,5,-2,2,8
Asteras Tripolis,2,0,2,0,2,4,-2,2,9
Atromitos,2,0,2,0,1,4,-3,2,10
Ionikos,2,0,0,2,3,1,2,0,11
Levadeiakos,2,0,0,2,2,1,1,0,12
Giannina,2,0,0,2,4,5,-1,0,13
Lamia FC,2,0,0,2,0,3,-3,0,14
Panathinaikos,3,3,0,0,9,1,8,9,1
AEK,3,3,0,0,6,0,6,9,2
PAOK,3,3,0,0,4,3,1,9,3
Olympiakos Piraeus,3,3,0,0,2,1,1,9,4
Aris,3,2,1,0,5,3,2,7,5
Panetolikos,3,1,2,0,6,3,3,5,6
Atromitos,3,1,2,0,4,4,0,5,7
OFI Heraklion,3,1,2,0,3,5,-2,5,8
Asteras Tripolis,3,1,2,0,2,4,-2,5,9
Volos NFC,3,1,1,1,4,2,2,4,10
Giannina,3,1,0,2,6,5,1,3,11
Ionikos,3,0,1,2,4,2,2,1,12
Levadeiakos,3,0,1,2,2,2,0,1,13
Lamia FC,3,0,0,3,0,5,-5,0,14
PAOK,4,4,0,0,6,4,2,12,1
Panathinaikos,4,3,1,0,12,1,11,10,2
AEK,4,3,1,0,6,1,5,10,3
Olympiakos Piraeus,4,3,1,0,3,2,1,10,4
Aris,4,2,2,0,5,3,2,8,5
Panetolikos,4,1,2,1,7,4,3,5,6
Atromitos,4,1,2,1,5,6,-1,5,7
OFI Heraklion,4,1,2,1,4,6,-2,5,8
Asteras Tripolis,4,1,2,1,2,7,-5,5,9
Volos NFC,4,1,1,2,4,6,-2,4,10
Giannina,4,1,0,3,7,8,-1,3,11
Ionikos,4,0,1,3,4,4,0,1,12
Levadeiakos,4,0,1,3,2,4,-2,1,13
Lamia FC,4,0,0,4,0,7,-7,0,14
PAOK,5,5,0,0,7,4,3,15,1
Panathinaikos,5,4,1,0,13,2,11,13,2
AEK,5,3,2,0,7,1,6,11,3
Olympiakos Piraeus,5,3,2,0,3,2,1,11,4
Aris,5,2,3,0,5,4,1,9,5
Panetolikos,5,1,2,2,8,5,3,5,6
Atromitos,5,1,2,2,6,6,0,5,7
OFI Heraklion,5,1,2,2,4,6,-2,5,8
Asteras Tripolis,5,1,2,2,2,10,-8,5,9
Volos NFC,5,1,1,3,6,7,-1,4,10
Giannina,5,1,0,4,9,10,-1,3,11
Ionikos,5,0,1,4,4,5,-1,1,12
Levadeiakos,5,0,1,4,2,6,-4,1,13
Lamia FC,5,0,0,5,0,8,-8,0,14
PAOK,6,6,0,0,8,4,4,18,1
Panathinaikos,6,5,1,0,15,2,13,16,2
AEK,6,4,2,0,10,1,9,14,3
Aris,6,3,3,0,6,4,2,12,4
Olympiakos Piraeus,6,3,3,0,3,2,1,12,5
Atromitos,6,1,3,2,7,6,1,6,6
Panetolikos,6,1,2,3,9,7,2,5,7
OFI Heraklion,6,1,2,3,4,6,-2,5,8
Asteras Tripolis,6,1,2,3,3,11,-8,5,9
Volos NFC,6,1,1,4,6,8,-2,4,10
Giannina,6,1,0,5,10,13,-3,3,11
Ionikos,6,0,1,5,7,7,0,1,12
Levadeiakos,6,0,1,5,3,9,-6,1,13
Lamia FC,6,0,0,6,0,13,-13,0,14
Panathinaikos,7,6,1,0,18,2,16,19,1
PAOK,7,6,1,0,8,7,1,19,2
AEK,7,4,3,0,12,2,10,15,3
Olympiakos Piraeus,7,4,3,0,7,2,5,15,4
Aris,7,4,3,0,8,5,3,15,5
Volos NFC,7,2,1,4,7,9,-2,7,6
Atromitos,7,1,3,3,7,6,1,6,7
Panetolikos,7,1,2,4,11,7,4,5,8
OFI Heraklion,7,1,2,4,4,6,-2,5,9
Asteras Tripolis,7,1,2,4,4,14,-10,5,10
Giannina,7,1,0,6,10,13,-3,3,11
Ionikos,7,0,1,6,7,8,-1,1,12
Levadeiakos,7,0,1,6,3,10,-7,1,13
Lamia FC,7,0,0,7,0,17,-17,0,14
Panathinaikos,8,6,2,0,18,3,15,20,1
PAOK,8,6,2,0,8,7,1,20,2
AEK,8,5,3,0,15,3,12,18,3
Olympiakos Piraeus,8,5,3,0,9,2,7,18,4
Aris,8,5,3,0,11,6,5,18,5
Volos NFC,8,3,1,4,8,11,-3,10,6
Atromitos,8,2,3,3,7,8,-1,9,7
Panetolikos,8,1,3,4,12,7,5,6,8
OFI Heraklion,8,1,3,4,5,8,-3,6,9
Asteras Tripolis,8,1,3,4,6,15,-9,6,10
Giannina,8,1,1,6,12,13,-1,4,11
Levadeiakos,8,0,2,6,4,10,-6,2,12
Ionikos,8,0,1,7,7,12,-5,1,13
Lamia FC,8,0,0,8,1,18,-17,0,14
Panathinaikos,9,6,3,0,19,3,16,21,1
AEK,9,6,3,0,17,4,13,21,2
Olympiakos Piraeus,9,6,3,0,12,2,10,21,3
PAOK,9,6,3,0,9,8,1,21,4
Aris,9,5,4,0,11,6,5,19,5
Atromitos,9,3,3,3,11,10,1,12,6
Volos NFC,9,3,1,5,8,12,-4,10,7
Panetolikos,9,1,4,4,14,7,7,7,8
OFI Heraklion,9,1,4,4,6,9,-3,7,9
Asteras Tripolis,9,1,4,4,10,15,-5,7,10
