Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Feyenoord Rotterdam,1,1,0,0,3,1,2,3,1
PSV Eindhoven,1,1,0,0,3,2,1,3,2
Ajax Amsterdam,1,1,0,0,1,1,0,3,3
Twente Enschede,1,1,0,0,1,1,0,3,4
Utrecht,1,0,1,0,4,3,1,1,5
AZ Alkmaar,1,0,1,0,2,1,1,1,6
Go Ahead Eagles,1,0,1,0,2,1,1,1,7
Heerenveen,1,0,1,0,1,0,1,1,8
Waalwijk,1,0,1,0,1,0,1,1,9
Sparta Rotterdam,1,0,1,0,1,0,1,1,10
NEC Nijmegen,1,0,1,0,0,0,0,1,11
For Sittard,1,0,1,0,0,1,-1,1,12
Groningen,1,0,0,1,2,0,2,0,13
Vitesse,1,0,0,1,1,1,0,0,14
FC Emmen,1,0,0,1,1,1,0,0,15
Excelsior,1,0,0,1,1,3,-2,0,16
Cambuur,1,0,0,1,0,2,-2,0,17
Volendam,1,0,0,1,0,2,-2,0,18
Ajax Amsterdam,2,2,0,0,6,2,4,6,1
PSV Eindhoven,2,2,0,0,6,3,3,6,2
Feyenoord Rotterdam,2,2,0,0,3,1,2,6,3
Twente Enschede,2,2,0,0,1,2,-1,6,4
Heerenveen,2,1,1,0,3,0,3,4,5
Sparta Rotterdam,2,1,1,0,3,2,1,4,6
AZ Alkmaar,2,1,1,0,2,3,-1,4,7
Waalwijk,2,0,2,0,5,2,3,2,8
NEC Nijmegen,2,0,2,0,2,0,2,2,9
Utrecht,2,0,2,0,5,4,1,2,10
For Sittard,2,0,2,0,1,1,0,2,11
Go Ahead Eagles,2,0,2,0,2,3,-1,2,12
Vitesse,2,0,1,1,2,1,1,1,13
Groningen,2,0,0,2,3,3,0,0,14
FC Emmen,2,0,0,2,1,2,-1,0,15
Volendam,2,0,0,2,1,2,-1,0,16
Cambuur,2,0,0,2,1,4,-3,0,17
Excelsior,2,0,0,2,2,6,-4,0,18
PSV Eindhoven,3,3,0,0,12,4,8,9,1
Ajax Amsterdam,3,3,0,0,10,2,8,9,2
Feyenoord Rotterdam,3,3,0,0,4,1,3,9,3
Twente Enschede,3,3,0,0,1,2,-1,9,4
Sparta Rotterdam,3,2,1,0,5,2,3,7,5
AZ Alkmaar,3,2,1,0,5,3,2,7,6
Waalwijk,3,1,2,0,7,2,5,5,7
NEC Nijmegen,3,1,2,0,4,1,3,5,8
Go Ahead Eagles,3,1,2,0,4,3,1,5,9
For Sittard,3,1,2,0,3,2,1,5,10
Utrecht,3,1,2,0,5,5,0,5,11
Heerenveen,3,1,1,1,5,3,2,4,12
Vitesse,3,1,1,1,4,3,1,4,13
Volendam,3,0,1,2,3,2,1,1,14
FC Emmen,3,0,1,2,1,2,-1,1,15
Groningen,3,0,1,2,3,5,-2,1,16
Excelsior,3,0,1,2,2,6,-4,1,17
Cambuur,3,0,0,3,2,6,-4,0,18
PSV Eindhoven,4,4,0,0,16,6,10,12,1
Ajax Amsterdam,4,3,1,0,11,2,9,10,2
Feyenoord Rotterdam,4,3,1,0,6,1,5,10,3
Twente Enschede,4,3,1,0,2,3,-1,10,4
Sparta Rotterdam,4,2,2,0,7,6,1,8,5
AZ Alkmaar,4,2,1,1,7,5,2,7,6
NEC Nijmegen,4,1,2,1,5,2,3,5,7
Waalwijk,4,1,2,1,8,6,2,5,8
Heerenveen,4,1,2,1,5,4,1,5,9
Go Ahead Eagles,4,1,2,1,7,7,0,5,10
Utrecht,4,1,2,1,6,6,0,5,11
For Sittard,4,1,2,1,4,5,-1,5,12
Vitesse,4,1,1,2,5,4,1,4,13
Volendam,4,0,1,3,4,5,-1,1,14
FC Emmen,4,0,1,3,1,4,-3,1,15
Groningen,4,0,1,3,3,8,-5,1,16
Excelsior,4,0,1,3,3,9,-6,1,17
Cambuur,4,0,0,4,3,9,-6,0,18
PSV Eindhoven,5,5,0,0,19,7,12,15,1
Ajax Amsterdam,5,4,1,0,13,3,10,13,2
Feyenoord Rotterdam,5,4,1,0,7,1,6,13,3
Twente Enschede,5,4,1,0,3,4,-1,13,4
Sparta Rotterdam,5,2,3,0,8,7,1,9,5
AZ Alkmaar,5,2,2,1,9,5,4,8,6
Heerenveen,5,2,2,1,5,6,-1,8,7
NEC Nijmegen,5,1,3,1,8,2,6,6,8
Waalwijk,5,1,3,1,10,7,3,6,9
Utrecht,5,1,3,1,8,7,1,6,10
For Sittard,5,1,3,1,6,9,-3,6,11
Go Ahead Eagles,5,1,2,2,8,8,0,5,12
Vitesse,5,1,1,3,5,7,-2,4,13
Volendam,5,0,1,4,5,6,-1,1,14
FC Emmen,5,0,1,4,1,6,-5,1,15
Groningen,5,0,1,4,3,9,-6,1,16
Excelsior,5,0,1,4,5,12,-7,1,17
Cambuur,5,0,0,5,4,15,-11,0,18
PSV Eindhoven,6,6,0,0,24,8,16,18,1
Ajax Amsterdam,6,5,1,0,14,3,11,16,2
Feyenoord Rotterdam,6,5,1,0,9,2,7,16,3
Twente Enschede,6,5,1,0,5,7,-2,16,4
Sparta Rotterdam,6,3,3,0,11,7,4,12,5
AZ Alkmaar,6,3,2,1,11,5,6,11,6
Heerenveen,6,3,2,1,6,7,-1,11,7
NEC Nijmegen,6,2,3,1,10,2,8,9,8
Utrecht,6,2,3,1,10,7,3,9,9
Waalwijk,6,2,3,1,10,8,2,9,10
For Sittard,6,2,3,1,9,10,-1,9,11
Go Ahead Eagles,6,1,3,2,10,8,2,6,12
Vitesse,6,1,2,3,5,8,-3,5,13
Volendam,6,0,2,4,7,7,0,2,14
FC Emmen,6,0,2,4,3,7,-4,2,15
Groningen,6,0,2,4,4,10,-6,2,16
Excelsior,6,0,2,4,5,12,-7,2,17
Cambuur,6,0,0,6,4,17,-13,0,18
PSV Eindhoven,7,7,0,0,28,9,19,21,1
Ajax Amsterdam,7,6,1,0,18,3,15,19,2
Feyenoord Rotterdam,7,6,1,0,12,2,10,19,3
Twente Enschede,7,6,1,0,5,7,-2,19,4
Sparta Rotterdam,7,4,3,0,15,9,6,15,5
AZ Alkmaar,7,4,2,1,14,6,8,14,6
Waalwijk,7,3,3,1,12,8,4,12,7
Heerenveen,7,3,3,1,6,7,-1,12,8
NEC Nijmegen,7,2,4,1,14,4,10,10,9
Utrecht,7,2,4,1,11,9,2,10,10
For Sittard,7,2,4,1,9,11,-2,10,11
Go Ahead Eagles,7,1,4,2,11,10,1,7,12
Vitesse,7,1,3,3,5,9,-4,6,13
Groningen,7,0,3,4,5,10,-5,3,14
Volendam,7,0,2,5,8,8,0,2,15
FC Emmen,7,0,2,5,3,9,-6,2,16
Excelsior,7,0,2,5,6,13,-7,2,17
Cambuur,7,0,1,6,6,17,-11,1,18
PSV Eindhoven,8,8,0,0,31,9,22,24,1
Ajax Amsterdam,8,7,1,0,18,4,14,22,2
Feyenoord Rotterdam,8,7,1,0,15,2,13,22,3
Twente Enschede,8,6,2,0,6,7,-1,20,4
Sparta Rotterdam,8,4,4,0,17,9,8,16,5
AZ Alkmaar,8,4,3,1,14,7,7,15,6
Heerenveen,8,3,4,1,7,9,-2,13,7
Waalwijk,8,3,3,2,14,11,3,12,8
NEC Nijmegen,8,2,5,1,14,4,10,11,9
Utrecht,8,2,5,1,12,9,3,11,10
For Sittard,8,2,5,1,9,13,-4,11,11
Go Ahead Eagles,8,1,4,3,12,11,1,7,12
Vitesse,8,1,4,3,6,14,-8,7,13
Groningen,8,1,3,4,8,11,-3,6,14
Volendam,8,0,2,6,8,11,-3,2,15
Excelsior,8,0,2,6,7,15,-8,2,16
FC Emmen,8,0,2,6,3,11,-8,2,17
Cambuur,8,0,1,7,8,19,-11,1,18
PSV Eindhoven,9,9,0,0,32,10,22,27,1
Ajax Amsterdam,9,7,2,0,19,5,14,23,2
Feyenoord Rotterdam,9,7,2,0,15,4,11,23,3
Twente Enschede,9,6,3,0,6,9,-3,21,4
AZ Alkmaar,9,5,3,1,15,8,7,18,5
