Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
AC Milan,1,1,0,0,4,0,4,3,1
Napoli,1,1,0,0,5,2,3,3,2
Internazionale Milano,1,0,1,0,3,0,3,1,3
Juventus,1,0,1,0,2,1,1,1,4
Atalanta,1,0,1,0,1,0,1,1,5
Lazio,1,0,1,0,0,0,0,1,6
Roma,1,0,1,0,0,0,0,1,7
Udinese,1,0,1,0,0,2,-2,1,8
Hellas Verona,1,0,0,1,1,0,1,0,9
Torino,1,0,0,1,1,1,0,0,10
Empoli,1,0,0,1,1,1,0,0,11
Spezia,1,0,0,1,0,1,-1,0,12
Bologna,1,0,0,1,0,1,-1,0,13
Monza,1,0,0,1,3,5,-2,0,14
Salernitana,1,0,0,1,1,4,-3,0,15
Sassuolo,1,0,0,1,1,4,-3,0,16
Lecce,1,0,0,1,0,3,-3,0,17
Cremonese,1,0,0,1,0,3,-3,0,18
Sampdoria,1,0,0,1,0,4,-4,0,19
Fiorentina,1,0,0,1,0,6,-6,0,20
AC Milan,2,2,0,0,9,3,6,6,1
Napoli,2,2,0,0,8,2,6,6,2
Internazionale Milano,2,1,1,0,4,1,3,4,3
Atalanta,2,1,1,0,3,0,3,4,4
Lazio,2,1,1,0,1,0,1,4,5
Roma,2,1,1,0,1,0,1,4,6
Juventus,2,1,1,0,2,2,0,4,7
Udinese,2,1,1,0,0,2,-2,4,8
Empoli,2,1,0,1,2,1,1,3,9
Torino,2,1,0,1,1,1,0,3,10
Bologna,2,1,0,1,0,1,-1,3,11
Lecce,2,1,0,1,2,4,-2,3,12
Sassuolo,2,1,0,1,2,4,-2,3,13
Monza,2,1,0,1,3,6,-3,3,14
Salernitana,2,1,0,1,1,5,-4,3,15
Fiorentina,2,1,0,1,1,6,-5,3,16
Hellas Verona,2,0,1,1,2,0,2,1,17
Spezia,2,0,1,1,2,2,0,1,18
Cremonese,2,0,1,1,0,3,-3,1,19
Sampdoria,2,0,0,2,1,5,-4,0,20
AC Milan,3,3,0,0,12,3,9,9,1
Napoli,3,3,0,0,12,5,7,9,2
Lazio,3,2,1,0,2,0,2,7,3
Juventus,3,2,1,0,2,4,-2,7,4
Internazionale Milano,3,1,2,0,7,3,4,5,5
Atalanta,3,1,2,0,3,1,2,5,6
Roma,3,1,2,0,1,0,1,5,7
Udinese,3,1,2,0,0,4,-4,5,8
Monza,3,1,1,1,7,6,1,4,9
Torino,3,1,1,1,3,2,1,4,10
Sassuolo,3,1,1,1,5,5,0,4,11
Empoli,3,1,1,1,2,2,0,4,12
Bologna,3,1,1,1,2,3,-1,4,13
Fiorentina,3,1,1,1,4,6,-2,4,14
Lecce,3,1,1,1,2,4,-2,4,15
Salernitana,3,1,0,2,2,6,-4,3,16
Hellas Verona,3,0,1,2,4,1,3,1,17
Spezia,3,0,1,2,3,5,-2,1,18
Cremonese,3,0,1,2,0,4,-4,1,19
Sampdoria,3,0,0,3,2,5,-3,0,20
AC Milan,4,4,0,0,18,3,15,12,1
Napoli,4,4,0,0,12,5,7,12,2
Lazio,4,3,1,0,2,0,2,10,3
Juventus,4,2,2,0,3,5,-2,8,4
Monza,4,2,1,1,10,6,4,7,5
Internazionale Milano,4,1,3,0,9,3,6,6,6
Atalanta,4,1,3,0,5,4,1,6,7
Roma,4,1,3,0,3,2,1,6,8
Udinese,4,1,3,0,0,5,-5,6,9
Empoli,4,1,2,1,4,3,1,5,10
Sassuolo,4,1,2,1,6,6,0,5,11
Fiorentina,4,1,2,1,6,7,-1,5,12
Torino,4,1,2,1,3,4,-1,5,13
Bologna,4,1,2,1,4,6,-2,5,14
Lecce,4,1,2,1,4,7,-3,5,15
Salernitana,4,1,0,3,3,7,-4,3,16
Hellas Verona,4,0,1,3,5,2,3,1,17
Spezia,4,0,1,3,3,6,-3,1,18
Cremonese,4,0,1,3,0,5,-5,1,19
Sampdoria,4,0,0,4,3,7,-4,0,20
Napoli,5,5,0,0,14,5,9,15,1
AC Milan,5,4,1,0,18,3,15,13,2
Lazio,5,4,1,0,3,0,3,13,3
Juventus,5,3,2,0,3,5,-2,11,4
Monza,5,2,2,1,10,6,4,8,5
Lecce,5,2,2,1,9,9,0,8,6
