Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Jeonbuk FC,1,1,0,0,2,1,1,3,1
Incheon United,1,0,1,0,1,1,0,1,2
Pohang Steelers,1,0,1,0,0,1,-1,1,3
Ulsan Hyundai,1,0,1,0,1,3,-2,1,4
Suwon Bluewings,1,0,0,1,2,1,1,0,5
Gangwon FC,1,0,0,1,3,3,0,0,6
Jeju United,1,0,0,1,2,2,0,0,7
Suwon City FC,1,0,0,1,1,1,0,0,8
Seongnam FC,1,0,0,1,0,0,0,0,9
Daegu FC,1,0,0,1,1,2,-1,0,10
FC Seoul,1,0,0,1,0,1,-1,0,11
Gimcheon Sangmu,1,0,0,1,0,3,-3,0,12
Jeonbuk FC,2,1,1,0,3,2,1,4,1
Ulsan Hyundai,2,1,1,0,2,3,-1,4,2
Incheon United,2,0,2,0,4,2,2,2,3
Pohang Steelers,2,0,2,0,1,2,-1,2,4
FC Seoul,2,0,1,1,2,1,1,1,5
Gimcheon Sangmu,2,0,1,1,4,4,0,1,6
Jeju United,2,0,1,1,3,3,0,1,7
Suwon City FC,2,0,1,1,3,3,0,1,8
Gangwon FC,2,0,1,1,4,7,-3,1,9
Suwon Bluewings,2,0,1,1,2,5,-3,1,10
Seongnam FC,2,0,0,2,0,1,-1,0,11
Daegu FC,2,0,0,2,2,4,-2,0,12
Jeonbuk FC,3,2,1,0,6,5,1,7,1
Ulsan Hyundai,3,1,2,0,3,4,-1,5,2
Incheon United,3,0,3,0,5,4,1,3,3
Pohang Steelers,3,0,3,0,1,2,-1,3,4
Jeju United,3,0,2,1,7,4,3,2,5
FC Seoul,3,0,2,1,2,1,1,2,6
Gimcheon Sangmu,3,0,2,1,6,6,0,2,7
Gangwon FC,3,0,2,1,6,7,-1,2,8
Suwon City FC,3,0,2,1,4,6,-2,2,9
Suwon Bluewings,3,0,2,1,2,8,-6,2,10
Daegu FC,3,0,1,2,3,7,-4,1,11
Seongnam FC,3,0,0,3,2,3,-1,0,12
Jeonbuk FC,4,3,1,0,8,7,1,10,1
Ulsan Hyundai,4,2,2,0,4,5,-1,8,2
Incheon United,4,0,4,0,5,5,0,4,3
Pohang Steelers,4,0,4,0,3,5,-2,4,4
Gangwon FC,4,0,3,1,9,7,2,3,5
FC Seoul,4,0,3,1,4,2,2,3,6
Jeju United,4,0,3,1,8,7,1,3,7
Gimcheon Sangmu,4,0,3,1,7,7,0,3,8
Suwon City FC,4,0,3,1,6,9,-3,3,9
Suwon Bluewings,4,0,3,1,3,10,-7,3,10
Daegu FC,4,0,2,2,7,8,-1,2,11
Seongnam FC,4,0,0,4,5,4,1,0,12
Jeonbuk FC,5,3,2,0,11,8,3,11,1
Ulsan Hyundai,5,2,3,0,6,6,0,9,2
Incheon United,5,0,5,0,5,7,-2,5,3
Pohang Steelers,5,0,5,0,4,8,-4,5,4
Gangwon FC,5,0,4,1,13,9,4,4,5
Gimcheon Sangmu,5,0,4,1,11,7,4,4,6
FC Seoul,5,0,4,1,4,3,1,4,7
Jeju United,5,0,4,1,10,10,0,4,8
Suwon City FC,5,0,4,1,8,10,-2,4,9
Suwon Bluewings,5,0,4,1,4,11,-7,4,10
Daegu FC,5,0,3,2,8,9,-1,3,11
Seongnam FC,5,0,0,5,7,4,3,0,12
Jeonbuk FC,6,4,2,0,12,10,2,14,1
Ulsan Hyundai,6,2,4,0,7,8,-1,10,2
Incheon United,6,0,6,0,6,11,-5,6,3
Pohang Steelers,6,0,6,0,4,9,-5,6,4
Gangwon FC,6,0,5,1,16,10,6,5,5
Jeju United,6,0,5,1,10,10,0,5,6
Gimcheon Sangmu,6,0,4,2,11,7,4,4,7
FC Seoul,6,0,4,2,4,4,0,4,8
Suwon City FC,6,0,4,2,8,12,-4,4,9
Suwon Bluewings,6,0,4,2,7,13,-6,4,10
Daegu FC,6,0,3,3,8,10,-2,3,11
Seongnam FC,6,0,0,6,7,6,1,0,12
Jeonbuk FC,7,5,2,0,12,10,2,17,1
Ulsan Hyundai,7,3,4,0,9,8,1,13,2
Pohang Steelers,7,0,7,0,5,9,-4,7,3
Incheon United,7,0,7,0,7,12,-5,7,4
Gangwon FC,7,0,6,1,19,11,8,6,5
Jeju United,7,0,6,1,10,10,0,6,6
Gimcheon Sangmu,7,0,5,2,12,8,4,5,7
FC Seoul,7,0,5,2,4,4,0,5,8
Suwon City FC,7,0,5,2,8,14,-6,5,9
Daegu FC,7,0,4,3,12,10,2,4,10
Suwon Bluewings,7,0,4,3,7,15,-8,4,11
Seongnam FC,7,0,0,7,8,6,2,0,12
Jeonbuk FC,8,6,2,0,15,10,5,20,1
Ulsan Hyundai,8,4,4,0,10,9,1,16,2
Pohang Steelers,8,1,7,0,7,10,-3,10,3
Gimcheon Sangmu,8,1,5,2,14,9,5,8,4
Suwon City FC,8,1,5,2,8,15,-7,8,5
Incheon United,8,0,8,0,10,12,-2,8,6
Daegu FC,8,1,4,3,13,10,3,7,7
Jeju United,8,0,7,1,12,10,2,7,8
Gangwon FC,8,0,6,2,20,12,8,6,9
FC Seoul,8,0,6,2,4,5,-1,6,10
Suwon Bluewings,8,0,5,3,8,17,-9,5,11
Seongnam FC,8,0,0,8,8,8,0,0,12
Jeonbuk FC,9,7,2,0,16,10,6,23,1
Ulsan Hyundai,9,5,4,0,13,10,3,19,2
Incheon United,9,1,8,0,12,14,-2,11,3
Pohang Steelers,9,1,8,0,9,11,-2,11,4
Gimcheon Sangmu,9,1,6,2,14,12,2,9,5
Suwon City FC,9,1,6,2,9,18,-9,9,6
Daegu FC,9,1,5,3,14,14,0,8,7
Jeju United,9,0,8,1,13,12,1,8,8
Gangwon FC,9,0,7,2,22,13,9,7,9
FC Seoul,9,0,7,2,4,7,-3,7,10
Suwon Bluewings,9,0,6,3,9,18,-9,6,11
Seongnam FC,9,0,0,9,10,9,1,0,12
Jeonbuk FC,10,8,2,0,17,11,6,26,1
Ulsan Hyundai,10,6,4,0,13,12,1,22,2
Pohang Steelers,10,1,9,0,11,11,0,12,3
Incheon United,10,1,9,0,14,16,-2,12,4
Gangwon FC,10,1,7,2,23,16,7,10,5
Gimcheon Sangmu,10,1,7,2,16,14,2,10,6
Suwon City FC,10,1,7,2,9,22,-13,10,7
Daegu FC,10,1,6,3,14,16,-2,9,8
Jeju United,10,0,9,1,14,13,1,9,9
FC Seoul,10,0,8,2,5,8,-3,8,10
Suwon Bluewings,10,0,7,3,11,19,-8,7,11
Seongnam FC,10,0,0,10,11,10,1,0,12
Jeonbuk FC,11,8,3,0,18,11,7,27,1
Ulsan Hyundai,11,7,4,0,15,15,0,25,2
Pohang Steelers,11,1,10,0,13,13,0,13,3
Incheon United,11,1,10,0,14,16,-2,13,4
Jeju United,11,1,9,1,14,15,-1,12,5
Gangwon FC,11,1,8,2,24,17,7,11,6
Gimcheon Sangmu,11,1,8,2,16,14,2,11,7
Daegu FC,11,1,7,3,16,18,-2,10,8
Suwon City FC,11,1,7,3,9,22,-13,10,9
FC Seoul,11,0,9,2,8,8,0,9,10
Suwon Bluewings,11,0,8,3,11,19,-8,8,11
Seongnam FC,11,0,0,11,11,13,-2,0,12
Jeonbuk FC,12,9,3,0,20,12,8,30,1
Ulsan Hyundai,12,8,4,0,17,15,2,28,2
Incheon United,12,1,11,0,17,17,0,14,3
Pohang Steelers,12,1,11,0,14,14,0,14,4
Jeju United,12,1,10,1,14,19,-5,13,5
Gangwon FC,12,1,9,2,25,19,6,12,6
Gimcheon Sangmu,12,1,9,2,16,15,1,12,7
Daegu FC,12,1,8,3,17,19,-2,11,8
Suwon City FC,12,1,8,3,10,22,-12,11,9
FC Seoul,12,0,10,2,9,9,0,10,10
Suwon Bluewings,12,0,8,4,12,21,-9,8,11
Seongnam FC,12,0,0,12,12,15,-3,0,12
Jeonbuk FC,13,9,4,0,22,13,9,31,1
Ulsan Hyundai,13,9,4,0,17,15,2,31,2
Pohang Steelers,13,2,11,0,15,15,0,17,3
Incheon United,13,1,12,0,17,17,0,15,4
Jeju United,13,1,11,1,15,19,-4,14,5
Gangwon FC,13,1,10,2,28,21,7,13,6
Gimcheon Sangmu,13,1,10,2,17,16,1,13,7
Daegu FC,13,1,9,3,18,19,-1,12,8
Suwon City FC,13,1,9,3,11,23,-12,12,9
Suwon Bluewings,13,1,8,4,12,22,-10,11,10
FC Seoul,13,0,11,2,11,10,1,11,11
Seongnam FC,13,0,0,13,12,16,-4,0,12
Ulsan Hyundai,14,10,4,0,18,15,3,34,1
Jeonbuk FC,14,9,5,0,22,16,6,32,2
Pohang Steelers,14,2,12,0,16,17,-1,18,3
Incheon United,14,1,13,0,18,20,-2,16,4
Jeju United,14,1,12,1,16,21,-5,15,5
Gangwon FC,14,1,11,2,31,23,8,14,6
Gimcheon Sangmu,14,1,10,3,19,16,3,13,7
Daegu FC,14,1,10,3,20,23,-3,13,8
Suwon City FC,14,1,10,3,11,24,-13,13,9
Suwon Bluewings,14,1,9,4,13,23,-10,12,10
FC Seoul,14,0,12,2,11,10,1,12,11
Seongnam FC,14,0,1,13,12,20,-8,1,12
Ulsan Hyundai,15,11,4,0,20,15,5,37,1
Jeonbuk FC,15,9,6,0,25,18,7,33,2
Pohang Steelers,15,2,13,0,16,17,-1,19,3
Incheon United,15,1,14,0,18,20,-2,17,4
Jeju United,15,1,13,1,19,22,-3,16,5
Gangwon FC,15,1,12,2,31,25,6,15,6
Gimcheon Sangmu,15,1,11,3,21,16,5,14,7
Daegu FC,15,1,11,3,20,23,-3,14,8
Suwon City FC,15,1,11,3,13,26,-13,14,9
Suwon Bluewings,15,1,10,4,13,23,-10,13,10
FC Seoul,15,0,12,3,12,11,1,12,11
Seongnam FC,15,0,1,14,13,22,-9,1,12
Ulsan Hyundai,16,11,5,0,21,15,6,38,1
Jeonbuk FC,16,9,7,0,27,19,8,34,2
Pohang Steelers,16,2,14,0,17,17,0,20,3
Gimcheon Sangmu,16,2,11,3,22,17,5,17,4
Incheon United,16,1,14,1,19,21,-2,17,5
Jeju United,16,1,13,2,21,22,-1,16,6
Gangwon FC,16,1,12,3,32,28,4,15,7
Daegu FC,16,1,11,4,20,25,-5,14,8
Suwon Bluewings,16,1,11,4,15,23,-8,14,9
Suwon City FC,16,1,11,4,13,27,-14,14,10
FC Seoul,16,0,13,3,12,12,0,13,11
Seongnam FC,16,0,2,14,14,22,-8,2,12
Ulsan Hyundai,17,12,5,0,23,16,7,41,1
Jeonbuk FC,17,10,7,0,29,19,10,37,2
Pohang Steelers,17,2,15,0,17,18,-1,21,3
Gimcheon Sangmu,17,2,12,3,24,17,7,18,4
Incheon United,17,1,15,1,20,22,-2,18,5
Jeju United,17,1,14,2,21,22,-1,17,6
Gangwon FC,17,1,13,3,33,30,3,16,7
FC Seoul,17,1,13,3,13,12,1,16,8
Daegu FC,17,1,12,4,22,26,-4,15,9
Suwon Bluewings,17,1,12,4,15,24,-9,15,10
Suwon City FC,17,1,12,4,15,30,-15,15,11
Seongnam FC,17,0,2,15,15,22,-7,2,12
Ulsan Hyundai,18,13,5,0,24,16,8,44,1
Jeonbuk FC,18,11,7,0,31,19,12,40,2
Pohang Steelers,18,3,15,0,21,18,3,24,3
Incheon United,18,2,15,1,21,23,-2,21,4
Jeju United,18,2,14,2,23,23,0,20,5
Gimcheon Sangmu,18,2,13,3,27,18,9,19,6
