Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
FAR de Rabat,1,1,0,0,3,1,2,3,1
SC Chabab Mohammedia,1,0,1,0,2,0,2,1,2
Renaissance de Berkane,1,0,1,0,1,0,1,1,3
Difaa Jadida,1,0,1,0,1,0,1,1,4
Maghrib de Fes,1,0,1,0,1,2,-1,1,5
FUS de Rabat,1,0,1,0,0,1,-1,1,6
Mouloudia Oujda,1,0,1,0,0,1,-1,1,7
Wydad AC,1,0,1,0,0,1,-1,1,8
Hassania US Agadir,1,0,1,0,0,1,-1,1,9
Olympique de Safi,1,0,1,0,0,1,-1,1,10
Raja Casablanca,1,0,1,0,1,3,-2,1,11
Union de Touarga,1,0,1,0,0,2,-2,1,12
Jeunesse Sportive Soualem,1,0,1,0,0,3,-3,1,13
Olympique de Khouribga,1,0,0,1,2,0,2,0,14
Ittihad Tanger,1,0,0,1,0,2,-2,0,15
Moghreb de Tetouan,1,0,0,1,1,5,-4,0,16
FAR de Rabat,2,1,1,0,4,1,3,4,1
Renaissance de Berkane,2,0,2,0,2,0,2,2,2
Raja Casablanca,2,0,2,0,3,3,0,2,3
FUS de Rabat,2,0,2,0,0,1,-1,2,4
Wydad AC,2,0,2,0,0,2,-2,2,5
Olympique de Safi,2,0,1,1,2,1,1,1,6
SC Chabab Mohammedia,2,0,1,1,3,3,0,1,7
Difaa Jadida,2,0,1,1,1,2,-1,1,8
Hassania US Agadir,2,0,1,1,1,2,-1,1,9
Union de Touarga,2,0,1,1,1,3,-2,1,10
Mouloudia Oujda,2,0,1,1,1,4,-3,1,11
Maghrib de Fes,2,0,1,1,1,4,-3,1,12
Jeunesse Sportive Soualem,2,0,1,1,0,4,-4,1,13
Olympique de Khouribga,2,0,0,2,3,0,3,0,14
Ittihad Tanger,2,0,0,2,1,2,-1,0,15
Moghreb de Tetouan,2,0,0,2,2,6,-4,0,16
FAR de Rabat,3,2,1,0,5,2,3,7,1
FUS de Rabat,3,1,2,0,3,2,1,5,2
Raja Casablanca,3,1,2,0,4,5,-1,5,3
Wydad AC,3,1,2,0,1,2,-1,5,4
Olympique de Safi,3,1,1,1,4,1,3,4,5
Renaissance de Berkane,3,0,3,0,2,1,1,3,6
Difaa Jadida,3,0,2,1,3,4,-1,2,7
Hassania US Agadir,3,0,2,1,3,4,-1,2,8
SC Chabab Mohammedia,3,0,2,1,3,6,-3,2,9
Union de Touarga,3,0,2,1,2,5,-3,2,10
Maghrib de Fes,3,0,2,1,2,6,-4,2,11
Mouloudia Oujda,3,0,2,1,1,5,-4,2,12
Jeunesse Sportive Soualem,3,0,2,1,1,5,-4,2,13
Moghreb de Tetouan,3,0,1,2,6,7,-1,1,14
Olympique de Khouribga,3,0,0,3,3,1,2,0,15
Ittihad Tanger,3,0,0,3,2,4,-2,0,16
FAR de Rabat,4,3,1,0,8,2,6,10,1
FUS de Rabat,4,2,2,0,5,2,3,8,2
Raja Casablanca,4,2,2,0,4,5,-1,8,3
Wydad AC,4,2,2,0,1,2,-1,8,4
Olympique de Safi,4,2,1,1,6,2,4,7,5
Renaissance de Berkane,4,1,3,0,4,1,3,6,6
Hassania US Agadir,4,0,3,1,4,5,-1,3,7
Jeunesse Sportive Soualem,4,0,3,1,4,6,-2,3,8
Union de Touarga,4,0,3,1,3,5,-2,3,9
Difaa Jadida,4,0,3,1,3,8,-5,3,10
Maghrib de Fes,4,0,3,1,3,9,-6,3,11
SC Chabab Mohammedia,4,0,3,1,3,9,-6,3,12
Moghreb de Tetouan,4,0,2,2,8,7,1,2,13
Mouloudia Oujda,4,0,2,2,3,7,-4,2,14
Olympique de Khouribga,4,0,0,4,3,2,1,0,15
Ittihad Tanger,4,0,0,4,2,6,-4,0,16
FAR de Rabat,5,4,1,0,13,2,11,13,1
FUS de Rabat,5,3,2,0,5,3,2,11,2
Raja Casablanca,5,3,2,0,5,5,0,11,3
Wydad AC,5,3,2,0,2,2,0,11,4
Olympique de Safi,5,3,1,1,10,2,8,10,5
Renaissance de Berkane,5,1,4,0,6,2,4,7,6
Jeunesse Sportive Soualem,5,1,3,1,5,6,-1,6,7
Union de Touarga,5,1,3,1,5,6,-1,6,8
Hassania US Agadir,5,1,3,1,4,5,-1,6,9
Maghrib de Fes,5,1,3,1,5,9,-4,6,10
SC Chabab Mohammedia,5,1,3,1,3,9,-6,6,11
Moghreb de Tetouan,5,1,2,2,11,7,4,5,12
Mouloudia Oujda,5,0,3,2,5,9,-4,3,13
Difaa Jadida,5,0,3,2,3,9,-6,3,14
Olympique de Khouribga,5,0,1,4,4,2,2,1,15
Ittihad Tanger,5,0,0,5,3,9,-6,0,16
FAR de Rabat,6,5,1,0,18,2,16,16,1
FUS de Rabat,6,4,2,0,7,3,4,14,2
Raja Casablanca,6,3,3,0,6,5,1,12,3
Wydad AC,6,3,3,0,2,2,0,12,4
Olympique de Safi,6,3,2,1,11,4,7,11,5
Renaissance de Berkane,6,2,4,0,6,4,2,10,6
Jeunesse Sportive Soualem,6,1,4,1,7,6,1,7,7
Union de Touarga,6,1,4,1,5,7,-2,7,8
Hassania US Agadir,6,1,4,1,4,6,-2,7,9
Maghrib de Fes,6,1,4,1,6,9,-3,7,10
SC Chabab Mohammedia,6,1,4,1,4,9,-5,7,11
Mouloudia Oujda,6,1,3,2,7,10,-3,6,12
Moghreb de Tetouan,6,1,2,3,12,9,3,5,13
Difaa Jadida,6,0,4,2,3,11,-8,4,14
Olympique de Khouribga,6,0,1,5,6,4,2,1,15
Ittihad Tanger,6,0,0,6,4,13,-9,0,16
FAR de Rabat,7,6,1,0,19,2,17,19,1
FUS de Rabat,7,5,2,0,7,4,3,17,2
Raja Casablanca,7,4,3,0,6,5,1,15,3
Wydad AC,7,4,3,0,2,3,-1,15,4
Olympique de Safi,7,4,2,1,12,4,8,14,5
Renaissance de Berkane,7,2,5,0,9,5,4,11,6
Jeunesse Sportive Soualem,7,2,4,1,12,6,6,10,7
Union de Touarga,7,1,5,1,6,7,-1,8,8
Hassania US Agadir,7,1,5,1,4,6,-2,8,9
Maghrib de Fes,7,1,5,1,6,11,-5,8,10
SC Chabab Mohammedia,7,1,5,1,4,10,-6,8,11
Mouloudia Oujda,7,1,4,2,9,11,-2,7,12
Difaa Jadida,7,1,4,2,5,11,-6,7,13
Moghreb de Tetouan,7,1,3,3,14,9,5,6,14
Olympique de Khouribga,7,0,1,6,6,4,2,1,15
Ittihad Tanger,7,0,0,7,4,17,-13,0,16
FAR de Rabat,8,6,2,0,20,4,16,20,1
FUS de Rabat,8,5,3,0,7,6,1,18,2
Raja Casablanca,8,4,4,0,8,5,3,16,3
Wydad AC,8,4,4,0,4,3,1,16,4
Olympique de Safi,8,4,3,1,15,5,10,15,5
Renaissance de Berkane,8,2,6,0,10,5,5,12,6
Jeunesse Sportive Soualem,8,2,4,2,12,7,5,10,7
Mouloudia Oujda,8,2,4,2,10,11,-1,10,8
Union de Touarga,8,1,6,1,6,7,-1,9,9
Maghrib de Fes,8,1,6,1,7,12,-5,9,10
Hassania US Agadir,8,1,5,2,4,6,-2,8,11
Difaa Jadida,8,1,5,2,8,12,-4,8,12
SC Chabab Mohammedia,8,1,5,2,5,13,-8,8,13
Moghreb de Tetouan,8,1,3,4,18,11,7,6,14
Olympique de Khouribga,8,0,1,7,6,5,1,1,15
Ittihad Tanger,8,0,0,8,4,18,-14,0,16
FAR de Rabat,9,6,3,0,20,4,16,21,1
FUS de Rabat,9,5,4,0,8,6,2,19,2
Raja Casablanca,9,4,5,0,9,6,3,17,3
Wydad AC,9,4,5,0,4,3,1,17,4
Olympique de Safi,9,4,4,1,15,7,8,16,5
Renaissance de Berkane,9,2,6,1,11,8,3,12,6
Difaa Jadida,9,2,5,2,9,12,-3,11,7
Jeunesse Sportive Soualem,9,2,4,3,12,7,5,10,8
Mouloudia Oujda,9,2,4,3,12,12,0,10,9
Union de Touarga,9,1,7,1,6,7,-1,10,10
Maghrib de Fes,9,1,7,1,9,12,-3,10,11
Hassania US Agadir,9,1,5,3,4,7,-3,8,12
SC Chabab Mohammedia,9,1,5,3,5,14,-9,8,13
Moghreb de Tetouan,9,1,3,5,18,12,6,6,14
Olympique de Khouribga,9,0,2,7,7,6,1,2,15
Ittihad Tanger,9,0,0,9,4,20,-16,0,16
FAR de Rabat,10,7,3,0,21,4,17,24,1
Raja Casablanca,10,5,5,0,9,6,3,20,2
FUS de Rabat,10,5,5,0,8,7,1,20,3
Wydad AC,10,4,6,0,5,4,1,18,4
Olympique de Safi,10,4,4,2,16,10,6,16,5
Renaissance de Berkane,10,2,7,1,11,10,1,13,6
Maghrib de Fes,10,2,7,1,11,12,-1,13,7
Difaa Jadida,10,2,5,3,9,12,-3,11,8
Jeunesse Sportive Soualem,10,2,4,4,12,9,3,10,9
Mouloudia Oujda,10,2,4,4,12,13,-1,10,10
Union de Touarga,10,1,7,2,7,8,-1,10,11
Hassania US Agadir,10,1,5,4,5,10,-5,8,12
SC Chabab Mohammedia,10,1,5,4,5,15,-10,8,13
Moghreb de Tetouan,10,1,3,6,19,13,6,6,14
Olympique de Khouribga,10,0,3,7,7,6,1,3,15
Ittihad Tanger,10,0,1,9,4,21,-17,1,16
FAR de Rabat,11,7,4,0,23,4,19,25,1
Raja Casablanca,11,6,5,0,12,6,6,23,2
FUS de Rabat,11,6,5,0,11,8,3,23,3
Wydad AC,11,5,6,0,7,5,2,21,4
Olympique de Safi,11,5,4,2,18,10,8,19,5
Maghrib de Fes,11,3,7,1,13,14,-1,16,6
Renaissance de Berkane,11,2,8,1,14,10,4,14,7
Jeunesse Sportive Soualem,11,2,5,4,14,11,3,11,8
Difaa Jadida,11,2,5,4,9,12,-3,11,9
Union de Touarga,11,1,8,2,8,8,0,11,10
Mouloudia Oujda,11,2,4,5,13,14,-1,10,11
Hassania US Agadir,11,1,6,4,7,10,-3,9,12
SC Chabab Mohammedia,11,1,6,4,7,15,-8,9,13
Moghreb de Tetouan,11,1,4,6,19,16,3,7,14
Olympique de Khouribga,11,0,4,7,8,6,2,4,15
Ittihad Tanger,11,0,1,10,4,22,-18,1,16
FAR de Rabat,12,8,4,0,26,5,21,28,1
Raja Casablanca,12,7,5,0,14,6,8,26,2
FUS de Rabat,12,7,5,0,12,8,4,26,3
Wydad AC,12,6,6,0,8,5,3,24,4
Olympique de Safi,12,5,5,2,19,11,8,20,5
Renaissance de Berkane,12,3,8,1,19,11,8,17,6
Maghrib de Fes,12,3,8,1,13,15,-2,17,7
Jeunesse Sportive Soualem,12,2,6,4,15,11,4,12,8
Union de Touarga,12,1,9,2,9,8,1,12,9
Mouloudia Oujda,12,2,5,5,16,14,2,11,10
Difaa Jadida,12,2,5,5,9,15,-6,11,11
Hassania US Agadir,12,1,7,4,8,12,-4,10,12
SC Chabab Mohammedia,12,1,6,5,7,17,-10,9,13
Moghreb de Tetouan,12,1,4,7,22,19,3,7,14
Olympique de Khouribga,12,0,4,8,8,6,2,4,15
Ittihad Tanger,12,0,1,11,4,23,-19,1,16
FAR de Rabat,13,9,4,0,28,5,23,31,1
FUS de Rabat,13,8,5,0,13,9,4,29,2
Raja Casablanca,13,7,6,0,16,6,10,27,3
Wydad AC,13,7,6,0,11,5,6,27,4
Olympique de Safi,13,6,5,2,21,11,10,23,5
Renaissance de Berkane,13,3,9,1,21,11,10,18,6
Maghrib de Fes,13,3,9,1,13,15,-2,18,7
Union de Touarga,13,1,10,2,10,10,0,13,8
Jeunesse Sportive Soualem,13,2,6,5,16,11,5,12,9
Mouloudia Oujda,13,2,6,5,17,15,2,12,10
Difaa Jadida,13,2,6,5,12,15,-3,12,11
Hassania US Agadir,13,1,8,4,8,14,-6,11,12
SC Chabab Mohammedia,13,1,7,5,7,18,-11,10,13
Moghreb de Tetouan,13,1,5,7,23,21,2,8,14
