Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Benfica,1,1,0,0,4,1,3,3,1
Porto,1,0,1,0,0,3,-3,1,2
Santa Clara,1,0,0,1,2,0,2,0,3
Sporting Braga,1,0,0,1,2,2,0,0,4
Estoril,1,0,0,1,0,1,-1,0,5
Chaves,1,0,0,1,0,1,-1,0,6
Famalicao,1,0,0,1,0,1,-1,0,7
Guimaraes,1,0,0,1,1,3,-2,0,8
Portimonense,1,0,0,1,0,2,-2,0,9
Casa Pia AC,1,0,0,1,0,2,-2,0,10
Rio Ave,1,0,0,1,1,4,-3,0,11
Boavista,1,0,0,1,1,4,-3,0,12
Gil Vicente,1,0,0,1,1,5,-4,0,13
Sporting Lisbon,1,0,0,1,1,5,-4,0,14
Vizela,1,0,0,1,0,4,-4,0,15
Maritimo,1,0,0,1,0,6,-6,0,16
Arouca,1,0,0,1,0,6,-6,0,17
Pacos Ferreira,1,0,0,1,1,8,-7,0,18
Benfica,2,2,0,0,5,1,4,6,1
Porto,2,1,1,0,2,4,-2,4,2
Sporting Braga,2,1,0,1,3,3,0,3,3
Sporting Lisbon,2,1,0,1,3,6,-3,3,4
Chaves,2,0,1,1,2,1,1,1,5
Guimaraes,2,0,1,1,2,3,-1,1,6
Vizela,2,0,1,1,2,4,-2,1,7
Famalicao,2,0,1,1,0,2,-2,1,8
Estoril,2,0,1,1,0,3,-3,1,9
Casa Pia AC,2,0,1,1,0,5,-5,1,10
Arouca,2,0,1,1,3,9,-6,1,11
Santa Clara,2,0,0,2,3,1,2,0,12
Boavista,2,0,0,2,2,6,-4,0,13
Rio Ave,2,0,0,2,2,7,-5,0,14
Portimonense,2,0,0,2,0,5,-5,0,15
Gil Vicente,2,0,0,2,2,8,-6,0,16
Pacos Ferreira,2,0,0,2,2,8,-6,0,17
Maritimo,2,0,0,2,0,7,-7,0,18
Benfica,3,2,1,0,8,1,7,7,1
Porto,3,2,1,0,5,4,1,7,2
Sporting Braga,3,2,0,1,6,4,2,6,3
Sporting Lisbon,3,2,0,1,4,7,-3,6,4
Chaves,3,0,2,1,3,1,2,2,5
Vizela,3,0,2,1,4,5,-1,2,6
Famalicao,3,0,2,1,1,2,-1,2,7
Guimaraes,3,0,2,1,2,5,-3,2,8
Casa Pia AC,3,0,2,1,1,7,-6,2,9
Arouca,3,0,2,1,3,10,-7,2,10
Rio Ave,3,0,1,2,4,7,-3,1,11
Estoril,3,0,1,2,4,8,-4,1,12
Gil Vicente,3,0,1,2,3,8,-5,1,13
Boavista,3,0,1,2,4,10,-6,1,14
Portimonense,3,0,1,2,0,7,-7,1,15
Santa Clara,3,0,0,3,5,1,4,0,16
Maritimo,3,0,0,3,0,7,-7,0,17
Pacos Ferreira,3,0,0,3,3,14,-11,0,18
Benfica,4,3,1,0,8,3,5,10,1
Porto,4,2,2,0,5,4,1,8,2
Sporting Braga,4,2,0,2,6,5,1,6,3
Sporting Lisbon,4,2,0,2,5,8,-3,6,4
Chaves,4,0,2,2,3,4,-1,2,5
Estoril,4,0,2,2,7,10,-3,2,6
Vizela,4,0,2,2,4,7,-3,2,7
Famalicao,4,0,2,2,1,4,-3,2,8
Guimaraes,4,0,2,2,2,6,-4,2,9
Arouca,4,0,2,2,4,11,-7,2,10
Casa Pia AC,4,0,2,2,2,9,-7,2,11
Rio Ave,4,0,1,3,5,9,-4,1,12
Gil Vicente,4,0,1,3,4,10,-6,1,13
Portimonense,4,0,1,3,0,9,-9,1,14
Boavista,4,0,1,3,5,15,-10,1,15
Santa Clara,4,0,0,4,5,6,-1,0,16
Maritimo,4,0,0,4,0,9,-9,0,17
Pacos Ferreira,4,0,0,4,3,18,-15,0,18
Benfica,5,4,1,0,10,5,5,13,1
Porto,5,3,2,0,9,4,5,11,2
Sporting Braga,5,3,0,2,10,6,4,9,3
Sporting Lisbon,5,3,0,2,5,8,-3,9,4
Rio Ave,5,1,1,3,6,10,-4,4,5
Vizela,5,0,3,2,7,7,0,3,6
Chaves,5,0,3,2,4,4,0,3,7
Guimaraes,5,0,3,2,5,6,-1,3,8
Famalicao,5,0,3,2,3,6,-3,3,9
Casa Pia AC,5,0,3,2,3,9,-6,3,10
Arouca,5,0,3,2,5,12,-7,3,11
Estoril,5,0,2,3,7,13,-6,2,12
Gil Vicente,5,0,2,3,4,11,-7,2,13
Boavista,5,0,2,3,5,15,-10,2,14
Portimonense,5,0,2,3,0,10,-10,2,15
Santa Clara,5,0,0,5,5,10,-5,0,16
Maritimo,5,0,0,5,0,10,-10,0,17
Pacos Ferreira,5,0,0,5,4,20,-16,0,18
Benfica,6,5,1,0,12,5,7,16,1
Porto,6,4,2,0,11,6,5,14,2
Sporting Braga,6,3,1,2,12,8,4,10,3
Sporting Lisbon,6,3,0,3,5,8,-3,9,4
Estoril,6,1,2,3,7,15,-8,5,5
Rio Ave,6,1,1,4,7,11,-4,4,6
Chaves,6,0,3,3,5,4,1,3,7
Vizela,6,0,3,3,8,12,-4,3,8
Guimaraes,6,0,3,3,5,9,-4,3,9
Famalicao,6,0,3,3,3,8,-5,3,10
Casa Pia AC,6,0,3,3,5,12,-7,3,11
Arouca,6,0,3,3,6,21,-15,3,12
Boavista,6,0,2,4,6,17,-11,2,13
Gil Vicente,6,0,2,4,4,15,-11,2,14
Portimonense,6,0,2,4,0,12,-12,2,15
Santa Clara,6,0,1,5,6,11,-5,1,16
Maritimo,6,0,0,6,0,15,-15,0,17
Pacos Ferreira,6,0,0,6,4,23,-19,0,18
Benfica,7,6,1,0,13,5,8,19,1
Porto,7,5,2,0,16,6,10,17,2
Sporting Braga,7,4,1,2,12,8,4,13,3
Sporting Lisbon,7,4,0,3,6,8,-2,12,4
Rio Ave,7,2,1,4,10,11,-1,7,5
Estoril,7,1,2,4,8,18,-10,5,6
Chaves,7,0,4,3,7,6,1,4,7
Vizela,7,0,4,3,11,13,-2,4,8
Famalicao,7,0,4,3,6,9,-3,4,9
Guimaraes,7,0,4,3,6,9,-3,4,10
Casa Pia AC,7,0,4,3,5,13,-8,4,11
Arouca,7,0,4,3,10,21,-11,4,12
Boavista,7,0,3,4,7,19,-12,3,13
Gil Vicente,7,0,3,4,5,17,-12,3,14
Santa Clara,7,0,2,5,7,11,-4,2,15
Portimonense,7,0,2,5,0,15,-15,2,16
Maritimo,7,0,0,7,0,15,-15,0,17
Pacos Ferreira,7,0,0,7,5,23,-18,0,18
Benfica,8,7,1,0,18,6,12,22,1
Porto,8,6,2,0,17,6,11,20,2
Sporting Braga,8,5,1,2,14,8,6,16,3
Sporting Lisbon,8,5,0,3,6,8,-2,15,4
Rio Ave,8,2,2,4,10,13,-3,8,5
Estoril,8,1,3,4,10,18,-8,6,6
Vizela,8,0,5,3,11,13,-2,5,7
Famalicao,8,0,5,3,6,10,-4,5,8
Guimaraes,8,0,5,3,6,11,-5,5,9
Casa Pia AC,8,0,5,3,5,13,-8,5,10
Arouca,8,0,5,3,10,23,-13,5,11
Chaves,8,0,4,4,7,8,-1,4,12
Boavista,8,0,3,5,7,20,-13,3,13
Portimonense,8,0,3,5,2,16,-14,3,14
Gil Vicente,8,0,3,5,5,20,-15,3,15
Santa Clara,8,0,2,6,8,13,-5,2,16
Maritimo,8,0,0,8,0,15,-15,0,17
Pacos Ferreira,8,0,0,8,5,24,-19,0,18
Benfica,9,8,1,0,19,6,13,25,1
Porto,9,7,2,0,19,6,13,23,2
Sporting Lisbon,9,6,0,3,6,8,-2,18,3
Sporting Braga,9,5,2,2,15,9,6,17,4
Rio Ave,9,3,2,4,13,14,-1,11,5
Estoril,9,1,4,4,10,19,-9,7,6
Vizela,9,0,6,3,12,14,-2,6,7
Famalicao,9,0,6,3,6,10,-4,6,8
Guimaraes,9,0,6,3,6,12,-6,6,9
Casa Pia AC,9,0,6,3,5,14,-9,6,10
Arouca,9,0,6,3,10,25,-15,6,11
Chaves,9,0,5,4,7,8,-1,5,12
Boavista,9,0,4,5,8,21,-13,4,13
Portimonense,9,0,4,5,2,18,-16,4,14
Gil Vicente,9,0,3,6,6,25,-19,3,15
Santa Clara,9,0,2,7,9,17,-8,2,16
Maritimo,9,0,0,9,0,18,-18,0,17
Pacos Ferreira,9,0,0,9,5,25,-20,0,18
Benfica,10,9,1,0,21,6,15,28,1
