Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
FC Neftekhimik,1,1,0,0,0,0,0,3,1
Arsenal Tula,1,0,1,0,2,0,2,1,2
Enisey Krasnoyarsk,1,0,1,0,2,0,2,1,3
FC Volgar Astrakhan,1,0,1,0,0,0,0,1,4
Shinnik Yaroslavl,1,0,1,0,0,0,0,1,5
Rodina Moskva,1,0,1,0,0,0,0,1,6
Akron,1,0,1,0,0,0,0,1,7
Baltika Kaliningrad,1,0,1,0,0,0,0,1,8
Anzhi Makhachkala,1,0,1,0,0,0,0,1,9
Alania Vladikavkaz,1,0,1,0,0,1,-1,1,10
FK Kamaz,1,0,1,0,0,1,-1,1,11
SKA-Energia Khabarovsk,1,0,1,0,0,1,-1,1,12
Rubin Kazan,1,0,1,0,1,3,-2,1,13
Kuban Krasnodar,1,0,1,0,0,3,-3,1,14
Volga Ulyanovsk,1,0,0,1,0,0,0,0,15
FK Krasnodar 2,1,0,0,1,0,0,0,0,16
Velves,1,0,0,1,1,2,-1,0,17
FC Ufa,1,0,0,1,0,1,-1,0,18
FC Neftekhimik,2,2,0,0,2,1,1,6,1
Enisey Krasnoyarsk,2,1,1,0,3,0,3,4,2
Baltika Kaliningrad,2,1,1,0,2,1,1,4,3
Rubin Kazan,2,1,1,0,5,5,0,4,4
SKA-Energia Khabarovsk,2,1,1,0,4,4,0,4,5
Arsenal Tula,2,1,1,0,3,3,0,4,6
FC Volgar Astrakhan,2,1,1,0,0,0,0,4,7
FK Kamaz,2,1,1,0,0,1,-1,4,8
Shinnik Yaroslavl,2,1,1,0,0,2,-2,4,9
Alania Vladikavkaz,2,1,1,0,0,4,-4,4,10
Akron,2,0,2,0,2,1,1,2,11
Rodina Moskva,2,0,2,0,1,0,1,2,12
Anzhi Makhachkala,2,0,2,0,1,2,-1,2,13
Kuban Krasnodar,2,0,2,0,0,3,-3,2,14
Volga Ulyanovsk,2,0,1,1,3,0,3,1,15
FC Ufa,2,0,1,1,2,1,1,1,16
Velves,2,0,1,1,1,3,-2,1,17
FK Krasnodar 2,2,0,1,1,0,3,-3,1,18
Enisey Krasnoyarsk,3,2,1,0,6,1,5,7,1
FK Kamaz,3,2,1,0,3,1,2,7,2
