Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Ayr United,1,1,0,0,3,2,1,3,1
FC Dundee,1,0,1,0,2,1,1,1,2
Queens Park,1,0,1,0,0,2,-2,1,3
Hamilton Academical,1,0,0,1,2,1,1,0,4
Raith Rovers,1,0,0,1,2,2,0,0,5
Partick Thistle,1,0,0,1,0,0,0,0,6
Cove Rangers,1,0,0,1,2,3,-1,0,7
Inverness CT,1,0,0,1,2,3,-1,0,8
Greenock Morton,1,0,0,1,0,2,-2,0,9
Arbroath,1,0,0,1,0,3,-3,0,10
Ayr United,2,1,1,0,4,4,0,4,1
Queens Park,2,1,1,0,2,2,0,4,2
FC Dundee,2,1,1,0,2,4,-2,4,3
Inverness CT,2,0,1,1,5,4,1,1,4
Partick Thistle,2,0,1,1,1,1,0,1,5
Raith Rovers,2,0,1,1,3,5,-2,1,6
Greenock Morton,2,0,1,1,1,3,-2,1,7
Arbroath,2,0,1,1,1,4,-3,1,8
Hamilton Academical,2,0,0,2,2,2,0,0,9
Cove Rangers,2,0,0,2,5,8,-3,0,10
Ayr United,3,2,1,0,5,6,-1,7,1
Queens Park,3,1,2,0,5,3,2,5,2
FC Dundee,3,1,2,0,4,6,-2,5,3
Greenock Morton,3,0,1,2,1,3,-2,1,4
Inverness CT,3,0,1,2,6,9,-3,1,5
Raith Rovers,3,0,1,2,4,7,-3,1,6
Partick Thistle,3,0,1,2,2,5,-3,1,7
Arbroath,3,0,1,2,1,5,-4,1,8
Cove Rangers,3,0,0,3,8,8,0,0,9
Hamilton Academical,3,0,0,3,3,6,-3,0,10
Ayr United,4,3,1,0,8,8,0,10,1
Queens Park,4,2,2,0,7,3,4,8,2
FC Dundee,4,2,2,0,5,7,-2,8,3
Greenock Morton,4,1,1,2,2,3,-1,4,4
Inverness CT,4,1,1,2,6,9,-3,4,5
Partick Thistle,4,1,1,2,2,5,-3,4,6
Cove Rangers,4,1,0,3,9,8,1,3,7
Arbroath,4,0,2,2,1,5,-4,2,8
Raith Rovers,4,0,2,2,4,9,-5,2,9
Hamilton Academical,4,0,0,4,3,10,-7,0,10
Ayr United,5,3,2,0,10,8,2,11,1
FC Dundee,5,3,2,0,9,8,1,11,2
Queens Park,5,2,3,0,8,5,3,9,3
Inverness CT,5,1,2,2,10,11,-1,5,4
Greenock Morton,5,1,2,2,4,5,-1,5,5
Partick Thistle,5,1,2,2,4,5,-1,5,6
Cove Rangers,5,1,1,3,10,11,-1,4,7
Raith Rovers,5,0,3,2,5,10,-5,3,8
Arbroath,5,0,2,3,1,6,-5,2,9
Hamilton Academical,5,0,1,4,4,11,-7,1,10
FC Dundee,6,4,2,0,14,9,5,14,1
Ayr United,6,4,2,0,13,8,5,14,2
Queens Park,6,3,3,0,12,5,7,12,3
Inverness CT,6,2,2,2,14,12,2,8,4
Partick Thistle,6,1,2,3,6,8,-2,5,5
Greenock Morton,6,1,2,3,4,7,-3,5,6
Cove Rangers,6,1,1,4,10,13,-3,4,7
Raith Rovers,6,0,3,3,6,12,-6,3,8
Arbroath,6,0,2,4,2,10,-8,2,9
Hamilton Academical,6,0,1,5,5,11,-6,1,10
Ayr United,7,5,2,0,15,8,7,17,1
Queens Park,7,4,3,0,12,7,5,15,2
FC Dundee,7,4,3,0,15,12,3,15,3
Inverness CT,7,2,3,2,14,14,0,9,4
Partick Thistle,7,1,3,3,8,9,-1,6,5
Greenock Morton,7,1,3,3,6,9,-3,6,6
Cove Rangers,7,1,2,4,11,14,-3,5,7
Raith Rovers,7,0,4,3,11,12,-1,4,8
Arbroath,7,0,2,5,2,12,-10,2,9
Hamilton Academical,7,0,1,6,5,11,-6,1,10
Ayr United,8,6,2,0,15,8,7,20,1
FC Dundee,8,5,3,0,16,12,4,18,2
Queens Park,8,4,4,0,14,7,7,16,3
Inverness CT,8,3,3,2,14,14,0,12,4
Greenock Morton,8,1,4,3,8,10,-2,7,5
Cove Rangers,8,1,3,4,12,15,-3,6,6
Partick Thistle,8,1,3,4,9,12,-3,6,7
Raith Rovers,8,0,4,4,11,13,-2,4,8
Arbroath,8,0,3,5,3,15,-12,3,9
Hamilton Academical,8,0,1,7,5,13,-8,1,10
Ayr United,9,7,2,0,17,10,7,23,1
FC Dundee,9,6,3,0,16,12,4,21,2
Queens Park,9,5,4,0,19,8,11,19,3
Inverness CT,9,3,4,2,16,15,1,13,4
Greenock Morton,9,2,4,3,10,10,0,10,5
Cove Rangers,9,1,4,4,13,16,-3,7,6
Partick Thistle,9,1,4,4,9,12,-3,7,7
Raith Rovers,9,0,4,5,13,16,-3,4,8
Arbroath,9,0,3,6,5,17,-12,3,9
Hamilton Academical,9,0,2,7,5,13,-8,2,10
Ayr United,10,8,2,0,22,13,9,26,1
FC Dundee,10,7,3,0,20,13,7,24,2
Queens Park,10,6,4,0,22,8,14,22,3
Inverness CT,10,4,4,2,17,15,2,16,4
