Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Esperance Tunis,1,1,0,0,3,0,3,3,1
ES Metlaoui,1,1,0,0,2,0,2,3,2
US Ben Guerdane,1,1,0,0,1,1,0,3,3
Stade Tunisien,1,1,0,0,0,0,0,3,4
ES Sahel,1,1,0,0,0,0,0,3,5
US Tataouine,1,1,0,0,0,0,0,3,6
CA Bizertin,1,1,0,0,0,0,0,3,7
US Monastir,1,1,0,0,0,0,0,3,8
Club Africain,1,1,0,0,0,0,0,3,9
Olympique Beja,1,1,0,0,1,2,-1,3,10
Club Sportif Sfaxien,1,0,1,0,2,1,1,1,11
Chebba,1,0,1,0,1,0,1,1,12
ES Hammam Sousse,1,0,1,0,0,0,0,1,13
EO Sidi Bouzid,1,0,1,0,0,1,-1,1,14
Soliman,1,0,1,0,0,2,-2,1,15
Rejiche,1,0,0,1,1,1,0,0,16
US Ben Guerdane,2,2,0,0,3,1,2,6,1
ES Sahel,2,1,1,0,3,0,3,4,2
Esperance Tunis,2,1,1,0,4,2,2,4,3
Club Africain,2,1,1,0,1,0,1,4,4
US Monastir,2,1,1,0,0,0,0,4,5
Olympique Beja,2,1,1,0,2,3,-1,4,6
US Tataouine,2,1,1,0,0,2,-2,4,7
Stade Tunisien,2,1,0,1,1,0,1,3,8
CA Bizertin,2,1,0,1,1,0,1,3,9
ES Metlaoui,2,1,0,1,2,2,0,3,10
Club Sportif Sfaxien,2,0,2,0,3,1,2,2,11
Chebba,2,0,1,1,1,0,1,1,12
ES Hammam Sousse,2,0,1,1,0,3,-3,1,13
EO Sidi Bouzid,2,0,1,1,0,3,-3,1,14
Soliman,2,0,1,1,0,3,-3,1,15
Rejiche,2,0,0,2,1,1,0,0,16
US Ben Guerdane,3,3,0,0,3,2,1,9,1
Esperance Tunis,3,2,1,0,6,4,2,7,2
ES Sahel,3,2,1,0,3,1,2,7,3
US Monastir,3,2,1,0,2,1,1,7,4
Stade Tunisien,3,2,0,1,2,0,2,6,5
Club Africain,3,1,2,0,2,1,1,5,6
Olympique Beja,3,1,2,0,3,4,-1,5,7
US Tataouine,3,1,2,0,1,4,-3,5,8
CA Bizertin,3,1,1,1,2,2,0,4,9
ES Metlaoui,3,1,0,2,4,3,1,3,10
Club Sportif Sfaxien,3,0,3,0,3,1,2,3,11
EO Sidi Bouzid,3,0,1,2,2,3,-1,1,12
Chebba,3,0,1,2,1,2,-1,1,13
ES Hammam Sousse,3,0,1,2,1,4,-3,1,14
Soliman,3,0,1,2,0,3,-3,1,15
Rejiche,3,0,0,3,1,1,0,0,16
ES Sahel,4,3,1,0,6,2,4,10,1
US Ben Guerdane,4,3,1,0,3,5,-2,10,2
US Monastir,4,2,2,0,3,1,2,8,3
Esperance Tunis,4,2,2,0,6,5,1,8,4
Stade Tunisien,4,2,1,1,2,0,2,7,5
Club Africain,4,1,2,1,2,1,1,5,6
Olympique Beja,4,1,2,1,3,5,-2,5,7
US Tataouine,4,1,2,1,1,5,-4,5,8
CA Bizertin,4,1,1,2,2,5,-3,4,9
ES Metlaoui,4,1,0,3,4,4,0,3,10
Club Sportif Sfaxien,4,0,3,1,3,5,-2,3,11
Rejiche,4,0,1,3,1,2,-1,1,12
