Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Mamelodi Sundowns,1,1,0,0,0,0,0,3,1
Cape Town City FC,1,1,0,0,0,1,-1,3,2
Bloemfontein Celtic,1,0,1,0,3,0,3,1,3
SuperSport United,1,0,1,0,2,1,1,1,4
AmaZulu,1,0,1,0,1,0,1,1,5
Stellenbosch,1,0,1,0,2,2,0,1,6
Tim Sukazi Galaxy,1,0,1,0,1,1,0,1,7
Richards Bay FC,1,0,1,0,1,1,0,1,8
Tshakhuma Tsha Madzivhandila,1,0,1,0,1,2,-1,1,9
Chippa United,1,0,1,0,1,2,-1,1,10
Sekhukhune United,1,0,1,0,0,1,-1,1,11
Orlando Pirates,1,0,1,0,0,2,-2,1,12
Moroka Swallows,1,0,1,0,0,3,-3,1,13
Kaizer Chiefs,1,0,1,0,0,3,-3,1,14
Golden Arrows,1,0,0,1,1,0,1,0,15
Maritzburg United,1,0,0,1,0,2,-2,0,16
Mamelodi Sundowns,2,2,0,0,1,0,1,6,1
SuperSport United,2,1,1,0,4,3,1,4,2
Cape Town City FC,2,1,1,0,2,2,0,4,3
Stellenbosch,2,0,2,0,6,2,4,2,4
Bloemfontein Celtic,2,0,2,0,4,2,2,2,5
AmaZulu,2,0,2,0,3,1,2,2,6
Moroka Swallows,2,0,2,0,4,4,0,2,7
Chippa United,2,0,2,0,4,4,0,2,8
Tshakhuma Tsha Madzivhandila,2,0,2,0,2,3,-1,2,9
Tim Sukazi Galaxy,2,0,2,0,1,2,-1,2,10
Sekhukhune United,2,0,2,0,0,1,-1,2,11
Orlando Pirates,2,0,2,0,1,3,-2,2,12
Richards Bay FC,2,0,2,0,1,4,-3,2,13
Kaizer Chiefs,2,0,2,0,1,5,-4,2,14
Golden Arrows,2,0,1,1,3,0,3,1,15
Maritzburg United,2,0,0,2,0,5,-5,0,16
Mamelodi Sundowns,3,3,0,0,3,1,2,9,1
Cape Town City FC,3,1,2,0,4,2,2,5,2
SuperSport United,3,1,2,0,5,4,1,5,3
Stellenbosch,3,0,3,0,7,5,2,3,4
Bloemfontein Celtic,3,0,3,0,4,2,2,3,5
AmaZulu,3,0,3,0,4,2,2,3,6
Moroka Swallows,3,0,3,0,5,4,1,3,7
Tim Sukazi Galaxy,3,0,3,0,2,2,0,3,8
Chippa United,3,0,3,0,4,5,-1,3,9
Sekhukhune United,3,0,3,0,0,1,-1,3,10
Orlando Pirates,3,0,3,0,1,3,-2,3,11
Tshakhuma Tsha Madzivhandila,3,0,3,0,3,6,-3,3,12
Kaizer Chiefs,3,0,3,0,2,5,-3,3,13
Richards Bay FC,3,0,3,0,1,4,-3,3,14
Golden Arrows,3,0,2,1,4,1,3,2,15
Maritzburg United,3,0,1,2,0,6,-6,1,16
Mamelodi Sundowns,4,4,0,0,3,1,2,12,1
SuperSport United,4,1,3,0,5,5,0,6,2
Cape Town City FC,4,1,3,0,4,5,-1,6,3
Orlando Pirates,4,1,3,0,1,4,-3,6,4
AmaZulu,4,0,4,0,4,2,2,4,5
Tshakhuma Tsha Madzivhandila,4,0,4,0,6,6,0,4,6
Tim Sukazi Galaxy,4,0,4,0,2,2,0,4,7
Sekhukhune United,4,0,4,0,0,2,-2,4,8
Kaizer Chiefs,4,0,4,0,2,5,-3,4,9
Richards Bay FC,4,0,4,0,1,4,-3,4,10
Golden Arrows,4,0,3,1,5,2,3,3,11
Moroka Swallows,4,0,3,1,6,4,2,3,12
Stellenbosch,4,0,3,1,7,6,1,3,13
Bloemfontein Celtic,4,0,3,1,4,3,1,3,14
Chippa United,4,0,3,1,4,7,-3,3,15
Maritzburg United,4,0,1,3,1,8,-7,1,16
Mamelodi Sundowns,5,5,0,0,6,2,4,15,1
Cape Town City FC,5,2,3,0,6,5,1,9,2
Orlando Pirates,5,2,3,0,3,4,-1,9,3
SuperSport United,5,1,4,0,6,5,1,7,4
AmaZulu,5,0,5,0,5,3,2,5,5
Tshakhuma Tsha Madzivhandila,5,0,5,0,6,6,0,5,6
Richards Bay FC,5,0,5,0,4,4,0,5,7
Tim Sukazi Galaxy,5,0,5,0,3,4,-1,5,8
Sekhukhune United,5,0,5,0,0,2,-2,5,9
Kaizer Chiefs,5,0,5,0,2,5,-3,5,10
Bloemfontein Celtic,5,0,4,1,8,3,5,4,11
Stellenbosch,5,0,4,1,10,6,4,4,12
Golden Arrows,5,0,4,1,7,3,4,4,13
Chippa United,5,0,4,1,8,9,-1,4,14
Moroka Swallows,5,0,4,1,6,7,-1,4,15
Maritzburg United,5,0,1,4,1,9,-8,1,16
Mamelodi Sundowns,6,6,0,0,9,2,7,18,1
Orlando Pirates,6,3,3,0,3,4,-1,12,2
Cape Town City FC,6,2,4,0,7,6,1,10,3
SuperSport United,6,2,4,0,7,7,0,10,4
Golden Arrows,6,1,4,1,10,3,7,7,5
Bloemfontein Celtic,6,1,4,1,10,3,7,7,6
AmaZulu,6,0,6,0,5,4,1,6,7
Tshakhuma Tsha Madzivhandila,6,0,6,0,6,6,0,6,8
Richards Bay FC,6,0,6,0,4,4,0,6,9
Tim Sukazi Galaxy,6,0,6,0,3,4,-1,6,10
Sekhukhune United,6,0,6,0,0,2,-2,6,11
Kaizer Chiefs,6,0,6,0,3,6,-3,6,12
Stellenbosch,6,0,5,1,12,6,6,5,13
Moroka Swallows,6,0,5,1,7,7,0,5,14
Chippa United,6,0,5,1,8,11,-3,5,15
Maritzburg United,6,0,2,4,2,10,-8,2,16
Mamelodi Sundowns,7,7,0,0,10,2,8,21,1
Orlando Pirates,7,4,3,0,4,4,0,15,2
Cape Town City FC,7,2,5,0,8,8,0,11,3
SuperSport United,7,2,5,0,7,8,-1,11,4
Golden Arrows,7,1,5,1,11,3,8,8,5
Bloemfontein Celtic,7,1,5,1,11,4,7,8,6
Tshakhuma Tsha Madzivhandila,7,0,7,0,7,6,1,7,7
AmaZulu,7,0,7,0,5,4,1,7,8
Tim Sukazi Galaxy,7,0,7,0,5,5,0,7,9
