Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
CD Palestino,1,1,0,0,4,0,4,3,1
CD Huachipato,1,1,0,0,4,0,4,3,2
Curico Unido,1,1,0,0,3,0,3,3,3
Coquimbo Unido,1,1,0,0,3,1,2,3,4
Audax Italiano,1,1,0,0,3,1,2,3,5
Universidad Catolica,1,1,0,0,2,0,2,3,6
Deportes Magallanes,1,1,0,0,1,0,1,3,7
CD Cobresal,1,1,0,0,0,0,0,3,8
Higgins,1,0,1,0,2,0,2,1,9
Nublense,1,0,1,0,2,2,0,1,10
Deportes Copiapo,1,0,1,0,0,0,0,1,11
Union La Calera,1,0,1,0,0,0,0,1,12
Universidad de Chile,1,0,1,0,0,1,-1,1,13
Everton,1,0,1,0,1,3,-2,1,14
Union Espanola,1,0,0,1,0,1,-1,0,15
CD Huachipato,2,2,0,0,7,0,7,6,1
Curico Unido,2,2,0,0,6,0,6,6,2
Audax Italiano,2,2,0,0,6,1,5,6,3
CD Palestino,2,2,0,0,5,0,5,6,4
Coquimbo Unido,2,2,0,0,3,1,2,6,5
Universidad Catolica,2,2,0,0,2,0,2,6,6
CD Cobresal,2,2,0,0,0,0,0,6,7
Nublense,2,1,1,0,5,2,3,4,8
Union La Calera,2,1,1,0,3,0,3,4,9
Everton,2,1,1,0,3,3,0,4,10
Deportes Magallanes,2,1,0,1,1,4,-3,3,11
Higgins,2,0,2,0,2,0,2,2,12
Deportes Copiapo,2,0,2,0,0,0,0,2,13
Universidad de Chile,2,0,2,0,0,1,-1,2,14
Union Espanola,2,0,1,1,0,2,-2,1,15
CD Palestino,3,3,0,0,10,0,10,9,1
Audax Italiano,3,2,1,0,8,2,6,7,2
Coquimbo Unido,3,2,1,0,3,2,1,7,3
Universidad Catolica,3,2,1,0,3,2,1,7,4
Curico Unido,3,2,0,1,9,1,8,6,5
CD Huachipato,3,2,0,1,7,2,5,6,6
CD Cobresal,3,2,0,1,0,1,-1,6,7
Union La Calera,3,1,1,1,5,2,3,4,8
Everton,3,1,1,1,3,7,-4,4,9
Nublense,3,1,1,1,6,11,-5,4,10
Deportes Magallanes,3,1,0,2,1,4,-3,3,11
Higgins,3,0,3,0,2,0,2,3,12
Universidad de Chile,3,0,2,1,1,3,-2,2,13
Deportes Copiapo,3,0,2,1,0,4,-4,2,14
Union Espanola,3,0,1,2,0,3,-3,1,15
CD Palestino,4,4,0,0,12,0,12,12,1
CD Cobresal,4,3,0,1,2,1,1,9,2
Audax Italiano,4,2,2,0,12,3,9,8,3
Universidad Catolica,4,2,2,0,4,3,1,8,4
Coquimbo Unido,4,2,2,0,3,2,1,8,5
Curico Unido,4,2,1,1,11,1,10,7,6
CD Huachipato,4,2,1,1,8,3,5,7,7
Deportes Magallanes,4,1,1,2,4,5,-1,4,8
Union La Calera,4,1,1,2,5,7,-2,4,9
Everton,4,1,1,2,4,11,-7,4,10
Nublense,4,1,1,2,6,14,-8,4,11
Higgins,4,0,4,0,2,2,0,4,12
Universidad de Chile,4,0,2,2,3,5,-2,2,13
Deportes Copiapo,4,0,2,2,0,4,-4,2,14
Union Espanola,4,0,1,3,0,3,-3,1,15
CD Palestino,5,5,0,0,13,0,13,15,1
CD Cobresal,5,4,0,1,2,1,1,12,2
Audax Italiano,5,3,2,0,14,4,10,11,3
Universidad Catolica,5,3,2,0,8,5,3,11,4
Coquimbo Unido,5,3,2,0,5,3,2,11,5
Curico Unido,5,3,1,1,13,1,12,10,6
CD Huachipato,5,3,1,1,10,4,6,10,7
Everton,5,2,1,2,4,13,-9,7,8
Deportes Magallanes,5,1,2,2,4,5,-1,5,9
Higgins,5,0,5,0,2,2,0,5,10
Union La Calera,5,1,1,3,6,9,-3,4,11
Nublense,5,1,1,3,6,18,-12,4,12
Universidad de Chile,5,0,3,2,4,6,-2,3,13
Deportes Copiapo,5,0,2,3,0,4,-4,2,14
Union Espanola,5,0,1,4,0,5,-5,1,15
CD Palestino,6,6,0,0,17,0,17,18,1
Audax Italiano,6,4,2,0,17,4,13,14,2
Universidad Catolica,6,4,2,0,12,5,7,14,3
Coquimbo Unido,6,4,2,0,6,3,3,14,4
Curico Unido,6,4,1,1,13,1,12,13,5
CD Huachipato,6,4,1,1,11,4,7,13,6
CD Cobresal,6,4,1,1,2,2,0,13,7
Everton,6,3,1,2,6,13,-7,10,8
Union La Calera,6,2,1,3,7,10,-3,7,9
Higgins,6,0,6,0,4,2,2,6,10
Deportes Magallanes,6,1,2,3,4,8,-4,5,11
Nublense,6,1,2,3,6,18,-12,5,12
Universidad de Chile,6,0,4,2,4,6,-2,4,13
Deportes Copiapo,6,0,3,3,0,4,-4,3,14
Union Espanola,6,0,2,4,0,5,-5,2,15
CD Palestino,7,7,0,0,21,0,21,21,1
Curico Unido,7,5,1,1,17,2,15,16,2
CD Cobresal,7,5,1,1,6,3,3,16,3
Audax Italiano,7,4,3,0,20,5,15,15,4
Universidad Catolica,7,4,3,0,15,6,9,15,5
Coquimbo Unido,7,4,2,1,7,5,2,14,6
CD Huachipato,7,4,1,2,11,8,3,13,7
Everton,7,3,1,3,6,17,-11,10,8
Union La Calera,7,2,1,4,8,18,-10,7,9
Higgins,7,0,7,0,4,3,1,7,10
Deportes Magallanes,7,1,3,3,5,8,-3,6,11
Nublense,7,1,2,4,6,31,-25,5,12
Universidad de Chile,7,0,4,3,4,7,-3,4,13
Deportes Copiapo,7,0,4,3,1,4,-3,4,14
Union Espanola,7,0,2,5,0,8,-8,2,15
CD Palestino,8,8,0,0,22,3,19,24,1
Curico Unido,8,6,1,1,20,2,18,19,2
CD Cobresal,8,6,1,1,6,3,3,19,3
Audax Italiano,8,5,3,0,24,6,18,18,4
Universidad Catolica,8,5,3,0,18,7,11,18,5
Coquimbo Unido,8,5,2,1,7,5,2,17,6
CD Huachipato,8,5,1,2,14,11,3,16,7
Everton,8,3,1,4,6,19,-13,10,8
Higgins,8,0,8,0,4,3,1,8,9
Union La Calera,8,2,1,5,8,19,-11,7,10
Universidad de Chile,8,1,4,3,5,7,-2,7,11
Deportes Magallanes,8,1,4,3,7,10,-3,7,12
Nublense,8,1,2,5,6,32,-26,5,13
Deportes Copiapo,8,0,4,4,1,4,-3,4,14
Union Espanola,8,0,3,5,0,8,-8,3,15
CD Palestino,9,9,0,0,24,4,20,27,1
Audax Italiano,9,6,3,0,35,8,27,21,2
Universidad Catolica,9,6,3,0,30,7,23,21,3
Curico Unido,9,6,2,1,21,3,18,20,4
Coquimbo Unido,9,6,2,1,14,5,9,20,5
CD Cobresal,9,6,2,1,6,5,1,20,6
CD Huachipato,9,6,1,2,24,14,10,19,7
Everton,9,4,1,4,6,19,-13,13,8
Higgins,9,1,8,0,5,3,2,11,9
Universidad de Chile,9,2,4,3,6,7,-1,10,10
Union La Calera,9,2,2,5,10,22,-12,8,11
Nublense,9,2,2,5,8,33,-25,8,12
Deportes Magallanes,9,1,5,3,7,10,-3,8,13
Deportes Copiapo,9,0,4,5,1,7,-6,4,14
Union Espanola,9,0,3,6,0,11,-11,3,15
CD Palestino,10,10,0,0,33,5,28,30,1
Audax Italiano,10,7,3,0,41,8,33,24,2
Universidad Catolica,10,7,3,0,36,8,28,24,3
Curico Unido,10,7,2,1,22,5,17,23,4
Coquimbo Unido,10,7,2,1,18,5,13,23,5
CD Cobresal,10,7,2,1,8,7,1,23,6
CD Huachipato,10,7,1,2,30,16,14,22,7
Everton,10,4,1,5,6,21,-15,13,8
Higgins,10,1,9,0,5,3,2,12,9
Union La Calera,10,3,2,5,17,24,-7,11,10
Nublense,10,3,2,5,9,34,-25,11,11
Universidad de Chile,10,2,4,4,7,8,-1,10,12
Deportes Magallanes,10,1,5,4,8,13,-5,8,13
Deportes Copiapo,10,0,5,5,2,7,-5,5,14
Union Espanola,10,0,3,7,0,14,-14,3,15
CD Palestino,11,11,0,0,35,7,28,33,1
Curico Unido,11,8,2,1,27,5,22,26,2
Coquimbo Unido,11,8,2,1,20,5,15,26,3
CD Cobresal,11,8,2,1,11,7,4,26,4
Audax Italiano,11,7,4,0,42,10,32,25,5
Universidad Catolica,11,7,4,0,36,8,28,25,6
CD Huachipato,11,7,1,3,36,20,16,22,7
Union La Calera,11,4,2,5,21,24,-3,14,8
Everton,11,4,2,5,7,22,-15,14,9
Higgins,11,1,10,0,5,3,2,13,10
Nublense,11,3,2,6,11,40,-29,11,11
Universidad de Chile,11,2,5,4,7,10,-3,11,12
Deportes Magallanes,11,1,5,5,8,15,-7,8,13
Deportes Copiapo,11,0,5,6,2,7,-5,5,14
Union Espanola,11,0,3,8,0,14,-14,3,15
CD Palestino,12,11,1,0,36,7,29,34,1
Curico Unido,12,9,2,1,28,5,23,29,2
Coquimbo Unido,12,9,2,1,23,5,18,29,3
CD Cobresal,12,9,2,1,16,7,9,29,4
Universidad Catolica,12,8,4,0,42,8,34,28,5
Audax Italiano,12,7,4,1,44,13,31,25,6
CD Huachipato,12,7,1,4,41,25,16,22,7
Everton,12,5,2,5,11,22,-11,17,8
Union La Calera,12,4,2,6,24,28,-4,14,9
Universidad de Chile,12,3,5,4,8,10,-2,14,10
Higgins,12,1,10,1,5,3,2,13,11
Nublense,12,3,2,7,13,43,-30,11,12
Deportes Magallanes,12,1,5,6,8,19,-11,8,13
Deportes Copiapo,12,0,6,6,2,7,-5,6,14
Union Espanola,12,0,3,9,0,14,-14,3,15
CD Palestino,13,11,2,0,38,8,30,35,1
Curico Unido,13,10,2,1,29,5,24,32,2
Universidad Catolica,13,9,4,0,48,8,40,31,3
Coquimbo Unido,13,9,3,1,26,7,19,30,4
CD Cobresal,13,9,3,1,16,7,9,30,5
CD Huachipato,13,8,1,4,52,25,27,25,6
Audax Italiano,13,7,4,2,47,17,30,25,7
Everton,13,6,2,5,13,23,-10,20,8
Universidad de Chile,13,4,5,4,8,10,-2,17,9
Union La Calera,13,4,2,7,25,29,-4,14,10
Higgins,13,1,10,2,5,4,1,13,11
Nublense,13,3,3,7,15,48,-33,12,12
Deportes Magallanes,13,1,6,6,8,21,-13,9,13
Deportes Copiapo,13,0,7,6,2,7,-5,7,14
Union Espanola,13,0,3,10,0,17,-17,3,15
CD Palestino,14,12,2,0,40,8,32,38,1
Curico Unido,14,11,2,1,42,5,37,35,2
Universidad Catolica,14,10,4,0,49,8,41,34,3
Coquimbo Unido,14,10,3,1,28,9,19,33,4
CD Cobresal,14,9,4,1,17,8,9,31,5
CD Huachipato,14,9,1,4,57,25,32,28,6
Audax Italiano,14,7,5,2,47,17,30,26,7
Everton,14,6,2,6,14,25,-11,20,8
Union La Calera,14,5,2,7,28,30,-2,17,9
Universidad de Chile,14,4,5,5,8,12,-4,17,10
Higgins,14,2,10,2,5,4,1,16,11
Nublense,14,4,3,7,15,48,-33,15,12
Deportes Magallanes,14,1,6,7,9,24,-15,9,13
Deportes Copiapo,14,0,7,7,3,8,-5,7,14
Union Espanola,14,0,4,10,0,17,-17,4,15
CD Palestino,15,12,3,0,40,8,32,39,1
Curico Unido,15,12,2,1,50,6,44,38,2
Universidad Catolica,15,11,4,0,50,8,42,37,3
Coquimbo Unido,15,11,3,1,28,9,19,36,4
CD Cobresal,15,9,5,1,18,9,9,32,5
CD Huachipato,15,10,1,4,59,26,33,31,6
