Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
CF Monterrey,1,1,0,0,2,2,0,3,1
CF Pachuca,1,1,0,0,2,2,0,3,2
Deportivo Guadalajara,1,1,0,0,0,0,0,3,3
Tigres de la Universidad Autonoma,1,1,0,0,0,1,-1,3,4
Atletico San Luis,1,1,0,0,0,2,-2,3,5
Club de Futbol America,1,0,1,0,3,1,2,1,6
Puebla FC,1,0,1,0,3,1,2,1,7
Gallos Blancos Queretaro FC,1,0,1,0,2,0,2,1,8
Santos Laguna,1,0,1,0,1,1,0,1,9
Deportivo Toluca,1,0,1,0,0,1,-1,1,10
Club Necaxa,1,0,1,0,1,3,-2,1,11
Mazatlan,1,0,0,1,3,1,2,0,12
FC Juarez,1,0,0,1,2,0,2,0,13
Pumas de la UNAM,1,0,0,1,2,2,0,0,14
Club Leon,1,0,0,1,0,0,0,0,15
Cruz Azul,1,0,0,1,1,2,-1,0,16
Club Tijuana,1,0,0,1,0,1,-1,0,17
Atlas Guadalajara,1,0,0,1,0,4,-4,0,18
Tigres de la Universidad Autonoma,2,2,0,0,3,2,1,6,1
Club de Futbol America,2,1,1,0,10,2,8,4,2
Deportivo Guadalajara,2,1,1,0,0,0,0,4,3
CF Monterrey,2,1,1,0,6,9,-3,4,4
Atletico San Luis,2,1,1,0,0,4,-4,4,5
CF Pachuca,2,1,0,1,3,5,-2,3,6
Puebla FC,2,0,1,1,4,3,1,1,7
Gallos Blancos Queretaro FC,2,0,1,1,2,1,1,1,8
Deportivo Toluca,2,0,1,1,1,2,-1,1,9
Club Necaxa,2,0,1,1,3,5,-2,1,10
Santos Laguna,2,0,1,1,1,6,-5,1,11
Pumas de la UNAM,2,0,0,2,5,7,-2,0,12
FC Juarez,2,0,0,2,4,6,-2,0,13
Mazatlan,2,0,0,2,3,6,-3,0,14
Club Tijuana,2,0,0,2,0,4,-4,0,15
Club Leon,2,0,0,2,0,5,-5,0,16
Cruz Azul,2,0,0,2,2,8,-6,0,17
Atlas Guadalajara,2,0,0,2,0,9,-9,0,18
Tigres de la Universidad Autonoma,3,3,0,0,4,3,1,9,1
CF Monterrey,3,2,1,0,9,9,0,7,2
Club de Futbol America,3,1,2,0,17,6,11,5,3
Deportivo Guadalajara,3,1,1,1,2,0,2,4,4
Club Necaxa,3,1,1,1,5,7,-2,4,5
Atletico San Luis,3,1,1,1,3,5,-2,4,6
CF Pachuca,3,1,0,2,4,10,-6,3,7
Deportivo Toluca,3,0,1,2,4,4,0,1,8
Puebla FC,3,0,1,2,5,8,-3,1,9
Gallos Blancos Queretaro FC,3,0,1,2,2,6,-4,1,10
Santos Laguna,3,0,1,2,1,9,-8,1,11
FC Juarez,3,0,0,3,8,12,-4,0,12
Pumas de la UNAM,3,0,0,3,5,10,-5,0,13
Club Leon,3,0,0,3,0,5,-5,0,14
Club Tijuana,3,0,0,3,0,6,-6,0,15
Mazatlan,3,0,0,3,4,13,-9,0,16
Cruz Azul,3,0,0,3,2,11,-9,0,17
Atlas Guadalajara,3,0,0,3,2,15,-13,0,18
Tigres de la Universidad Autonoma,4,4,0,0,4,3,1,12,1
CF Monterrey,4,3,1,0,13,11,2,10,2
Club de Futbol America,4,2,2,0,22,9,13,8,3
Atletico San Luis,4,2,1,1,3,5,-2,7,4
CF Pachuca,4,2,0,2,9,12,-3,6,5
Deportivo Guadalajara,4,1,2,1,4,0,4,5,6
Club Necaxa,4,1,2,1,6,8,-2,5,7
Pumas de la UNAM,4,1,0,3,8,10,-2,3,8
Deportivo Toluca,4,0,2,2,5,5,0,2,9
Puebla FC,4,0,2,2,5,8,-3,2,10
Gallos Blancos Queretaro FC,4,0,2,2,4,8,-4,2,11
Santos Laguna,4,0,2,2,2,10,-8,2,12
FC Juarez,4,0,1,3,9,16,-7,1,13
Club Leon,4,0,0,4,0,6,-6,0,14
Club Tijuana,4,0,0,4,0,7,-7,0,15
Cruz Azul,4,0,0,4,3,11,-8,0,16
Mazatlan,4,0,0,4,6,16,-10,0,17
Atlas Guadalajara,4,0,0,4,6,17,-11,0,18
Tigres de la Universidad Autonoma,5,5,0,0,6,3,3,15,1
CF Monterrey,5,4,1,0,16,11,5,13,2
Club de Futbol America,5,3,2,0,27,9,18,11,3
Atletico San Luis,5,2,2,1,5,5,0,8,4
Club Necaxa,5,2,2,1,7,8,-1,8,5
CF Pachuca,5,2,1,2,10,15,-5,7,6
Deportivo Guadalajara,5,1,3,1,5,1,4,6,7
Santos Laguna,5,1,2,2,4,14,-10,5,8
Pumas de la UNAM,5,1,1,3,8,11,-3,4,9
Deportivo Toluca,5,0,3,2,5,9,-4,3,10
Gallos Blancos Queretaro FC,5,0,2,3,6,11,-5,2,11
Puebla FC,5,0,2,3,5,11,-6,2,12
FC Juarez,5,0,1,4,10,20,-10,1,13
Cruz Azul,5,0,0,5,5,12,-7,0,14
Club Leon,5,0,0,5,1,9,-8,0,15
Club Tijuana,5,0,0,5,0,8,-8,0,16
Mazatlan,5,0,0,5,6,18,-12,0,17
Atlas Guadalajara,5,0,0,5,7,20,-13,0,18
Tigres de la Universidad Autonoma,6,6,0,0,8,4,4,18,1
CF Monterrey,6,5,1,0,19,11,8,16,2
Club de Futbol America,6,4,2,0,30,9,21,14,3
Atletico San Luis,6,3,2,1,6,5,1,11,4
CF Pachuca,6,3,1,2,10,16,-6,10,5
Club Necaxa,6,2,2,2,9,10,-1,8,6
Deportivo Guadalajara,6,1,4,1,6,1,5,7,7
Santos Laguna,6,1,3,2,7,15,-8,6,8
Pumas de la UNAM,6,1,1,4,8,12,-4,4,9
Deportivo Toluca,6,0,4,2,5,9,-4,4,10
Gallos Blancos Queretaro FC,6,0,3,3,7,11,-4,3,11
Puebla FC,6,0,3,3,6,11,-5,3,12
FC Juarez,6,0,2,4,10,20,-10,2,13
Cruz Azul,6,0,1,5,6,12,-6,1,14
Club Leon,6,0,1,5,1,10,-9,1,15
Club Tijuana,6,0,1,5,0,9,-9,1,16
Atlas Guadalajara,6,0,1,5,7,22,-15,1,17
Mazatlan,6,0,0,6,8,19,-11,0,18
Tigres de la Universidad Autonoma,7,7,0,0,9,5,4,21,1
CF Monterrey,7,6,1,0,21,11,10,19,2
Club de Futbol America,7,5,2,0,33,10,23,17,3
CF Pachuca,7,4,1,2,12,18,-6,13,4
Atletico San Luis,7,3,3,1,9,8,1,12,5
Club Necaxa,7,3,2,2,13,10,3,11,6
Deportivo Guadalajara,7,1,5,1,9,3,6,8,7
Santos Laguna,7,1,3,3,7,18,-11,6,8
Pumas de la UNAM,7,1,2,4,9,13,-4,5,9
Deportivo Toluca,7,0,4,3,5,10,-5,4,10
Gallos Blancos Queretaro FC,7,0,3,4,8,14,-6,3,11
Puebla FC,7,0,3,4,7,14,-7,3,12
FC Juarez,7,0,2,5,11,23,-12,2,13
Cruz Azul,7,0,1,6,7,14,-7,1,14
Club Tijuana,7,0,1,6,3,11,-8,1,15
Club Leon,7,0,1,6,1,11,-10,1,16
Atlas Guadalajara,7,0,1,6,8,23,-15,1,17
Mazatlan,7,0,0,7,8,25,-17,0,18
Tigres de la Universidad Autonoma,8,8,0,0,12,6,6,24,1
CF Monterrey,8,7,1,0,26,12,14,22,2
Club de Futbol America,8,6,2,0,38,10,28,20,3
CF Pachuca,8,5,1,2,14,20,-6,16,4
Atletico San Luis,8,4,3,1,10,10,0,15,5
Club Necaxa,8,3,2,3,15,10,5,11,6
Deportivo Guadalajara,8,2,5,1,10,5,5,11,7
Santos Laguna,8,2,3,3,12,19,-7,9,8
Pumas de la UNAM,8,2,2,4,10,13,-3,8,9
Deportivo Toluca,8,0,5,3,7,12,-5,5,10
Atlas Guadalajara,8,1,1,6,8,26,-18,4,11
Gallos Blancos Queretaro FC,8,0,4,4,10,17,-7,4,12
Puebla FC,8,0,4,4,7,15,-8,4,13
FC Juarez,8,0,2,6,14,24,-10,2,14
Club Tijuana,8,0,1,7,6,11,-5,1,15
Cruz Azul,8,0,1,7,9,19,-10,1,16
Club Leon,8,0,1,7,3,15,-12,1,17
Mazatlan,8,0,0,8,12,25,-13,0,18
CF Monterrey,9,8,1,0,32,14,18,25,1
Tigres de la Universidad Autonoma,9,8,1,0,12,6,6,25,2
Club de Futbol America,9,6,3,0,40,10,30,21,3
CF Pachuca,9,6,1,2,17,22,-5,19,4
Atletico San Luis,9,5,3,1,10,10,0,18,5
Club Necaxa,9,3,3,3,16,13,3,12,6
Santos Laguna,9,3,3,3,13,19,-6,12,7
Deportivo Guadalajara,9,2,6,1,10,5,5,12,8
Pumas de la UNAM,9,2,2,5,12,18,-6,8,9
Atlas Guadalajara,9,1,2,6,13,29,-16,5,10
Deportivo Toluca,9,0,5,4,8,14,-6,5,11
Gallos Blancos Queretaro FC,9,0,4,5,11,17,-6,4,12
Puebla FC,9,0,4,5,8,16,-8,4,13
Club Tijuana,9,0,2,7,6,11,-5,2,14
FC Juarez,9,0,2,7,15,29,-14,2,15
Cruz Azul,9,0,1,8,9,21,-12,1,16
Club Leon,9,0,1,8,3,16,-13,1,17
Mazatlan,9,0,0,9,13,28,-15,0,18
CF Monterrey,10,9,1,0,33,17,16,28,1
