CD Olmedo,CS Emelec,Delfin SC,Deportivo Cuenca,FC Barcelona,Independiente del Valle,LDU Quito,Macara,Manta FC,Mushuc Runa,Octubre,Orense,River Ecuador,SD Aucas,Tecnico Universitario,Universidad Catolica
16,5,14,12,3,7,1,13,11,15,4,9,10,8,6,2
16,3,10,9,5,2,1,15,14,11,6,12,13,8,7,4
16,3,11,10,5,2,1,14,13,8,6,12,15,7,9,4
16,3,11,10,5,2,1,13,14,6,8,12,15,7,9,4
16,1,11,10,6,2,3,13,14,5,8,12,15,7,9,4
16,1,11,10,6,2,3,14,13,5,8,12,15,7,9,4
16,1,13,12,6,3,2,15,11,5,8,10,14,7,9,4
16,1,13,11,6,2,3,14,12,5,8,10,15,9,7,4
16,1,13,10,6,3,2,15,12,5,9,11,14,8,7,4
16,1,13,8,6,2,3,14,11,5,10,12,15,9,7,4
16,1,13,7,6,2,3,14,12,5,10,11,15,9,8,4
16,1,14,6,7,4,2,11,12,5,10,13,15,8,9,3
16,1,12,8,6,4,3,11,13,5,9,14,15,7,10,2
16,1,12,10,6,4,3,11,13,5,8,14,15,7,9,2
16,1,13,10,6,4,3,11,12,5,8,14,15,7,9,2
16,1,14,9,5,3,4,11,13,8,7,12,15,6,10,2
16,1,12,10,5,3,4,11,14,8,6,13,15,7,9,2
16,1,11,10,5,3,4,13,14,8,7,12,15,6,9,2
16,1,11,9,5,3,4,12,14,8,6,13,15,7,10,2
16,1,11,9,5,3,4,12,14,8,7,13,15,6,10,2
16,1,11,9,4,3,5,12,14,8,6,13,15,7,10,2
16,1,11,9,4,3,5,12,14,8,7,13,15,6,10,2
16,1,11,9,4,3,5,12,14,8,6,13,15,7,10,2
16,1,9,10,4,3,5,12,14,8,7,13,15,6,11,2
16,1,9,10,4,2,5,12,14,8,6,13,15,7,11,3
16,1,9,11,4,2,5,12,14,8,6,13,15,7,10,3
16,1,9,11,4,2,5,12,14,8,6,13,15,7,10,3
16,1,8,11,4,2,5,12,14,9,6,13,15,7,10,3
16,1,9,11,4,2,5,12,14,8,6,13,15,7,10,3
16,1,9,11,4,2,5,12,14,8,6,13,15,7,10,3
