FC Honka,FC Lahti,HJK Helsinki,Haka Valkeakoski,Helsingfors IFK,IFK Mariehamn,Ilves Tampere,Inter Turku,Kotkan Tyovaen Palloilijat,Kuopion PS,Oulu,Seinajoki
8,9,1,7,5,11,4,10,6,2,12,3
8,4,1,9,7,11,6,5,10,2,12,3
7,4,1,10,8,12,6,3,9,2,11,5
7,5,1,8,10,11,6,3,9,2,12,4
8,5,1,7,9,11,6,3,10,2,12,4
8,7,1,6,9,11,5,3,10,2,12,4
8,7,1,6,9,10,5,3,11,2,12,4
5,8,1,7,9,10,6,3,11,2,12,4
8,5,1,6,9,10,4,3,11,2,12,7
8,5,1,6,9,10,4,3,11,2,12,7
8,5,1,6,9,10,7,3,12,2,11,4
5,6,1,8,9,10,7,3,12,2,11,4
5,6,2,7,9,10,8,3,12,1,11,4
6,5,1,9,8,10,7,3,12,2,11,4
6,5,1,8,9,10,7,3,12,2,11,4
6,5,1,8,9,10,7,3,12,2,11,4
6,5,1,8,9,10,7,3,11,2,12,4
6,5,2,8,9,10,7,3,11,1,12,4
6,5,2,8,9,10,7,3,12,1,11,4
6,5,2,8,9,10,7,3,12,1,11,4
6,5,2,8,9,10,7,3,12,1,11,4
6,5,2,8,9,10,7,3,12,1,11,4
