Bodo/Glimt,Brann Bergen,FK Haugesund,Kristiansund BK,Lillestrom SK,Mjondalen IF,Molde FK,Odd Grenland,Rosenborg Trondheim,Sandefjord Fotball,Sarpsborg 08,Stabaek IF,Stromsgodset IF,Tromso IL,Valerenga IF,Viking Stavanger
1,6,9,10,7,8,2,14,15,11,3,13,16,4,12,5
1,12,11,13,5,6,2,16,9,10,7,15,14,3,8,4
1,12,14,10,7,11,2,16,9,13,6,15,8,4,5,3
1,10,14,11,8,13,2,15,5,12,9,16,7,6,4,3
1,13,9,11,7,12,2,15,5,14,8,16,6,10,4,3
1,15,8,11,6,14,2,13,5,12,9,16,7,10,4,3
1,15,8,10,6,14,2,12,5,11,9,16,7,13,4,3
1,14,10,6,7,15,2,12,5,11,9,16,8,13,4,3
1,13,9,5,7,15,2,14,6,12,10,16,8,11,4,3
1,12,9,5,8,15,2,14,6,13,10,16,7,11,4,3
1,12,8,6,7,15,2,13,5,14,9,16,10,11,4,3
1,12,9,6,7,15,2,13,5,14,10,16,11,8,4,3
1,12,9,6,7,15,2,14,5,13,10,16,11,8,4,3
1,12,11,6,7,15,2,14,5,13,8,16,10,9,4,3
1,13,11,6,8,15,2,14,5,12,7,16,9,10,4,3
1,11,12,6,9,16,2,14,5,13,7,15,8,10,4,3
1,11,12,6,9,16,2,14,5,13,7,15,8,10,4,3
1,12,11,6,9,16,2,14,5,13,7,15,8,10,4,3
1,12,10,6,9,16,2,13,5,14,7,15,8,11,4,3
1,12,10,6,9,16,2,14,5,13,7,15,8,11,4,3
1,13,10,6,8,16,2,14,4,12,9,15,7,11,5,3
1,14,10,7,8,16,2,13,3,12,9,15,6,11,5,4
1,14,10,8,7,16,2,13,3,12,9,15,6,11,5,4
1,14,10,8,6,16,2,12,3,11,9,15,7,13,5,4
1,14,8,9,6,16,2,12,3,11,10,15,7,13,5,4
1,14,7,9,6,16,2,12,3,11,10,15,8,13,5,4
1,14,7,9,6,15,2,11,3,12,10,16,8,13,5,4
1,14,7,9,6,15,2,11,3,12,10,16,8,13,5,4
1,14,7,9,6,15,2,11,3,12,10,16,8,13,5,4
1,14,7,9,6,15,2,11,3,12,10,16,8,13,5,4
