Adelaide United,Brisbane Roar,Central Coast Mariners,Macarthur FC,Melbourne City FC,Melbourne Victory,Newcastle United Jets,Perth Glory,Sydney FC,Wellington Phoenix,Western Sydney Wanderers,Western United
11,6,4,9,1,8,2,12,5,10,7,3
9,12,3,4,1,8,2,11,10,6,7,5
5,6,3,9,1,8,7,11,12,4,2,10
7,5,4,10,1,9,8,12,2,6,3,11
7,6,5,10,1,8,9,12,3,2,4,11
7,6,5,9,1,8,11,10,4,2,3,12
7,6,5,11,1,9,10,8,4,3,2,12
7,6,5,11,1,9,10,8,4,3,2,12
7,6,5,11,1,9,10,8,4,3,2,12
7,6,5,11,1,8,9,10,4,3,2,12
9,6,5,10,1,8,7,11,4,3,2,12
7,6,5,10,1,8,9,11,4,3,2,12
6,9,5,10,1,7,8,11,4,3,2,12
6,9,5,10,1,7,8,11,4,3,2,12
6,10,5,9,1,7,8,11,4,3,2,12
6,10,4,9,1,7,8,11,5,3,2,12
6,11,4,9,1,7,8,10,5,3,2,12
6,11,3,9,1,7,8,10,5,4,2,12
5,11,3,10,1,7,9,8,6,4,2,12
5,11,2,10,1,8,9,7,6,4,3,12
5,11,2,10,1,8,9,7,6,4,3,12
5,11,2,10,1,8,9,7,6,4,3,12
