Austria Lustenau,Austria Wien,LASK Linz,RB Salzburg,Rapid Wien,SCR Altach,SK Austria Klagenfurt,SV Ried,Sturm Graz,TSV Hartberg,WSG Tirol,Wolfsberger AC
3,8,6,1,11,5,12,4,2,7,9,10
8,3,6,1,4,5,7,9,2,10,12,11
6,5,4,1,3,9,8,10,2,11,7,12
8,5,4,1,3,9,7,10,2,11,6,12
10,5,4,1,3,8,7,9,2,11,6,12
11,5,4,1,3,9,7,10,2,12,6,8
10,4,3,1,5,9,7,11,2,12,6,8
10,4,3,1,7,9,6,11,2,12,5,8
10,5,3,1,4,9,7,11,2,12,6,8
9,5,3,1,4,10,6,11,2,12,7,8
9,5,3,1,4,10,6,12,2,11,7,8
10,5,4,1,3,9,7,12,2,11,6,8
10,5,3,1,4,9,7,11,2,12,6,8
10,6,3,1,4,9,7,11,2,12,5,8
9,8,3,1,4,10,5,11,2,12,6,7
9,6,3,1,4,10,7,11,2,12,5,8
9,8,3,1,4,10,6,12,2,11,5,7
9,7,3,1,4,11,5,12,2,10,8,6
9,5,3,1,4,10,7,12,2,11,6,8
9,5,3,1,4,10,7,12,2,11,6,8
9,5,3,1,4,10,7,12,2,11,6,8
9,5,3,1,4,10,7,12,2,11,6,8
