Anderlecht,Antwerp,Cercle Brugge,Charleroi,Club Brugge,Eupen,Genk,Gent,Kortrijk,Mechelen,Oostende,Oud-Heverlee Leuven,RFC Seraing,St Truiden,Standard,Union Saint-Gilloise,Waregem,Westerlo
7,6,11,16,5,13,3,10,17,15,12,4,14,9,1,2,18,8
9,4,11,12,5,15,3,6,14,18,13,8,16,10,1,2,17,7
8,4,10,11,5,17,3,6,18,13,14,9,15,12,1,2,16,7
9,4,11,10,5,14,1,6,16,13,15,8,17,12,3,2,18,7
9,5,11,10,4,15,1,6,14,13,17,8,18,12,3,2,16,7
7,5,11,10,4,16,1,6,14,15,17,9,18,12,3,2,13,8
9,5,12,8,3,15,1,6,16,14,17,10,18,11,4,2,13,7
9,5,12,8,2,16,1,6,15,13,17,11,18,10,4,3,14,7
7,4,12,9,2,16,1,5,15,13,18,11,17,10,6,3,14,8
5,4,12,10,2,16,1,8,15,13,18,11,17,9,6,3,14,7
5,4,12,10,2,16,1,8,15,13,18,11,17,9,6,3,14,7
6,4,12,10,3,15,1,8,16,13,18,11,17,9,7,2,14,5
6,4,12,9,3,16,1,8,15,13,18,11,17,10,7,2,14,5
5,4,12,11,3,16,1,7,15,13,18,9,17,10,8,2,14,6
7,4,11,12,3,16,1,6,15,13,17,9,18,10,8,2,14,5
8,4,12,11,3,16,1,5,15,13,17,9,18,10,7,2,14,6
8,4,12,10,3,16,1,5,15,13,17,9,18,11,7,2,14,6
6,4,11,10,3,16,1,5,15,13,17,9,18,12,8,2,14,7
8,4,12,11,3,15,1,5,16,13,18,9,17,10,7,2,14,6
8,4,12,11,3,15,1,5,16,13,18,9,17,10,6,2,14,7
8,4,11,12,3,15,1,5,16,13,18,9,17,10,6,2,14,7
7,3,11,12,4,15,1,5,16,13,18,9,17,10,6,2,14,8
6,4,11,12,3,15,1,5,16,13,18,9,17,10,8,2,14,7
7,3,11,12,4,15,1,5,16,13,18,9,17,10,8,2,14,6
6,3,11,12,4,15,1,5,16,13,18,9,17,10,8,2,14,7
6,3,10,12,5,15,1,4,16,13,18,9,17,11,8,2,14,7
6,3,10,12,5,15,1,4,16,13,18,9,17,11,8,2,14,7
6,3,10,12,5,15,1,4,16,13,18,9,17,11,8,2,14,7
6,3,10,12,5,15,1,4,16,13,18,9,17,11,8,2,14,7
6,3,10,12,5,15,1,4,16,13,18,9,17,11,8,2,14,7
6,3,10,12,5,14,1,4,16,13,18,9,17,11,8,2,15,7
6,3,10,12,5,15,1,4,16,13,18,9,17,11,8,2,14,7
6,3,10,12,5,15,1,4,16,13,18,9,17,11,8,2,14,7
6,3,10,12,5,15,1,4,16,13,18,9,17,11,8,2,14,7
