America MG,Atletico Clube Goianiense,Atletico Mineiro,Atletico Paranaense,Avai FC,Botafogo Rio de Janeiro,Bragantino,Ceara SC,Corinthians Paulista,Coritiba FC,Cuiaba Esporte Clube,Esporte Clube Juventude,Flamengo Rio de Janeiro,Fluminense Rio de Janeiro,Fortaleza,Goias Esporte Clube,Internacional,Santos FC,Sao Paulo FC,Sociedade Esportiva Palmeiras
7,4,12,14,6,5,15,20,9,16,13,18,11,1,10,19,3,8,17,2
5,19,8,12,17,9,14,16,11,20,13,18,4,3,10,15,1,6,7,2
6,20,7,10,17,8,15,16,12,19,14,18,4,2,9,13,3,5,11,1
6,5,9,12,18,13,16,17,11,19,15,20,4,2,10,14,3,7,8,1
11,5,9,13,19,12,17,16,10,18,14,20,4,2,7,15,3,6,8,1
11,6,5,12,19,13,17,14,9,18,15,20,4,2,10,16,3,7,8,1
12,6,5,13,19,7,18,14,10,15,16,20,4,2,11,17,3,9,8,1
12,6,5,13,19,9,17,14,11,15,16,20,4,2,8,18,3,10,7,1
12,6,5,14,19,7,17,15,10,13,16,20,4,2,9,18,3,11,8,1
14,6,5,13,19,9,17,15,10,12,16,20,4,2,8,18,3,11,7,1
14,6,4,13,19,9,17,15,10,12,16,20,5,2,8,18,3,11,7,1
15,8,4,13,19,9,18,16,10,11,17,20,5,2,7,14,3,12,6,1
13,8,4,14,19,9,17,16,10,11,18,20,5,2,6,15,3,12,7,1
14,9,3,15,19,8,17,16,10,11,18,20,6,2,7,13,4,12,5,1
11,9,3,15,19,7,18,16,10,12,17,20,8,2,6,14,4,13,5,1
12,10,3,15,16,8,19,17,9,13,18,20,7,2,5,14,6,11,4,1
12,10,3,15,16,8,19,18,9,13,17,20,6,2,5,14,7,11,4,1
13,11,4,15,16,8,19,18,9,14,17,20,7,2,5,12,6,10,3,1
11,12,4,15,16,8,17,19,9,14,18,20,7,2,5,13,6,10,3,1
12,13,4,15,16,8,18,19,9,14,17,20,7,2,6,11,5,10,3,1
10,13,4,14,19,8,17,18,9,15,16,20,5,2,7,12,6,11,3,1
10,13,4,14,19,8,17,18,9,15,16,20,5,2,7,12,6,11,3,1
10,13,4,14,19,9,18,17,8,15,16,20,5,2,7,12,6,11,3,1
10,14,6,13,19,9,18,17,8,15,16,20,4,2,7,12,5,11,3,1
11,14,7,13,19,9,16,18,8,17,15,20,3,2,6,12,5,10,4,1
11,14,7,12,19,9,16,18,8,17,15,20,3,2,6,13,4,10,5,1
11,15,6,12,19,10,14,16,8,18,17,20,3,2,7,13,4,9,5,1
10,15,6,12,19,11,14,16,8,18,17,20,3,2,7,13,4,9,5,1
10,16,6,12,19,11,14,15,8,18,17,20,3,2,7,13,4,9,5,1
10,17,6,12,19,11,14,15,8,18,16,20,3,2,7,13,4,9,5,1
10,17,7,12,19,11,13,15,6,18,16,20,3,2,8,14,4,9,5,1
10,17,7,12,19,11,13,15,6,18,16,20,3,2,8,14,4,9,5,1
10,17,7,11,19,12,13,15,6,18,16,20,4,2,8,14,3,9,5,1
11,17,7,10,19,12,13,14,6,18,16,20,4,3,8,15,2,9,5,1
11,17,7,10,19,12,13,14,6,18,16,20,4,3,8,15,2,9,5,1
11,17,7,10,19,12,13,14,6,18,16,20,4,3,8,15,2,9,5,1
11,17,7,10,19,12,13,14,6,18,16,20,3,4,8,15,2,9,5,1
11,17,7,10,19,12,13,14,6,18,16,20,4,3,8,15,2,9,5,1
