Arsenal,Aston Villa,Bournemouth,Brentford,Brighton,Chelsea,Crystal Palace,Everton,Fulham,Leeds United,Leicester City,Liverpool,Manchester City,Manchester United,Newcastle United,Nottingham Forest,Southampton,Tottenham Hotspur,West Ham United,Wolverhampton
2,13,19,14,5,8,7,16,15,11,10,6,1,9,4,17,20,3,12,18
2,14,19,11,7,8,4,16,5,12,15,9,1,10,3,17,20,6,13,18
1,15,19,10,6,11,7,16,5,12,13,8,3,9,2,17,20,4,14,18
1,14,19,8,6,12,10,16,4,11,13,9,2,7,3,17,20,5,15,18
2,13,16,9,6,12,11,17,4,7,14,10,3,8,1,18,20,5,15,19
2,13,16,10,7,12,8,17,5,6,14,11,3,9,1,18,20,4,15,19
2,13,19,11,6,12,10,16,5,8,14,9,3,7,1,18,20,4,15,17
2,14,17,11,6,13,10,15,5,8,12,9,3,7,1,19,20,4,16,18
2,15,16,11,8,14,10,13,5,6,12,9,4,7,1,19,20,3,17,18
2,15,17,12,8,14,11,13,5,7,9,10,3,6,1,19,20,4,16,18
2,13,17,12,9,15,11,14,5,7,8,10,3,6,1,19,20,4,16,18
2,13,17,12,8,16,11,15,5,7,9,10,4,6,1,19,20,3,14,18
2,11,17,13,7,16,10,15,5,8,9,12,4,6,1,19,20,3,14,18
2,12,17,13,7,16,11,15,5,8,9,10,4,6,1,19,20,3,14,18
2,12,17,13,7,16,10,14,6,8,9,11,4,5,1,19,20,3,15,18
2,13,17,12,7,16,11,14,6,8,9,10,4,5,1,19,20,3,15,18
2,13,17,11,7,16,10,15,6,9,8,12,4,5,1,20,19,3,14,18
2,13,17,10,7,15,12,16,6,8,9,11,4,5,1,19,20,3,14,18
2,13,17,10,6,14,12,16,7,8,9,11,4,5,1,19,20,3,15,18
2,13,17,10,6,14,12,16,7,8,9,11,4,5,1,19,20,3,15,18
2,13,17,11,6,14,12,16,7,8,9,10,4,5,1,19,20,3,15,18
2,14,17,11,6,13,12,16,7,10,8,9,4,5,1,19,20,3,15,18
2,12,17,10,6,14,13,16,7,11,9,8,4,5,1,20,19,3,15,18
2,12,17,10,6,13,14,16,7,11,8,9,4,5,1,20,19,3,15,18
2,12,18,10,6,13,14,16,7,11,8,9,4,5,1,19,20,3,15,17
2,13,18,9,6,12,14,16,7,11,10,8,3,5,1,19,20,4,15,17
2,12,19,9,6,13,14,16,7,11,10,8,3,5,1,18,20,4,15,17
2,13,19,9,6,12,14,16,7,11,10,8,3,5,1,18,20,4,15,17
2,13,19,9,6,11,14,16,8,12,10,7,3,5,1,18,20,4,15,17
2,13,20,8,5,11,14,16,9,12,10,7,3,6,1,18,19,4,15,17
1,13,20,8,5,11,14,16,9,12,10,7,3,6,2,18,19,4,15,17
1,13,20,8,5,11,14,16,9,12,10,7,3,6,2,18,19,4,15,17
1,13,20,8,5,11,14,16,9,12,10,7,3,6,2,18,19,4,15,17
1,13,20,8,5,10,14,16,9,12,11,7,3,6,2,18,19,4,15,17
1,13,20,8,5,10,14,16,9,12,11,7,3,6,2,18,19,4,15,17
1,13,20,8,5,10,14,16,9,12,11,7,3,6,2,18,19,4,15,17
1,13,20,8,5,10,14,16,9,12,11,7,3,6,2,18,19,4,15,17
1,13,20,8,5,10,14,16,9,12,11,7,3,6,2,18,19,4,15,17
