Birmingham City,Blackburn Rovers,Blackpool,Bristol City,Burnley,Cardiff City,Coventry City,Huddersfield Town,Hull City,Luton Town,Middlesbrough,Millwall,Norwich City,Preston North End,Queens Park Rangers,Reading,Rotherham United,Sheffield United,Stoke City,Sunderland,Swansea City,Watford,West Bromwich Albion,Wigan Athletic
24,18,15,5,3,13,4,12,7,16,1,23,21,17,9,6,8,2,22,14,10,20,11,19
23,14,17,4,2,15,9,7,5,21,3,10,8,20,6,11,18,1,12,19,22,16,13,24
22,16,19,7,2,17,11,12,9,21,3,20,4,23,10,15,18,1,13,6,14,8,5,24
22,14,21,7,2,15,13,10,9,20,3,17,4,23,12,18,19,1,16,5,11,8,6,24
18,15,17,8,1,14,13,11,19,16,3,6,4,23,20,21,22,2,10,7,12,9,5,24
18,15,16,8,1,13,10,11,19,17,3,5,4,23,21,22,20,2,12,7,14,9,6,24
17,14,16,9,1,15,11,12,18,8,3,4,5,23,22,21,20,2,19,6,13,10,7,24
17,13,16,9,1,15,12,11,18,8,4,3,5,23,22,21,20,2,19,7,14,10,6,24
16,11,15,9,1,14,13,18,17,8,3,4,5,23,21,22,20,2,19,7,12,10,6,24
18,10,14,11,1,15,13,17,16,5,3,4,6,21,22,23,20,2,19,8,12,9,7,24
19,10,17,12,1,14,13,16,15,6,3,4,7,21,22,23,18,2,20,5,11,9,8,24
19,10,17,12,1,16,13,15,14,6,3,4,8,21,22,24,18,2,20,5,11,7,9,23
19,10,18,13,1,16,14,15,11,6,3,4,8,21,22,23,17,2,20,5,12,7,9,24
19,10,18,13,1,16,14,15,11,6,3,4,8,21,22,24,17,2,20,5,12,7,9,23
15,11,19,10,1,17,16,18,12,6,3,4,7,21,22,24,14,2,20,5,13,8,9,23
14,12,19,10,1,17,16,18,11,6,3,5,7,21,22,24,13,2,20,4,15,8,9,23
15,12,19,9,1,17,16,18,11,7,3,6,5,21,22,24,13,2,20,4,14,8,10,23
15,12,19,9,1,18,16,17,11,7,3,6,5,21,22,23,13,2,20,4,14,8,10,24
15,12,19,9,1,17,16,18,11,6,3,7,5,21,22,23,13,2,20,4,14,8,10,24
14,12,19,9,1,17,16,18,11,8,3,6,5,21,22,23,13,2,20,4,15,7,10,24
11,13,19,9,1,16,17,18,12,8,3,6,5,21,22,23,14,2,20,4,15,7,10,24
11,13,19,9,1,18,16,17,14,7,3,6,5,22,21,23,15,2,20,4,12,8,10,24
11,14,20,9,1,17,16,18,13,7,3,6,5,21,22,23,15,2,19,4,12,8,10,24
12,13,22,9,1,17,16,18,14,7,3,6,5,20,21,23,15,2,19,4,11,8,10,24
12,13,23,9,1,17,16,18,14,7,3,6,5,21,22,20,15,2,19,4,11,8,10,24
12,13,22,9,1,17,14,18,15,6,3,7,5,19,21,23,16,2,20,4,11,8,10,24
12,13,23,9,1,20,14,21,15,6,3,7,5,17,19,22,16,2,18,4,11,8,10,24
12,13,23,10,1,20,14,21,15,6,3,7,5,17,19,22,16,2,18,4,11,8,9,24
12,13,23,10,1,20,14,21,16,6,3,7,5,18,19,22,17,2,15,4,11,8,9,24
12,13,23,10,1,20,14,21,16,6,3,7,5,18,19,22,17,2,15,4,11,9,8,24
12,13,23,10,1,20,14,21,16,6,3,7,5,18,19,22,17,2,15,4,11,9,8,24
13,14,23,10,1,20,12,21,16,6,3,7,5,18,19,22,17,2,15,4,11,9,8,24
13,15,23,11,1,20,12,21,16,6,3,7,5,19,17,22,18,2,14,4,10,9,8,24
13,15,23,11,1,21,12,22,17,6,3,7,5,19,18,20,16,2,14,4,10,9,8,24
13,15,23,11,1,20,12,21,18,6,3,7,5,19,17,22,16,2,14,4,10,9,8,24
13,15,23,11,1,21,12,22,18,6,3,7,5,19,16,20,17,2,14,4,10,9,8,24
13,15,23,10,1,21,12,22,19,6,3,8,5,18,17,20,16,2,14,4,11,9,7,24
13,15,23,11,1,21,12,22,19,7,3,8,5,17,16,20,18,2,14,4,9,10,6,24
13,15,23,11,1,21,12,22,19,7,3,8,5,17,16,20,18,2,14,4,9,10,6,24
13,15,23,11,1,21,12,22,19,7,3,8,5,17,16,20,18,2,14,4,9,10,6,24
13,15,23,11,1,21,12,22,19,7,3,8,5,17,16,20,18,2,14,4,9,10,6,24
13,15,23,11,1,21,12,22,19,7,3,8,6,17,16,20,18,2,14,4,9,10,5,24
13,15,23,11,1,21,12,22,19,7,3,8,6,17,16,20,18,2,14,5,9,10,4,24
13,15,23,11,1,21,12,22,19,7,3,8,6,17,16,20,18,2,14,5,9,10,4,24
13,15,23,11,1,21,12,22,19,7,3,8,6,18,16,20,17,2,14,5,9,10,4,24
13,15,23,11,1,21,12,22,19,7,3,8,6,18,16,20,17,2,14,5,9,10,4,24
