Accrington,Barnsley,Bolton,Bristol Rovers,Burton,Cambridge,Charlton Athletic,Cheltenham,Derby County,Exeter City,Fleetwood Town,Forest Green,Ipswich Town,Lincoln,Milton Keynes Dons,Morecambe,Oxford United,Peterborough United,Plymouth Argyle,Port Vale,Portsmouth,Sheffield Wednesday,Shrewsbury Town,Wycombe Wanderers
22,8,10,16,21,13,7,17,9,5,14,24,2,19,20,12,15,4,1,18,11,3,23,6
20,7,8,9,21,22,11,14,4,10,18,24,1,19,17,23,13,6,2,15,12,3,16,5
20,6,8,9,21,23,12,14,3,10,17,24,1,19,18,22,15,7,2,16,11,5,13,4
23,8,6,9,20,22,12,14,2,10,17,24,1,19,18,21,15,5,3,13,11,4,16,7
21,8,5,9,23,18,12,13,1,11,17,24,2,19,20,22,14,6,3,15,10,4,16,7
23,8,5,9,21,22,10,13,1,12,16,24,2,19,18,20,15,6,3,14,11,4,17,7
22,8,5,9,23,20,10,13,1,12,15,24,2,21,19,16,14,6,3,18,11,4,17,7
22,8,5,9,23,21,10,14,1,12,16,24,2,13,20,17,18,6,3,19,11,4,15,7
22,8,5,9,23,21,10,14,1,12,17,24,2,13,19,15,16,6,3,20,11,4,18,7
22,8,5,9,23,21,10,15,2,13,17,24,1,11,20,18,16,6,3,14,12,4,19,7
22,8,5,9,23,21,10,15,1,13,17,24,2,11,20,19,16,6,3,14,12,4,18,7
22,8,5,9,23,21,10,15,3,14,18,24,1,11,20,16,17,7,2,12,13,4,19,6
22,8,5,11,23,21,12,15,2,14,18,24,1,9,20,16,17,7,3,10,13,4,19,6
22,8,5,9,23,21,10,15,3,14,17,24,1,11,20,16,19,7,2,13,12,4,18,6
22,8,5,10,23,21,9,15,2,14,16,24,1,11,20,19,18,7,3,13,12,4,17,6
23,9,5,10,19,22,8,15,4,13,16,24,1,11,21,20,18,7,2,14,12,3,17,6
23,9,5,10,17,22,8,15,4,11,18,24,1,13,21,20,19,7,2,14,12,3,16,6
18,8,5,11,20,22,7,16,3,10,15,24,2,13,23,21,19,9,4,14,12,1,17,6
19,7,5,11,20,23,9,18,3,10,14,24,2,13,22,21,17,8,4,15,12,1,16,6
19,7,5,11,21,20,9,18,3,10,14,24,2,13,23,22,17,8,4,15,12,1,16,6
20,7,5,11,21,19,9,16,3,10,14,24,2,13,22,23,15,8,4,18,12,1,17,6
20,7,5,11,21,19,9,17,3,10,15,24,2,12,22,23,14,8,4,16,13,1,18,6
21,8,5,12,22,20,9,17,3,10,15,24,2,13,23,19,14,7,4,16,11,1,18,6
21,8,5,12,22,20,9,18,3,11,15,24,2,13,23,19,14,7,4,16,10,1,17,6
21,8,5,13,23,20,9,18,3,11,15,24,2,12,22,19,14,7,4,17,10,1,16,6
21,8,5,13,23,20,9,18,3,11,16,24,2,12,22,19,14,7,4,17,10,1,15,6
21,8,5,14,23,20,9,18,3,11,17,24,2,12,22,19,15,7,4,16,10,1,13,6
21,8,5,14,23,20,9,18,3,11,17,24,2,12,22,19,15,7,4,16,10,1,13,6
21,8,5,14,23,20,9,18,3,11,17,24,2,13,22,19,15,7,4,16,10,1,12,6
21,8,5,14,23,20,9,18,3,11,17,24,2,13,22,19,15,7,4,16,10,1,12,6
22,8,5,15,20,21,9,18,4,11,16,24,2,13,23,19,14,7,3,17,10,1,12,6
22,8,5,15,20,21,9,18,4,11,16,24,2,13,23,19,14,7,3,17,10,1,12,6
22,7,5,16,19,21,9,18,3,11,15,24,2,13,23,20,14,8,4,17,10,1,12,6
23,7,5,16,19,22,9,18,3,11,15,24,2,14,21,20,13,8,4,17,10,1,12,6
23,7,5,16,19,22,9,18,3,11,14,24,2,15,21,20,13,8,4,17,10,1,12,6
22,7,5,16,19,23,9,18,3,11,13,24,2,15,21,20,14,8,4,17,10,1,12,6
22,7,5,16,19,23,9,18,2,11,13,24,3,15,21,20,14,8,4,17,10,1,12,6
22,7,5,16,20,23,9,18,2,11,13,24,3,15,19,21,14,8,4,17,10,1,12,6
22,8,5,16,20,23,9,18,2,11,14,24,3,15,19,21,13,7,4,17,10,1,12,6
22,8,5,16,20,23,9,18,2,11,14,24,3,15,19,21,13,7,4,17,10,1,12,6
22,8,5,16,20,23,9,18,2,11,13,24,3,15,19,21,14,7,4,17,10,1,12,6
22,8,5,16,20,23,9,18,2,11,14,24,3,15,19,21,13,7,4,17,10,1,12,6
22,8,5,16,20,23,9,18,2,11,14,24,3,15,19,21,13,7,4,17,10,1,12,6
22,8,5,16,20,23,9,18,2,12,14,24,3,15,19,21,13,6,4,17,10,1,11,7
22,8,5,16,20,23,9,18,2,12,14,24,3,15,19,21,13,6,4,17,10,1,11,7
22,8,5,16,20,23,9,18,2,12,14,24,3,15,19,21,13,6,4,17,10,1,11,7
