AFC Wimbledon,Barrow,Bradford,Carlisle,Colchester,Crawley Town,Crewe Alexandra,Doncaster Rovers,Gillingham,Grimsby,Harrogate Town,Hartlepool,Leyton Orient,Mansfield Town,Newport County,Northampton Town,Rochdale,Salford City,Stevenage,Stockport County,Sutton United,Swindon Town,Tranmere,Walsall
4,17,6,7,22,13,24,16,18,14,23,15,9,12,19,1,21,10,5,3,20,2,11,8
9,18,3,7,21,15,22,14,20,16,19,13,2,11,23,1,17,5,6,4,24,10,12,8
10,19,1,8,21,15,24,14,18,13,20,16,7,12,23,2,17,3,5,6,22,9,11,4
10,18,1,6,16,20,24,14,22,13,15,21,5,12,17,2,23,7,3,4,19,9,11,8
10,18,4,5,16,20,24,14,21,13,17,22,1,12,15,6,23,8,2,7,19,9,11,3
10,17,2,5,16,20,24,15,21,14,13,22,1,12,18,6,23,8,4,7,19,11,9,3
10,17,2,4,15,20,22,14,21,13,16,23,1,12,19,7,24,8,3,5,18,11,9,6
9,18,3,5,15,20,22,14,21,13,16,23,1,12,19,7,24,8,4,6,17,11,10,2
9,19,2,5,16,20,22,15,21,14,13,23,1,12,18,6,24,8,4,7,17,10,11,3
9,19,2,4,16,20,21,15,22,14,13,24,1,12,18,6,23,8,3,7,17,11,10,5
9,17,4,2,19,20,21,18,22,14,13,24,1,12,16,6,23,8,5,7,15,11,10,3
9,17,3,2,19,20,21,18,22,14,13,23,1,12,16,6,24,8,5,7,15,11,10,4
9,17,3,2,19,20,21,18,22,14,13,23,1,12,16,7,24,8,4,6,15,10,11,5
10,16,3,2,18,20,21,19,22,14,13,24,1,12,15,6,23,8,4,7,17,11,9,5
9,16,3,2,19,20,21,17,23,14,13,24,1,12,15,6,22,8,4,7,18,11,10,5
9,14,3,2,19,21,20,18,22,16,13,24,1,12,17,6,23,8,4,7,15,11,10,5
10,14,3,2,19,21,20,18,22,16,12,23,1,13,17,6,24,8,4,7,15,11,9,5
10,14,4,2,19,21,20,18,24,16,12,23,1,13,17,6,22,8,3,7,15,11,9,5
10,14,4,2,20,21,19,18,24,16,11,23,1,13,17,6,22,8,3,7,15,12,9,5
10,14,4,2,18,21,20,19,24,16,11,23,1,13,17,5,22,8,3,7,15,12,9,6
10,14,4,2,18,20,21,19,23,16,12,24,1,13,17,5,22,8,3,7,15,11,9,6
10,14,4,2,18,20,21,19,23,16,12,24,1,13,17,5,22,8,3,7,15,11,9,6
11,14,5,2,19,20,21,18,23,15,10,24,1,13,17,6,22,8,3,7,16,12,9,4
10,14,6,2,19,20,21,18,23,15,11,24,1,13,17,5,22,8,4,7,16,12,9,3
10,14,7,2,19,20,21,18,23,15,11,24,1,12,17,4,22,8,3,6,16,13,9,5
10,14,7,2,19,20,21,18,23,15,11,24,1,13,17,4,22,8,3,6,16,12,9,5
10,14,8,2,19,20,21,18,23,15,12,24,1,13,17,3,22,7,4,5,16,11,9,6
10,14,8,3,19,20,21,18,23,15,13,24,1,12,17,2,22,6,4,5,16,11,9,7
10,13,8,3,19,20,21,18,23,16,14,24,1,12,17,2,22,7,4,5,15,11,9,6
10,13,8,4,18,20,21,19,23,16,14,24,1,12,17,3,22,7,2,5,15,11,9,6
10,13,8,5,19,20,21,18,23,16,14,24,1,12,17,3,22,7,2,4,15,11,9,6
10,13,8,5,19,20,21,17,23,16,14,24,1,12,18,3,22,7,2,4,15,11,9,6
10,13,8,5,18,20,21,16,22,15,14,24,1,12,19,3,23,7,2,4,17,11,9,6
10,13,8,5,18,20,21,17,22,14,15,24,1,12,19,3,23,7,2,4,16,11,9,6
10,13,8,5,18,20,21,17,22,14,15,24,1,11,19,3,23,7,2,4,16,12,9,6
10,13,8,5,18,20,21,15,22,14,16,24,1,11,19,3,23,7,2,4,17,12,9,6
10,14,8,5,19,20,21,15,22,13,16,23,1,11,18,3,24,7,2,4,17,12,9,6
11,13,8,5,19,20,21,15,22,14,16,23,1,10,18,3,24,6,2,4,17,12,9,7
12,14,8,5,19,20,21,15,22,13,16,23,1,9,18,3,24,6,2,4,17,11,10,7
12,14,8,5,19,20,21,15,22,13,17,23,1,11,16,3,24,6,2,4,18,9,10,7
12,14,8,5,19,20,21,15,22,13,17,23,1,10,16,3,24,6,2,4,18,9,11,7
12,14,8,5,19,20,21,15,22,13,18,23,1,10,16,3,24,6,2,4,17,9,11,7
12,14,8,5,19,20,21,16,22,13,18,23,1,10,15,3,24,6,2,4,17,9,11,7
12,14,8,5,19,20,21,16,22,13,18,23,1,10,15,3,24,6,2,4,17,9,11,7
12,14,8,5,19,20,21,16,22,13,18,23,1,10,15,3,24,6,2,4,17,9,11,7
12,14,8,5,19,20,21,16,22,13,18,23,1,10,15,3,24,6,2,4,17,9,11,7
