Aldershot,Altrincham,Barnet,Boreham Wood,Bromley,Chesterfield,Dagenham and Redbridge,Dorking Wanderers,Eastleigh,Gateshead,Halifax,Maidenhead United,Maidstone,Notts County,Oldham Athletic,Scunthorpe United,Solihull,Southend,Torquay,Wealdstone,Woking,Wrexham,Yeovil Town,York City
4,21,10,6,12,17,5,22,16,13,9,14,20,2,19,24,18,11,23,7,1,3,15,8
6,20,9,7,13,5,10,22,15,18,11,19,21,1,17,24,14,4,23,8,2,3,12,16
4,20,10,9,14,5,8,22,16,12,19,13,21,1,17,24,15,6,23,7,3,2,11,18
6,12,7,9,11,4,8,21,16,18,20,17,23,1,15,24,10,5,22,13,3,2,14,19
8,10,4,9,12,6,5,21,16,19,20,18,23,1,15,24,11,7,22,13,3,2,14,17
7,11,4,9,12,6,5,21,16,19,20,18,23,1,15,24,10,8,22,13,3,2,14,17
5,11,3,9,12,8,7,21,15,19,20,18,23,1,16,24,10,6,22,13,4,2,14,17
7,10,3,8,12,6,9,21,16,19,20,17,24,1,15,23,11,5,22,13,4,2,14,18
8,11,4,9,12,7,6,21,16,19,20,17,24,1,15,23,10,5,22,13,3,2,14,18
8,11,5,9,12,7,6,21,16,19,20,18,24,1,14,23,10,3,22,13,4,2,15,17
6,10,5,9,12,7,8,21,16,19,20,17,24,1,14,23,11,3,22,13,4,2,15,18
7,11,4,8,12,6,9,21,18,19,20,16,24,1,14,23,10,5,22,13,3,2,15,17
9,11,5,6,12,7,8,21,16,19,20,18,24,1,17,23,10,3,22,13,4,2,14,15
9,11,4,6,10,8,7,17,16,20,21,18,24,1,19,23,12,3,22,13,5,2,15,14
9,11,3,6,10,8,7,17,16,18,21,19,24,1,20,23,12,4,22,13,5,2,15,14
10,11,4,6,8,7,9,17,14,18,21,19,24,1,20,23,12,3,22,13,5,2,16,15
10,11,4,6,8,7,9,17,14,18,21,20,24,1,19,23,12,3,22,13,5,2,16,15
10,11,3,7,8,6,9,18,13,17,21,20,24,1,19,23,12,4,22,14,5,2,16,15
10,12,4,7,8,6,9,18,14,17,21,19,24,1,20,23,13,3,22,11,5,2,16,15
10,12,4,7,8,6,9,18,14,16,21,19,24,1,20,23,13,3,22,11,5,2,17,15
10,11,5,6,8,7,9,18,15,16,21,19,24,1,20,23,12,4,22,13,3,2,17,14
10,12,5,7,8,6,9,18,14,16,21,19,24,1,20,23,11,4,22,13,3,2,17,15
10,12,3,7,8,6,9,18,14,16,21,19,24,1,20,23,11,5,22,13,4,2,17,15
11,12,3,7,8,6,9,19,15,16,21,18,24,1,20,23,10,4,22,13,5,2,17,14
11,12,3,6,8,7,10,18,15,16,21,19,24,1,20,23,9,4,22,13,5,2,17,14
11,13,3,7,8,6,10,18,12,17,21,19,24,1,20,23,9,4,22,14,5,2,16,15
11,13,3,7,8,6,10,20,12,17,22,18,24,1,19,23,9,4,21,14,5,2,16,15
11,14,4,7,8,6,10,20,13,16,22,18,24,1,19,23,9,3,21,12,5,2,17,15
11,15,5,7,8,6,10,20,13,16,22,18,24,2,19,23,9,3,21,12,4,1,17,14
11,15,4,7,8,6,10,20,12,16,22,18,24,2,19,23,9,3,21,13,5,1,17,14
11,15,5,7,8,6,10,20,13,16,21,17,24,2,19,23,9,3,22,12,4,1,18,14
12,15,5,7,8,6,10,21,11,16,20,17,24,2,19,23,9,3,22,14,4,1,18,13
12,15,5,7,8,6,11,21,10,16,20,17,24,2,19,23,9,4,22,14,3,1,18,13
12,15,5,7,8,6,11,21,10,16,20,18,24,2,19,23,9,4,22,14,3,1,17,13
12,15,5,7,8,6,11,21,10,16,20,19,24,2,18,23,9,4,22,14,3,1,17,13
12,17,6,7,8,5,11,21,10,15,20,19,24,2,18,23,9,4,22,14,3,1,16,13
12,17,6,7,8,5,11,21,10,15,20,19,24,2,18,23,9,4,22,14,3,1,16,13
12,18,6,7,8,5,11,21,10,15,20,19,24,2,17,23,9,4,22,14,3,1,16,13
12,18,6,7,8,5,11,21,10,15,20,17,24,2,19,23,9,4,22,14,3,1,16,13
12,19,6,7,8,5,11,21,10,15,20,17,24,2,18,23,9,4,22,14,3,1,16,13
12,18,6,7,8,4,11,21,10,15,20,17,24,2,19,23,9,5,22,14,3,1,16,13
12,18,6,7,9,4,11,21,10,15,20,17,24,2,19,23,8,5,22,14,3,1,16,13
12,18,6,7,8,4,11,21,10,16,20,17,24,2,19,23,9,5,22,15,3,1,14,13
12,19,6,7,9,4,11,21,10,16,20,18,24,2,17,23,8,5,22,15,3,1,14,13
12,19,6,7,9,4,11,21,10,16,20,18,24,2,17,23,8,5,22,15,3,1,14,13
12,19,6,7,9,4,11,21,10,16,20,18,24,2,17,23,8,5,22,15,3,1,14,13
