AC Ajaccio,Angers SCO,Auxerre,Brest,Clermont,Lens,Lille,Lorient,Monaco,Montpellier,Nantes,Nice,Olympique Lyonnais,Olympique Marseille,Paris Saint-Germain,RC Strasbourg,Rennes,Stade de Reims,Toulouse,Troyes
20,14,16,17,8,7,10,9,4,15,11,12,1,3,2,19,5,6,18,13
19,17,18,13,10,6,8,12,3,16,11,7,5,2,1,20,4,9,15,14
19,18,20,14,11,6,7,10,5,13,12,8,4,2,1,17,3,9,16,15
19,18,20,15,9,6,7,11,3,14,12,8,4,2,1,17,5,10,13,16
20,18,19,14,12,5,6,9,3,17,13,8,7,2,1,16,4,11,10,15
20,18,19,14,12,4,6,9,3,15,13,8,7,2,1,16,5,11,10,17
20,18,19,15,12,6,3,10,4,14,13,8,5,2,1,17,7,11,9,16
19,20,18,13,16,6,3,9,4,17,12,8,7,2,1,14,5,11,10,15
19,20,18,14,12,4,2,9,5,17,13,8,7,3,1,15,6,11,10,16
19,20,18,14,12,4,2,10,6,17,13,8,7,3,1,15,5,11,9,16
19,20,18,14,12,4,3,10,6,15,13,8,7,2,1,16,5,11,9,17
19,20,18,14,11,4,3,10,6,15,13,8,7,2,1,16,5,12,9,17
19,20,18,15,12,5,3,10,6,14,11,8,7,2,1,16,4,13,9,17
19,20,18,17,15,5,4,9,6,16,12,8,7,2,1,13,3,11,10,14
19,20,18,16,14,5,3,9,6,17,15,8,7,2,1,12,4,10,11,13
19,20,18,16,12,5,4,9,6,17,14,8,7,2,1,13,3,11,10,15
19,20,18,16,12,4,5,9,6,17,15,8,7,2,1,13,3,11,10,14
19,20,18,17,12,5,4,10,6,16,13,8,7,2,1,14,3,11,9,15
19,20,18,17,12,4,3,10,6,16,13,8,7,2,1,14,5,11,9,15
19,20,18,17,12,4,3,10,6,16,15,8,7,2,1,13,5,11,9,14
18,19,20,17,12,3,4,10,6,16,15,8,7,2,1,13,5,11,9,14
19,20,18,17,12,3,5,10,6,14,16,8,7,2,1,13,4,11,9,15
19,20,18,17,12,3,5,10,6,16,14,8,7,2,1,15,4,11,9,13
19,20,18,17,13,3,5,10,6,16,12,8,7,2,1,15,4,11,9,14
19,20,18,17,13,3,5,9,6,16,12,8,7,2,1,15,4,11,10,14
19,20,18,17,12,3,4,10,6,16,13,8,7,2,1,14,5,11,9,15
18,20,19,17,12,3,5,9,6,16,13,8,7,2,1,14,4,11,10,15
19,20,18,17,13,3,6,9,5,16,12,8,7,2,1,14,4,11,10,15
19,20,18,17,13,3,6,10,5,16,12,8,7,2,1,15,4,11,9,14
19,20,18,17,14,3,6,9,5,16,12,8,7,2,1,15,4,11,10,13
18,20,19,17,14,3,6,10,5,16,13,7,8,2,1,15,4,9,11,12
18,20,19,16,13,3,6,11,5,15,12,7,8,2,1,17,4,9,10,14
18,20,19,16,13,3,6,11,5,15,12,7,8,2,1,17,4,10,9,14
18,20,19,16,13,3,6,10,5,15,12,8,7,2,1,17,4,11,9,14
18,20,19,15,13,3,6,9,4,16,12,7,8,2,1,17,5,11,10,14
18,20,19,15,13,3,6,9,4,16,12,7,8,2,1,17,5,10,11,14
18,20,19,15,13,3,6,9,4,16,12,7,8,2,1,17,5,10,11,14
18,20,19,15,13,3,6,9,4,16,12,7,8,2,1,17,5,10,11,14
