Amiens SC,Annecy,Bordeaux,Caen,Chamois Niortais,Dijon,FC Metz,FC Pau,Grenoble,Guingamp,Havre AC,Laval,Nimes Olympique,Paris FC,Rodez AF,SC Bastia,Sochaux,St Etienne,US Quevilly,Valenciennes
6,12,3,9,20,19,1,8,14,11,2,16,17,18,10,15,4,7,13,5
7,14,3,9,20,8,2,6,11,5,1,16,19,18,17,10,4,15,12,13
10,14,2,5,20,6,3,7,8,9,1,17,19,18,15,11,4,13,16,12
11,6,2,5,20,14,4,9,10,15,1,18,19,13,17,7,3,16,12,8
6,9,3,5,20,8,2,13,7,10,1,16,19,15,18,12,4,17,14,11
6,9,2,5,20,8,4,11,7,16,1,15,19,14,17,12,3,18,10,13
8,9,2,6,20,10,4,13,7,5,1,17,19,15,16,12,3,18,11,14
10,5,2,8,20,13,4,14,9,7,1,17,19,12,16,15,3,18,6,11
10,5,2,9,20,14,3,15,8,7,1,16,19,13,18,11,4,17,6,12
11,6,3,9,20,12,2,15,7,8,1,17,19,14,18,10,4,16,5,13
12,6,3,11,20,8,2,15,7,9,1,17,18,13,19,10,4,16,5,14
10,7,2,9,20,11,3,15,6,12,1,16,17,13,19,8,4,18,5,14
11,6,2,10,20,12,4,15,7,8,1,16,19,13,18,9,3,17,5,14
10,5,2,9,20,11,3,14,7,8,1,16,19,15,18,12,4,17,6,13
10,5,2,9,20,11,3,16,7,8,1,15,19,14,17,12,4,18,6,13
10,5,2,9,20,11,3,16,7,8,1,17,19,13,18,12,4,15,6,14
8,6,2,11,20,12,3,16,7,9,1,17,18,14,19,10,4,15,5,13
8,6,2,11,20,12,3,16,7,9,1,17,18,14,19,10,4,15,5,13
8,6,2,11,20,12,3,16,7,9,1,18,17,14,19,10,4,15,5,13
8,6,2,9,20,12,4,15,7,10,1,18,17,14,19,11,3,16,5,13
8,6,2,9,20,12,4,16,7,10,1,18,17,15,19,11,3,14,5,13
8,6,2,9,20,12,4,16,7,11,1,18,17,15,19,10,3,14,5,13
8,6,2,9,20,12,4,18,7,11,1,16,17,15,19,10,3,13,5,14
8,6,2,9,20,12,4,18,7,11,1,16,17,13,19,10,3,14,5,15
9,6,2,8,20,12,4,17,7,11,1,16,18,13,19,10,3,14,5,15
9,6,2,8,20,12,4,17,7,11,1,16,18,14,19,10,3,15,5,13
8,7,2,9,20,15,4,16,6,11,1,17,18,13,19,10,3,14,5,12
7,8,2,9,20,15,4,16,6,12,1,17,18,14,19,10,3,11,5,13
7,8,2,9,20,15,4,17,5,12,1,16,19,14,18,10,3,11,6,13
7,8,2,9,20,15,4,17,6,12,1,16,19,14,18,10,3,11,5,13
7,8,2,9,20,15,4,17,6,12,1,16,19,14,18,10,3,11,5,13
7,8,2,9,20,15,4,17,5,12,1,16,18,14,19,10,3,11,6,13
7,9,2,8,20,15,4,17,5,12,1,16,18,14,19,10,3,11,6,13
6,9,2,8,20,16,4,17,5,14,1,15,19,12,18,10,3,11,7,13
6,9,2,8,20,16,4,17,5,14,1,15,19,12,18,10,3,13,7,11
6,9,2,8,20,16,4,17,5,14,1,15,19,12,18,10,3,13,7,11
6,9,2,8,20,16,4,17,5,14,1,15,19,12,18,10,3,13,7,11
7,9,2,6,20,16,4,17,5,14,1,15,19,12,18,10,3,13,8,11
