Bastia-Borgo,Bourg Peronnas,Briochin,CS Sedan,FC Martigues,FC Versailles,LB Chateauroux,Le Mans,Le Puy,Nancy,Orleans,Paris 13 Atletico,Red Star,SO Cholet,US Avranches,US Concarneau,USL Dunkerque,Villefranche Beaujolais
14,12,15,4,1,7,18,5,16,6,13,17,9,3,10,11,8,2
18,12,15,8,1,10,14,2,16,11,13,17,3,5,7,4,9,6
18,14,16,9,3,12,13,4,17,8,11,15,1,2,7,5,10,6
18,13,15,9,5,12,14,3,17,7,11,16,1,2,8,4,10,6
18,14,7,12,5,13,15,4,17,10,6,16,3,1,11,2,9,8
18,15,8,12,5,10,11,4,17,14,7,16,3,2,9,1,6,13
18,15,11,12,6,7,10,4,17,14,8,16,3,2,9,1,5,13
18,15,12,13,7,6,11,5,17,14,8,16,2,3,10,1,4,9
18,15,13,14,7,5,12,6,17,10,9,16,2,4,11,1,3,8
18,11,14,15,7,3,13,6,17,10,9,16,2,5,12,1,4,8
18,9,12,15,6,3,14,7,17,11,10,16,2,5,13,1,4,8
18,9,12,15,5,4,14,7,17,11,10,16,2,6,13,1,3,8
18,9,12,15,5,4,14,6,17,11,10,16,2,7,13,1,3,8
18,9,13,15,5,4,14,6,17,12,11,16,2,7,10,1,3,8
18,9,13,15,5,3,14,6,17,12,11,16,2,7,10,1,4,8
18,10,13,16,5,4,14,7,17,12,8,15,2,6,11,1,3,9
18,11,13,16,5,4,14,6,17,12,9,15,2,7,8,1,3,10
18,11,13,14,5,3,15,6,17,12,8,16,2,7,10,1,4,9
18,11,14,13,5,3,16,6,17,12,8,15,2,7,10,1,4,9
18,10,14,13,5,3,16,6,17,12,8,15,2,7,11,1,4,9
18,10,14,12,3,4,16,6,17,13,8,15,2,7,11,1,5,9
18,9,15,12,3,6,16,5,17,13,7,14,2,8,11,1,4,10
18,8,15,12,3,5,16,4,17,13,7,14,1,9,11,2,6,10
18,10,15,12,3,5,17,4,16,13,7,14,1,8,11,2,6,9
18,11,15,12,4,5,17,3,16,13,8,14,1,9,7,2,6,10
18,11,15,12,4,5,17,3,16,13,7,14,1,9,8,2,6,10
18,11,15,12,4,5,17,3,16,13,7,14,1,9,8,2,6,10
18,11,15,12,4,5,17,3,16,13,7,14,1,9,8,2,6,10
18,11,15,12,4,5,17,3,16,13,7,14,1,9,8,2,6,10
18,11,15,12,4,5,17,3,16,13,7,14,1,9,8,2,6,10
18,10,15,12,4,5,17,3,16,13,7,14,1,9,8,2,6,11
18,10,15,12,4,5,17,2,16,13,7,14,1,9,8,3,6,11
18,10,15,12,4,5,17,2,16,13,7,14,1,9,8,3,6,11
18,10,15,12,4,5,17,2,16,13,7,14,1,9,8,3,6,11
