Augsburg,Bayern Munich,Bochum,Dortmund,Eintracht Frankfurt,FC Koln,Freiburg,Hertha Berlin,Hoffenheim,Leverkusen,Mainz 05,Monchengladbach,RB Leipzig,Schalke 04,Union Berlin,VfB Stuttgart,Werder Bremen,Wolfsburg
12,2,17,4,1,9,11,18,14,13,16,10,6,7,8,5,15,3
12,2,17,4,1,13,8,18,9,10,16,11,5,14,6,7,15,3
16,2,18,5,1,10,9,17,12,13,15,7,4,14,3,8,11,6
12,2,18,6,1,10,8,16,14,13,17,7,5,15,3,9,11,4
12,2,18,6,1,11,7,16,14,13,15,8,5,17,3,9,10,4
15,2,18,6,1,10,8,16,11,12,13,7,5,17,3,14,9,4
12,2,18,7,1,10,8,16,11,13,14,6,5,17,4,15,9,3
14,2,18,6,1,10,8,16,12,11,13,7,5,17,4,15,9,3
14,2,17,5,1,9,8,16,13,10,12,7,6,18,4,15,11,3
9,2,17,6,1,10,8,16,14,11,13,5,7,18,4,15,12,3
9,2,16,6,1,10,8,17,14,11,13,5,7,18,4,15,12,3
8,2,16,6,1,10,9,17,15,11,14,5,7,18,4,12,13,3
8,2,16,5,1,9,10,17,15,11,14,6,7,18,4,12,13,3
10,2,15,5,1,8,9,17,16,11,14,6,7,18,4,12,13,3
10,2,16,5,1,9,8,17,15,11,13,6,7,18,4,12,14,3
11,2,15,5,1,8,9,17,16,10,12,6,7,18,4,13,14,3
11,1,16,6,2,9,8,17,14,10,12,5,7,18,4,13,15,3
11,1,16,5,2,9,8,17,12,10,13,6,7,18,4,14,15,3
11,1,16,5,2,10,8,17,13,9,12,7,6,18,4,15,14,3
11,1,16,4,2,9,8,17,12,10,15,7,5,18,6,14,13,3
11,1,16,4,2,9,8,17,13,10,12,7,5,18,6,15,14,3
11,1,16,4,2,9,8,17,15,10,12,7,5,18,6,14,13,3
11,1,16,5,2,9,8,17,15,10,12,7,4,18,6,14,13,3
12,1,16,5,2,9,8,17,15,10,11,7,4,18,6,14,13,3
12,1,16,5,2,9,8,17,14,10,11,7,4,18,6,15,13,3
12,1,17,5,2,10,8,16,13,9,11,7,3,18,6,15,14,4
14,1,17,5,3,10,8,16,12,9,11,7,2,18,6,15,13,4
14,1,17,5,3,10,8,16,13,9,12,7,2,18,6,15,11,4
14,1,17,5,3,10,8,16,13,9,12,7,2,18,6,15,11,4
14,1,17,5,3,10,8,16,13,9,11,7,2,18,6,15,12,4
14,1,17,5,3,10,8,16,13,9,11,7,2,18,6,15,12,4
14,1,17,5,3,10,8,16,13,9,11,7,2,18,6,15,12,4
14,1,17,5,3,10,8,16,13,9,11,7,2,18,6,15,12,4
14,1,17,5,3,10,8,16,13,9,11,7,2,18,6,15,12,4
