Arminia Bielefeld,Braunschweig,Darmstadt 98,Fortuna Dusseldorf,Greuther Furth,Hamburger SV,Hannover 96,Hansa Rostock,Heidenheim,Holstein Kiel,Jahn Regensburg,Kaiserslautern,Karlsruher SC,Magdeburg,Nurnberg,Paderborn,Sandhausen,St Pauli
11,18,4,8,7,6,3,13,5,17,15,1,16,14,12,2,10,9
12,14,3,8,7,4,6,11,5,9,15,1,13,18,16,2,17,10
11,14,2,8,7,4,6,12,5,10,16,1,13,18,15,3,17,9
11,14,2,9,6,4,8,12,5,10,17,1,13,18,15,3,16,7
11,14,2,9,6,4,8,13,5,10,18,1,12,16,15,3,17,7
12,14,1,9,6,5,8,11,4,10,18,2,13,17,15,3,16,7
13,15,3,9,7,4,8,12,5,10,18,1,14,17,16,2,11,6
12,14,3,9,7,4,8,16,5,10,18,1,13,17,15,2,11,6
12,14,2,9,7,4,8,16,5,10,18,3,13,17,15,1,11,6
13,12,2,9,7,5,8,14,6,10,18,3,15,16,17,1,11,4
14,12,2,9,7,4,8,13,5,10,18,3,15,16,17,1,11,6
15,12,2,7,8,5,9,13,4,10,16,3,17,14,18,1,11,6
15,11,2,8,7,5,9,13,4,10,17,3,16,14,18,1,12,6
15,10,2,7,8,5,9,13,4,11,18,3,16,14,17,1,12,6
15,11,1,7,8,5,10,13,4,9,18,3,17,14,16,2,12,6
14,11,1,7,8,5,9,13,4,10,18,3,16,17,15,2,12,6
14,11,1,7,9,5,10,13,4,8,18,3,17,16,15,2,12,6
14,11,1,7,10,5,9,13,4,8,18,3,16,17,15,2,12,6
13,11,1,7,10,5,9,14,3,8,17,4,16,18,15,2,12,6
12,11,1,7,10,5,8,14,3,9,18,4,16,17,15,2,13,6
11,12,1,7,10,5,9,15,4,8,18,3,14,17,16,2,13,6
12,11,1,7,10,5,9,15,4,8,18,3,14,17,16,2,13,6
11,12,1,6,10,5,8,15,3,9,18,4,13,17,16,2,14,7
11,12,1,6,10,5,8,15,3,9,18,4,13,17,16,2,14,7
11,13,1,6,10,4,8,15,3,9,18,5,12,17,16,2,14,7
11,13,1,6,10,4,9,15,3,8,18,5,12,17,16,2,14,7
11,13,1,6,10,4,7,15,3,9,18,5,12,17,16,2,14,8
10,13,1,6,11,4,8,15,3,7,17,5,12,18,16,2,14,9
10,13,1,6,11,4,7,15,3,8,17,5,12,18,16,2,14,9
10,13,1,6,12,4,8,15,3,7,17,5,11,18,16,2,14,9
10,13,1,7,12,4,6,15,3,8,17,5,11,18,16,2,14,9
10,13,1,7,12,4,6,15,3,8,17,5,11,18,16,2,14,9
11,13,1,7,12,4,6,15,3,8,17,5,10,18,16,2,14,9
10,13,1,7,12,4,6,15,3,8,18,5,11,17,16,2,14,9
