Dortmund II,Dynamo Dresden,Elversberg,Erzgebirge Aue,Freiburg II,Hallescher FC,Ingolstadt,MSV Duisburg,Mannheim,Munich 1860,Osnabruck,RW Essen,SV Meppen,Saarbrucken,SpVgg Bayreuth,Verl,VfB Oldenburg,Viktoria Koln,Wehen Wiesbaden,Zwickau
14,8,2,11,3,13,5,20,12,7,1,17,18,4,10,9,19,16,6,15
13,7,1,12,8,16,5,18,10,6,2,14,17,3,19,9,20,11,4,15
16,7,1,12,8,14,4,17,11,6,2,13,18,3,20,9,19,10,5,15
17,7,1,13,8,15,3,12,11,6,2,14,18,4,20,9,19,10,5,16
18,5,1,14,9,16,3,12,8,7,2,13,19,6,20,11,15,10,4,17
19,4,1,14,9,16,3,13,7,8,2,10,17,6,20,12,15,11,5,18
17,2,1,14,9,16,4,13,7,8,3,10,19,5,20,12,15,11,6,18
17,2,1,15,9,16,5,13,7,8,3,10,19,4,20,12,14,11,6,18
18,2,1,15,9,16,5,13,7,8,3,10,17,4,20,12,14,11,6,19
19,2,1,15,9,16,4,13,7,8,3,10,18,5,20,12,14,11,6,17
18,2,1,15,9,16,6,13,7,8,3,10,19,4,20,12,14,11,5,17
18,2,1,15,8,16,5,11,7,9,6,10,19,4,20,13,14,12,3,17
18,2,1,15,9,17,6,11,7,8,4,10,19,5,20,13,14,12,3,16
18,3,1,15,9,17,6,11,7,8,4,10,19,5,20,13,14,12,2,16
18,2,1,15,8,16,6,11,9,7,4,10,20,5,19,13,14,12,3,17
17,2,1,15,8,18,6,11,9,7,3,10,19,5,20,13,14,12,4,16
16,3,1,15,9,17,6,12,8,7,2,11,19,5,20,10,14,13,4,18
18,3,1,15,9,16,5,12,7,8,2,10,19,6,20,11,14,13,4,17
17,3,1,15,9,16,5,11,7,8,2,10,19,6,20,12,14,13,4,18
17,3,1,15,9,16,5,12,7,8,2,10,19,6,20,11,14,13,4,18
17,2,1,15,9,16,6,12,7,8,3,10,19,5,20,11,14,13,4,18
16,2,1,15,9,17,6,13,7,8,4,10,19,5,20,11,14,12,3,18
17,2,1,15,9,16,6,13,7,8,4,10,19,5,20,11,14,12,3,18
18,2,1,15,9,16,6,12,7,8,5,10,19,4,20,11,14,13,3,17
18,2,1,15,8,17,6,11,9,7,5,10,19,4,20,12,14,13,3,16
18,3,1,14,8,17,6,11,9,7,5,10,19,4,20,12,15,13,2,16
18,3,1,14,8,17,6,10,9,7,5,11,19,4,20,12,15,13,2,16
17,3,1,14,8,18,7,10,9,6,5,11,19,4,20,12,15,13,2,16
18,3,1,14,8,17,7,10,9,6,5,12,19,4,20,13,15,11,2,16
18,3,1,14,8,16,7,11,9,5,6,13,19,4,20,12,15,10,2,17
17,3,1,14,8,15,7,11,9,5,6,13,19,4,20,12,16,10,2,18
17,3,1,14,8,15,7,11,9,5,6,13,19,4,20,12,16,10,2,18
17,3,1,14,8,15,7,11,9,5,6,13,19,4,20,12,16,10,2,18
17,3,1,14,8,15,7,11,9,5,6,13,19,4,20,12,16,10,2,18
17,3,1,14,8,15,7,11,9,5,6,13,19,4,20,12,16,10,2,18
17,3,1,14,8,15,7,12,9,5,6,13,19,4,20,11,16,10,2,18
17,3,1,14,8,15,7,12,9,5,6,13,19,4,20,11,16,10,2,18
17,3,1,14,8,15,7,12,9,5,6,13,19,4,20,10,16,11,2,18
