AZ Alkmaar,Ajax Amsterdam,Cambuur,Excelsior,FC Emmen,Feyenoord Rotterdam,For Sittard,Go Ahead Eagles,Groningen,Heerenveen,NEC Nijmegen,PSV Eindhoven,Sparta Rotterdam,Twente Enschede,Utrecht,Vitesse,Volendam,Waalwijk
6,3,17,16,15,1,12,7,13,8,11,2,10,4,5,14,18,9
7,1,17,18,15,3,11,12,14,5,9,2,6,4,10,13,16,8
6,2,18,17,15,3,10,9,16,12,8,1,5,4,11,13,14,7
6,2,18,17,15,3,12,10,16,9,7,1,5,4,11,13,14,8
6,2,18,17,15,3,11,12,16,7,8,1,5,4,10,13,14,9
6,2,18,17,15,3,11,12,16,7,8,1,5,4,9,13,14,10
6,2,18,17,16,3,11,12,14,8,9,1,5,4,10,13,15,7
6,2,18,16,17,3,11,12,14,7,9,1,5,4,10,13,15,8
5,2,18,16,17,3,11,13,14,7,9,1,6,4,10,12,15,8
5,2,18,15,17,3,11,13,14,9,8,1,6,4,10,12,16,7
5,2,18,15,17,3,10,13,14,7,9,1,6,4,11,12,16,8
6,2,18,15,17,3,11,13,14,8,7,1,5,4,10,12,16,9
5,2,18,15,16,3,11,12,14,9,7,1,6,4,10,13,17,8
5,3,18,16,15,2,11,12,14,9,6,1,7,4,10,13,17,8
5,3,18,15,16,2,11,13,14,10,8,1,6,4,9,12,17,7
5,3,18,15,16,2,11,12,14,10,6,1,7,4,9,13,17,8
5,3,18,16,17,2,12,11,14,10,6,1,7,4,9,13,15,8
5,3,18,17,14,1,13,11,15,10,6,2,7,4,9,12,16,8
5,3,18,15,16,1,11,12,14,10,6,2,7,4,8,13,17,9
5,2,18,14,17,1,13,11,15,10,7,3,6,4,8,12,16,9
5,2,18,15,17,1,13,11,16,10,6,3,7,4,8,12,14,9
5,2,18,16,14,1,12,11,17,10,7,3,6,4,8,13,15,9
5,2,18,14,15,1,12,11,17,10,7,3,6,4,8,13,16,9
5,2,18,15,16,1,12,10,17,11,8,3,6,4,7,13,14,9
5,2,18,16,15,1,12,10,17,11,8,4,6,3,7,13,14,9
5,2,18,16,15,1,12,11,17,10,8,4,6,3,7,13,14,9
5,2,18,16,15,1,12,11,17,10,8,4,6,3,7,13,14,9
5,2,18,15,16,1,12,11,17,10,7,4,6,3,8,13,14,9
5,2,18,15,16,1,12,11,17,10,7,4,6,3,8,13,14,9
5,2,18,15,16,1,12,11,17,10,7,4,6,3,8,13,14,9
5,2,18,15,17,1,12,11,16,10,7,4,6,3,8,13,14,9
6,2,18,15,16,1,12,11,17,10,7,4,5,3,8,13,14,9
6,2,18,15,16,1,12,11,17,10,7,4,5,3,8,13,14,9
6,2,18,15,16,1,12,11,17,10,7,4,5,3,8,13,14,9
