AC Milan,Atalanta,Bologna,Cremonese,Empoli,Fiorentina,Hellas Verona,Internazionale Milano,Juventus,Lazio,Lecce,Monza,Napoli,Roma,Salernitana,Sampdoria,Sassuolo,Spezia,Torino,Udinese
1,5,13,18,11,20,9,3,4,6,17,14,2,7,15,19,16,12,10,8
1,4,11,19,9,16,17,3,7,5,12,14,2,6,15,20,13,18,10,8
1,6,13,19,12,14,17,5,4,3,15,9,2,7,16,20,11,18,10,8
1,7,14,19,10,12,17,6,4,3,15,5,2,8,16,20,11,18,13,9
2,8,14,19,13,11,17,7,4,3,6,5,1,9,16,20,12,18,15,10
1,10,15,19,13,6,17,9,4,3,7,5,2,8,16,20,12,18,14,11
1,7,15,18,14,8,17,6,4,3,9,11,2,5,16,20,12,19,13,10
1,7,15,19,13,10,18,6,4,3,11,9,2,5,17,20,12,16,14,8
3,7,15,20,14,11,18,6,4,2,10,8,1,5,16,19,12,17,13,9
2,8,15,20,14,10,17,7,4,1,9,5,3,6,16,19,12,18,13,11
3,9,15,20,14,10,17,8,4,1,5,7,2,6,16,19,12,18,13,11
4,10,15,20,16,5,17,9,3,1,6,8,2,7,13,19,14,18,12,11
4,10,15,20,16,9,17,5,3,1,6,8,2,7,13,19,14,18,12,11
4,6,15,20,16,11,17,5,3,2,7,10,1,9,13,19,14,18,12,8
4,6,15,20,16,11,17,5,3,2,8,10,1,9,13,19,14,18,12,7
4,7,16,20,14,10,17,5,3,2,8,9,1,11,15,19,13,18,12,6
4,7,16,20,14,9,17,5,3,2,8,11,1,10,15,19,13,18,12,6
4,7,16,20,14,8,17,5,3,2,9,11,1,10,15,19,13,18,12,6
4,7,15,20,13,12,17,5,3,2,10,11,1,8,16,19,14,18,9,6
4,7,15,20,14,12,17,5,3,2,10,11,1,8,16,19,13,18,9,6
4,6,15,20,14,12,17,5,3,2,11,9,1,8,16,19,13,18,10,7
4,6,15,20,14,12,17,5,3,2,9,10,1,8,16,19,13,18,11,7
4,6,15,19,14,11,17,5,3,2,9,10,1,8,16,20,13,18,12,7
5,6,15,19,14,11,17,4,3,2,9,10,1,8,16,20,13,18,12,7
5,6,15,19,14,11,17,4,3,2,9,10,1,8,16,20,13,18,12,7
5,6,14,19,15,11,17,4,3,2,9,10,1,8,16,20,13,18,12,7
4,6,14,19,15,11,17,5,3,2,9,10,1,7,16,20,13,18,12,8
6,5,14,19,15,11,17,4,3,2,9,10,1,8,16,20,13,18,12,7
6,5,13,19,15,12,17,4,3,2,10,11,1,7,16,20,14,18,9,8
6,5,13,19,15,12,17,4,3,2,10,11,1,7,16,20,14,18,9,8
6,5,13,19,15,12,17,4,3,2,10,11,1,7,16,20,14,18,9,8
7,5,14,19,15,12,17,4,3,2,10,11,1,6,16,20,13,18,9,8
7,5,14,19,15,12,17,4,3,2,10,11,1,6,16,20,13,18,9,8
7,5,14,19,15,12,17,4,3,2,10,11,1,6,16,20,13,18,9,8
7,5,14,19,15,12,17,4,3,2,10,11,1,6,16,20,13,18,9,8
7,5,11,19,15,13,17,4,3,2,10,12,1,6,16,20,14,18,9,8
7,5,11,19,15,13,17,4,3,2,10,12,1,6,16,20,14,18,9,8
7,5,10,19,15,13,17,4,3,2,12,11,1,6,16,20,14,18,9,8
