Avispa,Cerezo Osaka,FC Tokyo,Gamba Osaka,Hokkaido Sapporo,Jubilo Iwata,Kashima Antlers,Kashiwa Reysol,Kawasaki Frontale,Kyoto Sanga,Nagoya Grampus,Red Diamonds,Sagan Tosu,Sanfrecce,Shimizu Pulse,Shonan Bellmare,Vissel Kobe,Yokohama Marinos
7,9,6,14,5,16,11,12,2,10,18,3,4,15,17,8,13,1
6,8,13,17,3,16,14,15,1,10,18,4,5,12,9,7,11,2
11,7,9,16,5,18,14,12,1,10,15,4,3,13,17,6,8,2
10,8,9,15,6,17,12,11,1,16,13,3,4,14,18,5,7,2
8,7,11,15,10,18,12,9,1,16,14,3,4,13,17,5,6,2
9,5,12,17,14,18,4,10,1,16,13,3,7,6,15,11,8,2
14,5,13,17,12,18,4,9,2,16,10,3,7,6,15,11,8,1
17,5,12,16,9,18,6,8,1,14,10,4,7,3,13,15,11,2
16,5,12,15,11,18,6,7,2,14,9,4,8,3,13,17,10,1
16,5,8,15,14,18,6,9,2,13,11,4,7,3,12,17,10,1
16,5,6,15,14,18,4,9,2,13,10,7,8,3,12,17,11,1
15,5,7,12,16,18,6,10,2,13,11,4,9,3,8,17,14,1
15,5,7,13,17,18,6,11,2,9,12,4,10,3,8,16,14,1
14,5,7,9,17,18,6,12,2,10,13,4,11,3,8,15,16,1
14,5,6,9,17,18,7,12,2,10,13,4,11,3,8,15,16,1
14,5,7,8,17,18,6,11,2,10,13,4,12,3,9,15,16,1
15,5,7,9,17,18,6,13,2,11,14,4,8,3,10,12,16,1
15,5,7,10,17,18,6,14,2,12,9,4,8,3,11,13,16,1
15,5,9,10,17,18,6,13,2,12,8,4,7,3,11,14,16,1
15,5,8,11,17,18,6,13,2,12,9,4,7,3,10,14,16,1
15,5,7,12,17,18,6,9,2,13,10,4,8,3,11,14,16,1
15,5,7,13,16,18,6,9,2,14,10,4,8,3,12,11,17,1
16,5,7,13,15,18,6,9,2,14,10,4,8,3,12,11,17,1
16,5,7,13,15,18,6,9,2,14,10,4,8,3,12,11,17,1
16,5,7,12,15,18,6,9,2,14,10,4,8,3,13,11,17,1
17,5,7,13,16,18,6,9,2,14,10,4,8,3,12,11,15,1
17,5,7,13,16,18,6,9,2,14,10,4,8,3,12,11,15,1
17,5,7,15,12,18,6,9,2,16,10,4,8,3,14,13,11,1
17,5,7,15,12,18,6,9,2,16,10,4,8,3,13,14,11,1
17,5,7,15,12,18,6,9,2,16,10,4,8,3,13,14,11,1
17,5,7,16,14,18,6,9,2,13,10,4,8,3,15,12,11,1
17,5,7,16,14,18,6,9,2,13,10,4,8,3,15,12,11,1
17,5,7,16,14,18,6,9,2,13,10,4,8,3,15,12,11,1
17,5,7,16,14,18,6,9,2,13,10,4,8,3,15,12,11,1
