Albirex,Blaublitz,Fagiano,Grulla Morioka,HollyHock,JEF United,Machida Zelvia,Montedio Yamagata,Oita Trinita,Omiya Ardija,Renofa Yamaguchi,Roasso Kumamoto,Ryukyu,Thespakusatsu,Tochigi SC,Tokushima Vortis,Tokyo Verdy,Varen Nagasaki,Vegalta Sendai,Ventforet Kofu,Yokohama FC,Zweigen
1,10,7,22,2,3,11,16,12,21,14,8,15,17,5,6,4,18,19,20,13,9
1,12,9,22,11,10,15,3,2,17,13,5,20,18,16,8,4,19,6,21,7,14
1,15,9,22,11,10,13,5,3,17,16,2,21,19,14,8,4,12,6,20,7,18
1,19,9,22,11,3,12,5,6,17,16,4,21,20,13,7,10,14,8,15,2,18
1,16,9,22,12,3,11,4,7,19,14,5,21,17,13,6,10,15,8,18,2,20
1,16,8,22,13,4,11,6,7,19,14,5,21,18,12,3,10,15,9,17,2,20
1,15,9,22,11,4,12,7,5,19,14,6,21,18,13,3,10,16,8,17,2,20
1,15,8,22,12,5,14,6,4,19,11,7,21,18,13,3,10,16,9,17,2,20
1,15,8,22,12,5,14,6,7,18,11,9,21,17,13,3,10,16,4,19,2,20
1,16,5,22,14,6,8,9,7,18,12,10,21,17,13,4,11,15,3,19,2,20
1,16,3,22,14,8,9,6,5,18,12,10,21,17,13,4,11,15,7,19,2,20
1,16,5,22,14,10,11,3,4,18,12,8,21,17,13,6,9,15,7,20,2,19
1,16,5,22,14,6,11,3,4,19,12,10,21,17,13,7,9,15,8,20,2,18
1,16,5,22,13,7,11,3,4,19,12,10,21,18,14,6,9,15,8,17,2,20
1,16,5,22,13,8,11,4,6,20,12,7,21,18,14,3,10,15,9,17,2,19
1,16,4,22,11,8,12,5,6,19,14,7,21,18,15,3,9,13,10,17,2,20
1,16,4,22,12,10,13,5,9,18,11,8,21,19,15,3,6,14,7,17,2,20
1,16,3,22,12,10,13,5,9,19,11,8,21,18,15,4,7,14,6,17,2,20
1,16,3,22,13,11,10,5,9,18,12,8,21,20,15,4,7,14,6,17,2,19
1,16,3,22,13,11,10,5,7,19,12,9,21,20,14,4,8,15,6,17,2,18
1,16,2,22,13,11,10,5,7,18,12,9,21,19,14,4,8,15,6,17,3,20
1,16,3,22,13,10,11,4,7,18,12,9,21,20,14,5,8,15,6,17,2,19
1,16,3,22,13,10,11,4,7,18,12,9,21,20,14,5,8,15,6,17,2,19
1,16,3,22,13,10,11,4,8,18,12,7,21,20,14,5,9,15,6,17,2,19
1,16,3,22,14,10,11,4,8,18,13,7,21,20,15,5,9,12,6,17,2,19
1,16,3,22,12,10,13,4,9,19,11,7,21,20,15,5,8,14,6,17,2,18
1,16,3,22,12,10,13,4,9,18,11,8,21,20,15,5,7,14,6,17,2,19
1,16,3,22,13,11,10,4,9,19,12,8,21,20,15,5,7,14,6,17,2,18
1,16,2,22,13,11,10,4,8,19,12,9,21,20,15,5,7,14,6,17,3,18
1,16,3,22,13,10,11,2,7,18,12,8,20,21,15,5,9,14,6,17,4,19
1,16,2,22,13,10,11,3,7,18,12,8,20,21,15,5,9,14,6,17,4,19
1,17,2,22,13,10,11,3,7,18,12,9,20,21,15,5,8,14,6,16,4,19
1,16,3,22,13,10,11,2,7,18,12,8,20,21,15,5,9,14,6,17,4,19
1,16,3,22,10,11,12,2,7,18,13,8,20,21,15,5,9,14,6,17,4,19
1,16,3,22,10,11,12,2,9,18,13,8,20,21,15,5,7,14,6,17,4,19
1,17,3,22,10,11,12,2,7,19,13,9,20,21,15,5,8,14,6,16,4,18
1,16,3,22,10,11,12,2,7,19,13,9,20,21,15,5,8,14,6,17,4,18
1,16,3,22,10,11,12,2,6,19,13,9,20,21,15,5,8,14,7,17,4,18
1,16,3,22,10,11,12,2,6,19,13,9,20,21,15,5,8,14,7,17,4,18
1,16,3,22,10,11,12,2,6,19,13,9,20,21,15,5,8,14,7,17,4,18
1,15,3,22,10,11,12,2,6,19,13,9,20,21,16,5,8,14,7,17,4,18
1,15,3,22,11,10,12,2,6,19,13,8,20,21,16,5,9,14,7,17,4,18
