CSKA Moscow,Dinamo Moscow,FC Orenburg,FK Khimki,FK Krasnodar,FK Rostov,FK Ural,Fakel Voronezh,Krylia Sovetov,Lokomotiv Moscow,Nizhny Novgorod,Sochi,Spartak Moscow,Terek Grozny,Torpedo Moscow,Zenit St Petersburg
6,4,1,15,2,8,13,11,12,14,10,9,5,7,16,3
1,6,4,16,5,8,10,13,11,14,12,9,3,7,15,2
2,7,4,15,6,8,10,11,12,14,13,9,3,5,16,1
2,6,5,9,8,7,13,10,12,15,14,11,3,4,16,1
2,4,7,11,8,6,14,13,10,15,12,9,3,5,16,1
2,6,7,13,8,5,15,14,10,11,12,9,3,4,16,1
2,5,6,13,8,7,15,14,11,10,12,9,3,4,16,1
2,5,6,13,8,7,15,14,11,9,12,10,3,4,16,1
2,4,6,10,8,7,15,14,11,9,13,12,3,5,16,1
2,4,6,11,7,8,13,15,10,9,14,12,3,5,16,1
2,4,6,12,7,8,15,14,10,9,13,11,3,5,16,1
2,4,6,11,7,8,13,15,12,9,14,10,3,5,16,1
2,4,6,12,7,8,14,15,13,10,11,9,3,5,16,1
2,4,6,14,7,8,12,15,11,10,13,9,3,5,16,1
2,4,6,15,7,8,10,13,12,11,14,9,3,5,16,1
2,4,6,15,7,8,11,10,13,12,14,9,3,5,16,1
2,4,6,15,7,8,11,13,14,12,10,9,3,5,16,1
2,4,7,15,6,8,14,13,11,12,10,9,3,5,16,1
2,4,7,15,6,8,12,14,10,13,11,9,3,5,16,1
2,4,7,15,6,8,12,13,10,14,11,9,3,5,16,1
3,4,7,15,6,8,11,13,10,14,12,9,2,5,16,1
3,4,8,15,6,7,12,13,11,14,10,9,2,5,16,1
3,4,8,15,6,7,12,13,11,14,10,9,2,5,16,1
3,4,8,15,6,7,12,13,10,14,11,9,2,5,16,1
3,4,8,15,6,7,12,13,10,14,11,9,2,5,16,1
3,4,8,15,7,5,12,13,10,14,11,9,2,6,16,1
3,4,8,15,7,5,12,13,10,14,11,9,2,6,16,1
3,4,8,15,7,5,12,13,10,14,11,9,2,6,16,1
3,4,8,15,7,5,12,13,10,14,11,9,2,6,16,1
3,4,8,15,7,5,12,13,10,14,11,9,2,6,16,1
