Akron,Alania Vladikavkaz,Anzhi Makhachkala,Arsenal Tula,Baltika Kaliningrad,Enisey Krasnoyarsk,FC Neftekhimik,FC Ufa,FC Volgar Astrakhan,FK Kamaz,FK Krasnodar 2,Kuban Krasnodar,Rodina Moskva,Rubin Kazan,SKA-Energia Khabarovsk,Shinnik Yaroslavl,Velves,Volga Ulyanovsk
7,10,9,2,8,3,1,18,4,11,16,14,6,13,12,5,17,15
11,10,13,6,3,2,1,16,7,8,18,14,12,4,5,9,17,15
11,8,13,5,4,1,9,16,6,2,18,14,12,3,7,10,17,15
13,8,11,5,1,2,6,17,10,7,18,15,12,4,3,9,14,16
12,4,11,1,2,3,7,17,9,8,18,15,13,6,5,10,14,16
12,5,11,1,3,4,7,17,9,8,18,13,14,2,6,10,15,16
12,4,11,3,2,7,8,16,6,9,18,13,14,1,5,10,17,15
13,5,12,3,2,7,8,17,4,9,18,11,14,1,6,10,15,16
13,5,12,3,2,9,7,17,4,10,18,11,14,1,6,8,15,16
13,4,12,3,2,8,9,16,6,10,18,11,14,1,5,7,17,15
13,3,12,4,2,8,9,15,6,10,18,11,14,1,5,7,16,17
13,3,12,4,2,6,9,15,7,10,18,11,14,1,5,8,17,16
14,3,12,5,2,6,9,16,7,10,18,11,13,1,4,8,17,15
13,3,14,4,1,6,9,17,7,10,18,11,12,2,5,8,15,16
11,3,14,4,2,6,8,16,7,10,18,12,13,1,5,9,17,15
11,3,13,4,2,7,9,16,6,10,18,12,14,1,5,8,17,15
13,3,11,4,1,6,9,15,7,10,18,12,14,2,5,8,16,17
13,3,11,4,1,6,10,15,7,9,18,12,14,2,5,8,16,17
12,3,11,5,1,6,10,16,7,8,18,13,14,2,4,9,17,15
12,3,11,5,1,6,10,15,7,8,18,13,14,2,4,9,17,16
13,3,12,5,1,6,10,15,7,8,18,11,14,2,4,9,17,16
13,3,12,6,1,5,10,15,7,8,18,11,14,2,4,9,17,16
13,3,11,6,1,5,10,15,7,8,18,12,14,2,4,9,17,16
13,2,11,6,1,5,10,15,7,8,18,12,14,3,4,9,17,16
13,2,11,6,1,5,10,15,8,7,18,12,14,3,4,9,17,16
14,2,11,6,1,5,10,15,8,7,18,12,13,3,4,9,17,16
12,2,11,6,1,5,10,15,8,7,18,14,13,3,4,9,17,16
12,2,11,6,1,5,10,15,8,7,18,13,14,3,4,9,17,16
12,2,11,7,1,5,10,15,8,6,18,13,14,3,4,9,17,16
12,2,11,7,1,5,10,15,8,6,18,13,14,4,3,9,17,16
12,2,11,7,1,5,10,15,8,6,18,13,14,3,4,9,17,16
12,2,11,7,1,5,10,15,8,6,18,13,14,3,4,9,17,16
12,3,11,7,1,5,10,15,8,6,18,13,14,4,2,9,17,16
12,3,11,7,1,5,10,15,8,6,18,13,14,4,2,9,17,16
