Aberdeen,Celtic Glasgow,Dundee United,Glasgow Rangers,Hearts,Hibernian,Kilmarnock,Livingston,Motherwell,Ross County,St Johnstone,St Mirren
11,1,8,2,5,6,9,3,7,10,12,4
10,2,7,1,3,6,11,4,8,12,9,5
10,1,7,4,3,6,12,2,8,11,9,5
8,1,11,3,2,6,10,4,7,12,9,5
8,1,11,3,2,7,10,4,9,12,5,6
8,1,11,3,2,7,10,4,9,12,6,5
8,1,11,2,3,7,9,4,10,12,6,5
6,1,11,2,3,8,9,4,10,12,7,5
6,1,11,2,3,8,9,4,10,12,7,5
5,1,11,2,3,9,10,4,8,12,7,6
5,1,12,2,3,7,10,4,9,11,8,6
5,1,11,2,3,6,10,4,9,12,7,8
5,1,11,2,3,7,10,4,9,12,8,6
5,1,11,2,3,6,10,4,9,12,7,8
5,1,10,2,3,6,11,4,9,12,8,7
5,1,10,2,3,6,11,4,9,12,8,7
5,1,10,2,3,6,11,4,9,12,8,7
5,1,10,2,3,6,11,4,9,12,8,7
6,1,10,2,3,5,12,4,8,11,9,7
6,1,10,2,3,4,12,5,8,11,9,7
6,1,10,2,3,4,12,5,8,11,9,7
6,1,10,2,3,4,12,5,8,11,9,7
