Arbroath,Ayr United,Cove Rangers,FC Dundee,Greenock Morton,Hamilton Academical,Inverness CT,Partick Thistle,Queens Park,Raith Rovers
10,1,7,2,9,4,8,6,3,5
8,1,10,3,7,9,4,5,2,6
8,1,9,3,4,10,5,7,2,6
8,1,7,3,4,10,5,6,2,9
9,1,7,2,5,10,4,6,3,8
9,2,7,1,6,10,4,5,3,8
9,1,7,3,6,10,4,5,2,8
9,1,6,2,5,10,4,7,3,8
9,1,6,2,5,10,4,7,3,8
9,1,7,2,5,10,4,6,3,8
9,1,8,2,5,10,4,6,3,7
9,1,8,2,5,10,4,6,3,7
9,2,8,3,5,10,4,6,1,7
9,3,8,2,4,10,5,6,1,7
9,3,8,2,4,10,5,6,1,7
9,3,8,2,4,10,5,6,1,7
9,3,8,2,4,10,6,5,1,7
9,3,8,2,4,10,6,5,1,7
