Airdrie United,Alloa Athletic,Clyde,Dunfermline Athletic,Edinburgh City,Falkirk,Kelty Hearts,Montrose,Peterhead,Queen of the South
6,9,7,1,8,4,5,3,10,2
5,10,6,1,7,2,4,8,9,3
5,7,9,1,3,2,8,6,10,4
6,5,8,1,3,2,9,7,10,4
4,6,9,1,3,2,8,5,10,7
3,6,9,1,4,2,7,5,10,8
4,8,9,1,5,2,7,6,10,3
4,8,9,1,5,2,7,6,10,3
3,7,9,1,6,2,5,8,10,4
3,4,9,1,7,2,6,8,10,5
3,4,9,1,6,2,7,8,10,5
3,6,9,1,4,2,7,8,10,5
3,5,9,1,4,2,8,7,10,6
3,5,9,1,4,2,8,7,10,6
3,5,9,1,4,2,8,6,10,7
3,5,9,1,4,2,8,6,10,7
3,5,9,1,4,2,8,6,10,7
3,5,9,1,4,2,8,6,10,7
