Albion Rovers,Annan Athletic,Bonnyrigg Rose,Dumbarton,East Fife,Elgin City,Forfar Athletic,Stenhousemuir,Stirling Albion,Stranraer
8,2,10,1,5,6,7,9,3,4
6,3,9,1,5,7,8,10,2,4
5,4,8,1,6,3,7,9,2,10
6,4,9,1,7,5,8,3,2,10
6,3,9,1,7,4,8,5,2,10
4,5,9,1,8,3,7,6,2,10
5,3,9,1,8,4,7,6,2,10
5,3,9,1,8,4,7,6,2,10
5,3,9,1,10,4,7,6,2,8
5,3,10,2,9,4,7,6,1,8
5,3,10,1,8,4,7,6,2,9
5,3,10,1,8,4,7,6,2,9
5,3,10,1,8,4,7,6,2,9
5,3,10,2,8,4,7,6,1,9
5,3,10,2,8,4,7,6,1,9
5,3,10,2,8,4,7,6,1,9
5,3,10,2,8,4,7,6,1,9
5,3,10,2,8,4,7,6,1,9
