Alaves,Albacete,Andorra,Burgos,Cartagena,Eibar,Granada,Huesca,Ibiza,Las Palmas,Leganes,Levante,Lugo,Malaga,Mirandes,Oviedo,Ponferradina,Santander,Sporting Gijon,Tenerife,Villarreal B,Zaragoza
15,13,22,3,14,6,4,7,12,2,17,1,18,8,16,10,11,9,20,19,5,21
6,12,19,3,9,5,4,10,21,2,22,1,20,16,17,14,11,8,15,18,7,13
6,13,11,4,16,2,5,7,20,3,12,1,21,22,14,9,19,8,10,15,18,17
6,8,10,4,15,2,5,7,22,3,11,1,21,20,12,9,19,17,16,14,18,13
6,12,11,4,17,2,5,9,22,3,7,1,21,20,8,10,19,16,15,14,18,13
7,11,12,5,16,2,6,9,22,3,4,1,21,20,8,10,19,17,15,14,18,13
6,8,9,4,16,2,5,11,22,3,7,1,21,20,10,12,19,17,14,15,18,13
7,9,10,5,17,2,6,11,22,3,4,1,21,20,8,13,19,14,16,15,18,12
7,9,10,5,17,2,6,11,21,3,4,1,22,20,8,13,19,14,15,16,18,12
7,10,9,5,17,2,6,11,21,3,4,1,22,20,8,13,19,14,16,15,18,12
7,10,9,5,17,2,6,12,22,3,4,1,21,20,8,14,19,11,15,16,18,13
7,9,10,5,17,2,6,12,22,3,4,1,21,20,8,14,19,11,15,16,18,13
8,10,12,5,11,2,7,14,22,3,4,1,21,19,6,13,20,9,16,17,18,15
8,11,12,5,10,2,7,14,22,3,4,1,19,20,6,13,21,9,17,18,16,15
6,12,13,5,11,2,8,15,20,3,4,1,19,21,7,10,22,9,17,18,14,16
6,12,14,5,11,2,8,16,20,3,4,1,19,22,7,10,21,9,13,18,15,17
6,12,15,4,11,3,8,17,20,2,5,1,18,22,7,9,21,10,13,19,14,16
6,12,16,4,11,3,7,17,20,2,5,1,18,22,8,9,21,10,15,19,13,14
6,12,16,4,11,3,7,17,20,2,5,1,18,22,8,9,21,10,15,19,13,14
6,10,16,4,9,2,7,17,20,3,5,1,18,22,8,11,21,12,13,19,14,15
6,10,16,4,9,2,7,18,20,3,5,1,19,22,8,11,21,12,14,17,13,15
6,10,16,4,9,2,7,18,20,3,5,1,19,22,8,11,21,12,15,17,13,14
6,9,16,4,10,3,7,18,20,2,5,1,19,22,8,12,21,13,11,17,14,15
5,8,16,4,10,3,7,17,20,2,6,1,19,22,9,12,21,13,11,18,14,15
5,8,16,4,10,3,7,18,20,1,6,2,19,22,9,13,21,14,11,17,15,12
5,8,16,4,10,3,6,18,21,1,7,2,19,22,9,13,20,14,11,17,15,12
5,8,16,4,10,3,6,17,21,1,7,2,19,22,9,13,20,14,12,18,15,11
5,8,13,4,10,3,6,18,21,1,7,2,19,22,9,14,20,16,12,17,15,11
5,8,13,4,9,3,6,18,22,1,7,2,19,21,10,14,20,16,12,17,15,11
4,8,14,5,9,3,6,18,22,1,7,2,19,21,10,16,20,17,12,15,13,11
4,7,12,5,9,3,6,18,22,1,8,2,20,21,10,16,19,17,14,15,11,13
4,7,10,6,9,3,5,18,22,1,8,2,20,21,13,16,19,17,11,15,12,14
3,7,9,6,11,4,5,17,22,1,8,2,20,21,14,16,19,18,10,15,13,12
3,7,9,6,11,5,4,17,22,1,8,2,20,21,14,16,19,18,10,15,13,12
4,7,9,6,12,5,3,16,22,1,8,2,20,21,14,17,19,18,11,15,13,10
4,7,9,6,12,5,3,14,22,1,8,2,20,21,16,17,19,18,11,13,15,10
4,7,9,6,12,5,1,14,22,2,8,3,20,21,16,17,19,18,11,13,15,10
4,7,9,6,13,5,1,14,22,2,8,3,21,20,16,17,19,18,11,12,15,10
4,7,9,6,13,5,2,14,22,1,8,3,21,20,16,17,19,18,11,12,15,10
4,7,9,6,13,5,1,14,22,2,8,3,21,20,16,17,19,18,11,12,15,10
4,7,9,6,13,5,1,14,22,2,8,3,21,20,16,17,19,18,11,12,15,10
4,7,8,6,13,5,1,14,22,2,9,3,21,20,17,15,19,18,11,12,16,10
