CA Bizertin,Chebba,Club Africain,Club Sportif Sfaxien,EO Sidi Bouzid,ES Hammam Sousse,ES Metlaoui,ES Sahel,Esperance Tunis,Olympique Beja,Rejiche,Soliman,Stade Tunisien,US Ben Guerdane,US Monastir,US Tataouine
7,12,9,11,14,13,2,5,1,10,16,15,4,3,8,6
9,12,4,11,14,13,10,2,3,6,16,15,8,1,5,7
9,13,6,11,12,14,10,3,2,7,16,15,5,1,4,8
9,13,6,11,16,15,10,1,4,7,12,14,5,2,3,8
9,11,6,12,16,15,10,1,4,7,13,14,5,2,3,8
9,12,6,13,16,11,10,1,4,8,15,14,5,2,3,7
9,11,7,12,16,10,13,1,3,8,14,15,5,2,4,6
9,13,6,11,16,10,12,1,3,8,14,15,5,2,4,7
9,14,6,10,16,12,11,1,3,8,15,13,5,2,4,7
9,13,7,10,16,12,14,1,2,6,15,11,5,3,4,8
9,13,8,10,16,12,14,1,2,6,15,11,5,3,4,7
9,13,8,11,16,10,12,1,2,6,15,14,5,3,4,7
9,12,8,13,16,10,11,1,2,7,15,14,5,3,4,6
9,13,8,11,16,10,12,1,2,7,15,14,5,3,4,6
8,12,9,11,15,10,13,1,2,6,16,14,5,3,4,7
8,14,9,11,15,10,13,1,2,5,16,12,6,3,4,7
8,14,9,10,15,12,13,2,1,5,16,11,7,4,3,6
8,14,9,10,15,12,13,2,1,5,16,11,7,4,3,6
8,14,9,10,15,13,11,2,1,4,16,12,7,5,3,6
8,14,9,10,15,13,11,2,1,4,16,12,7,5,3,6
8,14,9,10,15,13,11,2,1,4,16,12,7,5,3,6
8,14,9,10,15,13,11,2,1,4,16,12,7,5,3,6
9,14,8,10,15,13,11,2,1,4,16,12,7,5,3,6
9,14,8,10,15,13,11,2,1,4,16,12,7,5,3,6
9,14,8,10,15,13,11,2,1,4,16,12,7,5,3,6
9,14,8,10,15,13,11,2,1,4,16,12,7,5,3,6
9,14,7,10,15,13,11,2,1,4,16,12,8,5,3,6
9,14,7,10,15,13,11,2,1,4,16,12,8,5,3,6
9,14,7,10,15,13,11,2,1,4,16,12,8,5,3,6
9,14,7,10,15,13,11,2,1,4,16,12,8,5,3,6
