Atlanta United FC,Austin FC,CF Montreal,Charlotte FC,Chicago Fire,Colorado Rapids,Columbus Crew,D.C. United,FC Cincinnati,FC Dallas,Houston Dynamo,Inter Miami,Los Angeles FC,Los Angeles Galaxy,Minnesota,Nashville SC,New England Revolution,New York City FC,New York Red Bulls,Orlando City,Philadelphia Union,Portland Timbers,Real Salt Lake,San Jose Earthquakes,Seattle Sounders,Sporting Kansas City,Toronto FC,Vancouver Whitecaps
18,16,8,9,24,26,20,28,25,3,2,22,5,6,14,4,13,10,11,12,1,15,17,7,23,21,27,19
20,4,7,14,26,22,10,27,11,2,12,24,3,6,18,8,17,5,9,15,1,21,23,13,25,19,28,16
21,5,6,15,26,23,3,28,11,4,13,22,2,7,20,10,19,8,9,14,1,25,24,12,16,18,27,17
19,8,7,13,26,21,3,28,11,4,14,25,2,9,16,6,20,5,10,15,1,24,23,12,17,22,27,18
27,6,8,16,26,22,4,28,11,3,14,23,2,9,17,7,18,5,10,13,1,19,24,12,20,21,25,15
23,6,8,15,22,24,3,28,11,4,14,25,2,9,18,7,17,5,10,16,1,19,27,12,20,21,26,13
18,6,8,12,24,27,3,28,11,4,22,25,2,10,15,7,14,5,9,13,1,16,19,20,17,23,26,21
17,5,9,12,27,26,3,28,11,4,23,20,2,10,14,7,13,6,8,19,1,15,18,21,16,24,25,22
17,5,8,12,27,28,3,26,11,4,22,21,2,10,15,7,13,6,9,20,1,14,18,19,16,24,25,23
17,5,8,12,22,28,3,27,11,4,23,19,2,10,14,7,15,6,9,21,1,13,18,20,16,25,26,24
18,5,8,17,23,28,3,22,11,4,24,19,2,9,13,7,15,6,10,21,1,12,14,20,16,26,27,25
14,5,9,20,23,27,4,22,11,3,24,12,2,10,15,7,18,6,8,21,1,13,17,19,16,26,28,25
19,5,11,20,23,25,4,22,12,3,26,10,2,7,15,8,18,6,9,21,1,14,17,13,16,24,28,27
15,5,11,22,23,26,4,20,12,3,24,10,2,7,16,8,19,6,9,21,1,14,18,13,17,25,28,27
16,5,12,22,23,26,4,20,13,3,24,11,2,7,18,8,21,6,10,15,1,9,19,14,17,25,28,27
16,5,13,22,23,26,4,21,14,3,24,12,2,8,19,9,20,7,11,15,1,6,18,10,17,25,28,27
16,5,14,22,23,25,4,21,15,3,24,13,2,7,18,9,20,8,11,12,1,6,19,10,17,26,27,28
12,4,15,23,24,26,5,21,16,3,22,9,2,7,18,10,20,8,14,13,1,6,19,11,17,25,27,28
12,4,13,23,24,25,5,21,16,3,22,10,2,6,18,11,19,9,15,14,1,7,20,8,17,26,27,28
9,4,13,23,24,26,5,22,17,3,19,11,2,6,20,12,18,10,15,14,1,7,21,8,16,25,27,28
10,4,15,23,26,27,5,20,18,3,19,8,2,6,21,13,17,11,16,12,1,7,22,9,14,25,24,28
10,4,12,24,26,27,5,20,17,3,19,8,2,6,21,15,16,13,18,14,1,7,22,9,11,23,25,28
11,4,12,25,26,27,5,20,17,3,19,9,2,6,21,15,16,13,18,14,1,7,23,8,10,24,22,28
12,4,11,26,25,27,5,21,17,3,19,8,2,6,22,16,15,14,18,13,1,7,24,9,10,20,23,28
11,4,10,27,25,26,5,23,16,3,19,8,2,6,21,17,14,15,18,13,1,7,24,9,12,20,22,28
11,4,9,27,21,24,5,25,15,3,19,10,2,6,22,17,14,16,18,13,1,7,26,8,12,20,23,28
