AmaZulu,Bloemfontein Celtic,Cape Town City FC,Chippa United,Golden Arrows,Kaizer Chiefs,Mamelodi Sundowns,Maritzburg United,Moroka Swallows,Orlando Pirates,Richards Bay FC,Sekhukhune United,Stellenbosch,SuperSport United,Tim Sukazi Galaxy,Tshakhuma Tsha Madzivhandila
5,3,2,10,15,14,1,16,13,12,8,11,6,4,7,9
6,5,3,8,15,14,1,16,7,12,13,11,4,2,10,9
6,5,2,9,15,13,1,16,7,11,14,10,4,3,8,12
5,14,3,15,11,9,1,16,12,4,10,8,13,2,7,6
5,11,2,14,13,10,1,16,15,3,7,9,12,4,8,6
7,6,3,15,5,12,1,16,14,2,9,11,13,4,10,8
8,6,3,15,5,12,1,16,14,2,10,11,13,4,9,7
10,6,4,15,7,12,1,16,14,2,8,11,13,3,5,9
11,5,4,15,8,12,1,16,14,2,7,10,13,3,6,9
10,6,4,15,8,12,1,16,14,3,5,11,13,2,7,9
11,7,5,14,8,13,1,16,10,3,4,12,15,2,6,9
12,7,6,14,9,8,1,16,11,3,5,13,15,2,4,10
9,6,7,14,10,8,1,15,12,3,4,13,16,2,5,11
8,6,7,13,11,9,1,15,12,3,4,14,16,2,5,10
9,7,8,11,12,6,1,15,10,2,4,14,16,3,5,13
7,8,9,11,13,5,1,15,10,3,4,12,16,2,6,14
5,10,8,9,13,6,1,16,11,3,4,12,15,2,7,14
5,10,9,8,13,6,1,16,11,3,4,12,15,2,7,14
5,10,9,8,15,6,1,16,11,3,4,12,14,2,7,13
6,10,9,8,15,5,1,16,12,3,4,11,13,2,7,14
5,12,9,8,15,6,1,16,13,3,4,10,11,2,7,14
5,12,11,7,15,6,1,16,13,3,4,9,10,2,8,14
5,13,11,7,15,6,1,16,12,4,3,9,10,2,8,14
5,13,11,7,15,6,1,16,12,4,3,9,10,2,8,14
5,13,11,7,15,6,1,16,12,4,3,9,10,2,8,14
5,13,11,7,15,6,1,16,12,4,3,9,10,2,8,14
5,13,11,7,15,6,1,16,12,4,3,9,10,2,8,14
5,13,11,7,15,6,1,16,12,4,3,10,9,2,8,14
5,13,11,7,15,6,1,16,12,4,3,9,10,2,8,14
5,13,11,7,15,6,1,16,12,4,3,9,10,2,8,14
